nome;seguidores;tweets;seguindo;curtidas;retweets;favorites;hashtags;mentions
Frente BrasilPopular;9856;2846;155;273;4;11;#1deMaio #1McomLula ;
🗣POVO sem MEDO🚶;3447;3441;453;3702;0;0;;
Ocupapolitica;13;0;1;0;0;0;;
Movimento Agora!;2279;625;138;380;20;51;#PraResolverAgora #Agora #cidadeshumanasagora #moradiadigna #Temjeito #DiaDoTrabalho #FrasesQueInspiram #Empreendedorismo #TítuloEleitoral #FrancisBacon #Juntos #Política #deficithabitacional ;juliano_seabra thiago_rocha43 jm19214 
Bancada Ativista;292;43;74;16;0;0;;
RenovaBR;1671;142;193;104;8;27;#OBrasilTemJeito ;
Mídia NINJA;374548;32909;1818;3806;13131;31489;#1McomLula #LulaLivre #DiaDoTrabalho #AoVivo #NãoSereiInterrompida #LiberdadeDeImprensa #ComidaÉLuta #QuemOcupaNãoTemCulpa #MariellePresente #QuemOcupaNaoTemCulpa #1MvomLula #demarcaçãoja #ARGENTINA #Itália #RespeitaAsMina #CensuraNuncaMais #OcupaOPoder #Suécia #CinemaAoVivo #AndersonPresente #LulaValeALuta #mostracinemapelademocracia #ParemDeVenderArmas #1McomoLula #ParadisePapers #MeToo #FreeLula #EUA #CartasParaLula #PadreAmaroLivre ;MidiaNINJA GuilhermeBoulos gleisi jandira_feghali LatuffCartoons Brasil_de_Fato vanessasenadora lindberghfarias dasilvabenedita ManuelaDavila LaerteCoutinho1 revistaforum DCM_online JFMargarida Benett_ agenciapublica mariellefranco rehventura ericobras1 geledes dilmabr AlvarengaRibe TheInterceptBr blogdosakamoto Gilmar_Cartoons lsnader82 FlavioDino psol50 anacanas NairBenedicto marcialiapt13 Ana_Canas carmen_foro portalacritica Quaqua13PT emergentemedio _Justificando taliriapetrone bethcarvalho membershippzzle huffpostbrasil redebrasilatual ChicoCesarOf safbf 
342 Artes;1474;81;1;5;10;34;#342Artes #PorQueOcupamos #342Agora #GuilhermeBoulos #342Moradia #Quemocupanãotemculpa ;GuilhermeBoulos caetanoveloso PaulaLavigne JornalOGlobo GuajajaraSonia 
MST Oficial;88348;14967;267;522;2575;4946;#ComidaÉLuta #FeiraMST #TonaFeira #ComidaELuta #agroecologia #thread #VaiTerFeira #LulaLivre #FeiraDaReformaAgraria #FeiradaDaReformaAgraria #EuToNaFeira #1McomLula #FeiraNacional #vemprafeira ;Brasil_de_Fato LemusteleSUR MST_Oficial BelCoelho_Br mljdarocha joaopaulomst calu_barros GuilhermeBoulos delucca gcaiires cptnacional LeftwordBooks bbcbrasil carta_campinas gleisi redeTVT FlavioRenegado padilhando xicosa cartamaior Desesquerdizada guardian BlogdoJuca Mirabili anacanas IvanValente ManuelaDavila JeanSena MidiaNINJA BlocoIleAiye vijayprashad levantepopular ricardostuckert Marcelinho_cg p1nhe1ro13 redebrasilatual botecodojb grfavoritos ultrajano belagil Pragmatismo_ Incra_oficial J_LIVRES 
MPL - São Paulo;5767;3232;163;193;0;0;;
UNE;64857;19287;648;1724;35;86;;paulohbosio httpsBellan MathGregory UnesparOficial ana_santosbf 
CUT Brasil;56316;18220;869;3382;3638;6092;#LulaLivre #1McomLula #DiaDoTrabalho #Suíça #GreveUnBResiste #Cuba #Noticias #SINA #1ºDeMaio #EfeméridesteleSUR #LulaLibre #1DeMaio #DiaDoTrabalhador #LulaLilvre #1M2018 #BomDiaLula #Portugal #Brasil ;MST_Oficial VagnerLulaSilva Brasil_de_Fato redebrasilatual CUTSAOPAULO LulapeloBrasil gleisi smabc jaqueswagner MidiaNINJA folha bethcarvalho teleSURtv ITF_Americas GuilhermeBoulos Trevino_Sofia CONLACTRAHO CTAGlobal CFKArgentina PTnoSenado FENAMUTRA redeTVT DepMarcoMaia FlavioRenegado dilmabr gibranmendes PTnaCamara ptbrasil levantepopular cartacapital fenatrad flabassalo EstatalesCLATE Liniker imprenca CUT_Brasil IDWFED ChicoCesarOf 
Levante da Juventude;8624;9177;146;265;318;722;#1McomLULA #ComidaÉLuta #StarWarsDay #MayTheFourth #FeiraMST #GreveUnBResiste #nãovaitergolpe #ForaTemer #FeiraDaReformaAgrária #tonafeira #LulaLivre #UNEVolante ;MST_Oficial GuilhermeBoulos Brasil_de_Fato levantepopular LulapeloBrasil GustavoM2014 J_LIVRES BLOGDOMENON ManuelaDavila 
Juntos;1;0;0;0;0;0;;
maismovimento;324;2439;237;104;1;0;;esquerdaonline_ 
UJS;21636;21071;2431;1870;48;125;#OcupaOPoder #Manu2018 #1McomLula #Ocupatudo #ALutaPrevalece #Lindo #TBT #ManuAoVivo #LulaLivre #1DeMaio ;ManuelaDavila MidiaNINJA paollovers portalvermelho FlavioDino PauloVinicius65 UJSBRASIL jandira_feghali PortalCTB 
UJR Brasil;133;27;70;15;0;0;;
Faísca!;655;588;632;445;0;0;;
Pão e Rosas;625;888;303;571;0;0;;
UBES;22887;11446;861;238;42;73;#SeLiga16 #01DeMaio #MostraOTítulo #OcupaTudo #FicaDica #PauloFreire #Educação #Estudantes #DiaDoTrabalhador #OProfessorÉMeuAmigoMexeuComEleMexeuComigo #EducaçãoCadê #DocumentoDoEstudante ;pedrogorki 
UJC Brasil;582;289;41;14;0;0;;
Juv. Anticapitalista;622;4025;85;187;2;8;;
UBM Oficial;168;601;150;0;0;1;#Ocupa ;
MAB;4094;1908;898;550;0;0;;
CONTAG;1386;1980;522;202;1;2;;
Geledés Mulher Negra;32890;33154;195;119;409;968;#geledes #MulherNegra #MarielleFranco #empauta #Lula #afrobrasileirosesuaslutas #estupro #esquecerjamais #violenciacontramulher #artigosereflexoes #Geledés30anos #entretenimento #violenciaracialepolicial #casosderacismo #guestpost #Afroamericanosesuaslutas #empreendedorismo #casosderacism #mercadodetrabalho #racismo #saúde #quemmatoumarielle #atriznegra #grupozaffari #educacao #resistencia #maternidade #representatividade #conceicaoevaristo #trabalhadorasdomesticas #literaturanegra #andersongomes #hq #premionobeldapaz #expoafro #DavidLynch #omitodedemocraciaracial #ataqueracista #indenização #cabelo #escravidao #geledes30anos #crimesdaescravidão #gledes #semteto #literuatura #domesticas #cplp #ruthdesouza #adolescentes #professora #anistiainternacional #africaesuadiaspora ;YouTube 
Marcha das Mulheres;20262;6219;390;157;0;0;;
Não Me Kahlo;91109;12490;1049;4010;337;1083;#StarWarsDay #DiaDoTrabalho #FridaySdvFcs #RipTwitter #saopaulo #MayTheFourthBeWithYou #OtarianoSaiDoTwitter #GloboNewsPrisma ;TodoDiaUmMico PolySchroer radiobandnewsfm aleeemartins fogocruzadoapp chick_in_kiev 
Vem Pra Rua Brasil;101690;15095;465;1378;14752;35771;#DiaDoTrabalho #ForoPrivilegiado #G1 #impunidade #Prisãoem2aInstância ;VemPraRua_br Ricamconsult apyus RHPozzobon BlogDoPim g1 JanainaDoBrasil augustosnunes 
Revoltados ON LINE;45140;23733;2890;757;107;395;#RevoltadosONLINE #GuilhermeBoulosNaCadeia #MarcelloReis #Lula #GleiseHoffmann #LulaNaCadeia ;YouTube GuilhermeBoulos folha 
EPL;9851;6023;294;355;0;0;;
EscolaSemPartido;19265;1028;94;285;1531;3611;;ValeConservador AiltonBenedito Sen_Cristovam miguel_nagib 16do08de1986 escolasempartid PriscilaBCosta_ rochaprime JezieldeQueiroz Luadoce1 
Inst. MercadoPopular;5587;3177;207;263;0;0;;GabrielNemer_T deltanmd BancoCentralBR gtinocolh folha goescarlos elenalandau jmpmello 
Libertarianismo +;17427;16937;78;12;0;0;;
Mov. Brasil Livre;134874;15046;575;558;5095;15272;#DiaDoTrabalho ;YouTube FernandoHoliday MBLivre EricBalbinus curtaramiro apyus dilmabr SocialistiPhone renato_battista pensoestranho DaniloGentili alex_borges CarmeIoNeto LulapeloBrasil RubensNunesf pfnery benebarbosa_mvb mblindos 
MCC;7792;160360;301;0;188;474;#Compartilhe #EuNãoAceito #ApoioPMERJ ;
LIVRES;10939;2112;137;434;73;402;#SejaLivres #LivresTV ;MBLivre petropolislinux partidonovo30 gabrielazevedo elenalandau ir_practice FabioOstermann lucasdebritopb emersonjarude _cadumagalhaes PainelWWcerto CarvedJaguar05 henriquern 
