nome;seguidores;tweets;seguindo;curtidas;retweets;favorites;hashtags;mentions
Frente BrasilPopular;9896;2855;155;275;0;0;;
🗣POVO sem MEDO🚶;3475;3441;453;3702;0;0;;
Ocupapolitica;14;0;1;0;0;0;;
Movimento Agora!;2292;629;138;382;1;5;#Leia #Agora ;dw_brasil 
Bancada Ativista;293;43;74;16;0;0;;
RenovaBR;1691;142;193;104;0;0;;
Mídia NINJA;374773;33056;1820;3810;3484;9132;#RodaViva #VamosComBoulos #30diasdeResistência #LulaLivre #RodaVida #BoulosNoRodaViva #MariellePresente #PSol #Bananada20 #PSOL2018 #AoVivo #MatheusaPresente #equipe #VamosComBoulosESonia #NiUnaMenos ;GuilhermeBoulos GuajajaraSonia rodaviva lauraabcarvalho raquelrolnik bananada20 LaerteCoutinho1 luizeduardosoar psol50 
342 Artes;1476;81;1;5;0;0;;
MST Oficial;88617;14979;267;533;0;0;;
MPL - São Paulo;5771;3237;163;193;0;0;;
UNE;64915;19290;648;1724;1;4;;
CUT Brasil;56407;18251;869;3389;396;631;#30diasdeResistência ;CUT_Brasil atletico emicida LeonardoBoff PrensaPEsquivel 
Levante da Juventude;8699;9190;147;265;58;91;#MariellePresente #MatheusaPresente ;
Resistência;325;2463;237;107;1;2;#BoulosNoRodaViva ;
UJS;21677;21161;2431;1871;0;0;;
UJR Brasil;134;27;70;15;0;0;;
Faísca!;659;588;632;445;0;0;;
Pão e Rosas;628;888;303;571;0;0;;
UBES;22914;11454;861;238;1;6;#BoraOcuparAsUrnas #SeLiga16 #SeLigaPeloBrasil ;
UJC Brasil;583;289;41;14;0;0;;
Juv. Anticapitalista;622;4034;85;187;1;0;#VamoscomBouloseSônia ;
UBM Oficial;170;605;150;0;0;0;;
MAB;4102;1910;898;550;0;0;;
CONTAG;1388;1980;522;202;0;0;;
Geledés Mulher Negra;32912;33164;195;118;56;128;#geledes #mulhernegra #afrobrasileirosesuaslutas #gloriamaria #esquerda #quilombo #esquecerjamais #entretenimento #cineastas #empauta #quilombolas ;
Marcha das Mulheres;20272;6219;390;157;0;0;;
Não Me Kahlo;91286;12500;1048;4020;6;82;;bbcbrasil eumesmadudair 
Vem Pra Rua Brasil;101860;15203;465;1379;1098;2863;;VemPraRua_br 
Revoltados ON LINE;45180;23741;2889;791;64;147;#LulaNaCadeia #MarcelloReis #RevoltadosONLINE #JairBolsonaro #BoulosNaCadeia #MST #Boulos #RodaViva #LulaLivre #ConexãoReporter #BoulosnoRodaViva #Bolsonaro2018 #BolsonaroPresidente #TVCultura #30diasderesistência #MTST #OOutroLadoDoParaíso ;YouTube 
EPL;9849;6023;294;355;0;0;;
EscolaSemPartido;19383;1031;94;286;0;1;;nycesouzza alefrotabrasil 
Inst. MercadoPopular;5605;3194;208;272;0;0;;GabrielNemer_T jandira_feghali 
Libertarianismo +;17433;16937;78;12;0;0;;
Mov. Brasil Livre;135145;15059;575;558;207;634;;YouTube MBLivre CarmeIoNeto 
MCC;7801;160458;301;0;8;40;#Compartilhe ;
LIVRES;11017;2121;138;439;2;10;#LivresAoVivo ;elenalandau 
NasRuas;14465;29704;2311;2537;86;249;;
Lula pelo Brasil;329044;13214;467;1279;859;2410;#LulaLivre #30diasdaResistencia #TimeLula ;
Fernando Haddad;594358;1682;204;67;53;183;;
Ciro Gomes;150133;302;3;37;156;777;;
João Doria;887427;13110;364;111;0;0;;
Geraldo Alckmin;993764;32656;415;116;10;64;;
Jair Bolsonaro;1151459;4107;186;845;607;1705;;
Henrique Meirelles;44869;565;173;7;17;123;;
Michel Temer;962075;14045;571;1129;52;239;;KennedyAlencar jornaldacbn 
Marina Silva;1915398;8645;448;2512;0;0;;
Levy Fidelix;20824;8008;433;118;0;0;;
Pastor Everaldo 20;16036;5837;200;434;0;0;;
Flavio Rocha;25011;4005;599;503;0;0;;bbcbrasil ReutersBrazil 
Roberto Justus Ofici;1276787;2159;105;11;0;0;;
Guilherme Boulos;50089;1372;215;319;3047;11486;#RodaViva #PSOL2018 #VamosComBoulosESonia #equipe ;rodaviva MarceloFreixo ultrajano depChicoAlencar IvanValente GuajajaraSonia GuilhermeBoulos lauraabcarvalho 
Jaques Wagner;64086;8056;666;442;0;0;;
Fernando Collor;28318;3035;257;2;0;0;;
Cristovam Buarque;780650;47529;438;308;0;0;;
