nome;seguidores;tweets;seguindo;curtidas;retweets;favorites;hashtags;mentions
Frente BrasilPopular;10004;2865;155;278;5;12;;;
🗣POVO sem MEDO🚶;3535;3528;452;3814;0;0;;;
Ocupapolitica;14;0;1;0;0;0;;;
Movimento Agora!;2316;637;138;387;2;5;(#Conheça,1)(#NossosMembros,1)(#PraResolverAgora,1)(#Agora,1);(humbertolaudare,1);
Bancada Ativista;294;43;74;16;0;0;;;
RenovaBR;1741;147;193;104;1;1;(#issomudaojogo,1);;
Mídia NINJA;375633;33279;1821;3801;963;2782;(#Bananada20,4)(#AoVivo,3)(#60DiasSemMarielle,1)(#paremdenosmatar,1)(#FalsaAbolição,1)(#LulaLivre,1)(#FestivalBananada,1)(#JustiçaParaMarielle,1);(bananada20,2)(JornalismoWando,1)(bbcbrasil,1)(gilbertogil,1)(BaianaSystem,1)(NacaoZumbi,1)(Boogarins,1)(minc_rj,1);
342 Artes;1481;82;1;6;0;0;;;
MST Oficial;88958;14983;267;534;0;0;;;
MPL - São Paulo;5780;3241;163;193;2;1;;;
UNE;64984;19304;648;1723;0;0;;;
CUT Brasil;56589;18343;874;3445;91;99;(#greve,1)(#LulaLivre,1);(CNTTLOFICIAL,1)(PTnaCamara,1)(vladimirherzog,1)(Brasil_de_Fato,1);
Levante da Juventude;8817;9194;147;266;0;0;;;
Resistência;329;2509;238;108;0;3;;;
UJS;21730;21174;2432;1874;1;6;;;
UJR Brasil;134;27;70;15;0;0;;;
Faísca!;663;588;632;449;0;0;;;
Pão e Rosas;627;886;303;539;0;0;;;
UBES;22965;11503;860;238;5;16;(#MariellePresente,1);;
UJC Brasil;592;289;41;14;0;0;;;
Juv. Anticapitalista;628;4053;85;187;0;1;;;
UBM Oficial;173;612;150;0;0;0;;;
MAB;4117;1911;898;549;0;0;;;
CONTAG;1394;1982;523;203;0;0;;;
Geledés Mulher Negra;33039;33204;195;118;42;96;(#geledes,6)(#casosderacismo,2)(#abolição,1)(#mariellefranco,1)(#lgbti,1)(#13demaio,1)(#esquecerjamais,1)(#musica,1)(#quilombola,1);;
Marcha das Mulheres;20313;6223;390;157;0;0;;;
Não Me Kahlo;91651;12576;1050;4046;18;81;(#DiaDasMães,1);(silvaugust,7)(mocamachista_,6)(minashistoricas,6)(Mamilospod,6)(BlogNegras,6)(Cecillia,6)(AsMathildas,6)(NAOKAHLO,1)(pablovillaca,1)(blogfeministas,1)(delarabru,1)(StevenStaples81,1)(HeloRighetto,1);
Vem Pra Rua Brasil;102299;15356;465;1379;1031;2629;;(VemPraRua_br,27);
Revoltados ON LINE;45317;23749;2888;807;0;0;;;
EPL;9843;6023;294;355;0;0;;;
EscolaSemPartido;19876;1063;94;294;164;572;;(Sen_Cristovam,4)(Biakicis,2)(Joao_Tro,1)(ClaudeLuca_,1)(LuOliveira1972,1)(joserobert105,1)(JCarlosCorrea,1);
Inst. MercadoPopular;5646;3208;210;278;0;0;(#Lacroeconomia,1);(GabrielNemer_T,1)(LuanSperandio,1)(goescarlos,1);
Libertarianismo +;17424;16937;78;12;0;0;;;
Mov. Brasil Livre;135834;15189;578;560;1565;6500;;(benebarbosa_mvb,4)(DaniloGentili,3)(alex_borges,3)(marciofrancagov,2)(radiobandnewsfm,1)(FernandoHoliday,1)(o_colecionador,1)(Boscardin,1)(MBLivre,1)(fabiomoraes,1)(CrissPaiva,1)(DanGeber,1);
MCC;7821;160764;301;0;18;61;(#Compartilhe,2);;
LIVRES;11187;2144;140;453;32;99;(#Abolição130anos,1);(isantanax,1)(annediasss,1)(MiriamLeitaoCom,1)(FabioOstermann,1);
NasRuas;14574;29706;2310;2534;0;0;;;
Lula pelo Brasil;330692;13241;467;1279;437;1050;(#LulaLivre,1);;
Fernando Haddad;598469;1687;205;67;101;277;;;
Ciro Gomes;152583;308;3;38;0;0;;;
João Doria;891171;13115;364;111;0;9;(#SPmaisHumana,1);;
Geraldo Alckmin;995163;32666;415;116;8;64;;;
Jair Bolsonaro;1161040;4128;185;861;1958;9415;;(BlogDoPim,1);
Henrique Meirelles;45142;581;173;7;32;248;(#ComoPresidenteEu,1);;
Michel Temer;963392;14068;571;1126;263;673;;;
Marina Silva;1916174;8652;450;2515;0;0;;;
Levy Fidelix;20847;8010;433;117;3;8;;;
Pastor Everaldo 20;16047;5838;200;435;0;0;;;
Flavio Rocha;25159;4029;598;510;0;0;;(minas_25,1)(flaviogr,1)(marcospereira04,1);
Roberto Justus Ofici;1276567;2163;105;11;0;0;;;
Guilherme Boulos;55039;1405;221;345;719;2419;;;
Jaques Wagner;64470;8086;666;442;35;100;;(LulapeloBrasil,1);
Fernando Collor;28327;3037;257;3;1;14;;;
Cristovam Buarque;780468;47548;437;324;14;159;;;
