Data;Texto;Autor(RT);Retweets;Curtidas;Hashtags;Mentions
2018-05-09 12:20:47;RT @342Amazonia: A luta continua! Veja o recado de @caetanoveloso em apoio a campanha #NãoAoBRTSalvador! O atual prefeito @acmneto_ insiste…;342Amazonia;0;0;#NãoAoBRTSalvador;342Amazonia, acmneto_, caetanoveloso;
2018-05-02 00:24:22;@GuilhermeBoulos 👉🏼 https://t.co/Ca8XpEb9cp  #Quemocupanãotemculpa #PorQueOcupamos #342Artes #342Moradia #342Agora #GuilhermeBoulos https://t.co/lYIYslRQ97; ;7;16;#PorQueOcupamos, #342Moradia, #GuilhermeBoulos, #342Agora, #342Artes, #Quemocupanãotemculpa;GuilhermeBoulos;
2018-05-01 20:25:49;@paulalavigne e @caetanoveloso vão reunir artistas do #342Artes para ouvir o candidato à presidência @GuilhermeBoulos e @GuajajaraSonia. Saiu no @jornaloglobo: “Receberemos só candidatos de esquerda e centro. Extrema direita não dá”, diz Paula. | Leia: https://t.co/q4cUrozpQ0 https://t.co/qgmWMZhKbE; ;3;18;#342Artes;JornalOGlobo, GuilhermeBoulos, GuajajaraSonia, caetanoveloso, PaulaLavigne;
2018-04-23 21:35:35;Pablo Prynce, o artista preso injustamente no Rio, agradece a mobilização de todos, mas deixa o seu recado sobre a dezena de trabalhadores que ainda estão presos injustamente!  #342Artes #342JustiçaParaPablo #Pabloartista https://t.co/ytBfu1JTp8; ;2;11;#Pabloartista, #342JustiçaParaPablo, #342Artes; ;
2018-04-21 19:12:40;Pablo saiu, mas ainda há muitos inocentes presos! É muito importante que a justiça analise bem cada caso.  #342Artes #PabloArtista #342JustiçaParaPablo  https://t.co/yGdG5BlFDX; ;19;57;#PabloArtista, #342JustiçaParaPablo, #342Artes; ;
2018-04-21 18:50:37;https://t.co/yGdG5BlFDX; ;6;32; ; ;
2018-04-19 23:13:37;Vitória! Pablo Prynce, o artista preso injustamente no Rio, será liberado! Mas a injustiça segue com centenas de trabalhadores ainda presos. Vamos seguir presionando a Justiça Fluminense para que seja ágil e transparente em suas decisões.   #342Artes #342JustiçaParaPablo https://t.co/6XpZfrTR8r; ;16;43;#342JustiçaParaPablo, #342Artes; ;
2018-04-15 19:26:48;Feliz aniversário, pastor @ohenriquevieira ! Grande liderança e referência na luta pelos direitos humanos e contra o preconceito racial e religioso! Obrigado por compartilhar sua experiência com o #Movimento342 ❤👈🏽🎁🎊  #PastorHenriqueVieira #HenriqueVieira #342Artes #342Agora https://t.co/REpOcrDxph; ;4;40;#342Agora, #PastorHenriqueVieira, #342Artes, #HenriqueVieira, #Movimento342;ohenriquevieira;
2018-04-10 15:08:02;IÁÁÁÁÁÁÁÁ  O Rei Da Vela chega ao Rio! atingimos a meta na benfeitoria!!!!!!!!!!!! agradecemos a todas as contribuições!  14 e 15 de abril - Sáb e Dom 19h 20, 21 e 22 de abril - Sex 20h, Sáb e Dom 19h  👉🏼 https://t.co/g4Q1CG9XWS #342Artes #OReiDaVela #QueroReiDaVelaNoRio https://t.co/YYnWm4Ifgz; ;5;14;#OReiDaVela, #QueroReiDaVelaNoRio, #342Artes; ;
2018-03-30 19:20:23;Hoje, sexta-feira da paixão, é aniversário de Zé Celso e Renato Borghi, que nasceram no mesmo ano em que Oswaldo de Andrade lançou o Rei da Vela ❤👈🏽 Parabéns Zé Celso e Renato Borghi!! 🎊🎁   Compartilhe e doe no site: 👉🏽https://t.co/HPnBOwMMDK  https://t.co/sRXphA3e7b https://t.co/uJx2huV35H; ;9;27; ; ;
2018-03-26 22:16:42;RT @342Amazonia: O plantio da Cana de açúcar é incompatível com todas as culturas da Amazônia, principalmente o Açaí.   Trocar o nosso trad…;342Amazonia;0;0; ;342Amazonia;
