Data;Texto;Autor(RT);Retweets;Curtidas;Hashtags;Mentions
2018-05-21 18:16:08;Acompanhe agora a abertura do 5º ENAFOR. https://t.co/OGuFlhYzFz; ;0;0; ; ;
2018-05-21 16:02:09;#5ENAFOR #educacaopopular #ResistirTransformar https://t.co/2MQkKAeSjB; ;0;0;#educacaopopular, #ResistirTransformar, #5ENAFOR; ;
2018-05-21 13:04:19;As caravanas de todo o País estão chegando para o #5ENAFOR #educacaopopular #ResistirTransformar https://t.co/d8WBWv0vZH; ;0;0;#educacaopopular, #ResistirTransformar, #5ENAFOR; ;
2018-05-10 18:29:05;Quase um milhão de pessoas deixaram as classes A e B no último ano e o jornal de economia começa a matéria com: 'Apesar do fim da recessão econômica e do início de recuperação do emprego...' querem enganar quem? https://t.co/683XimBYiD; ;0;1; ; ;
2018-05-08 14:41:03;RT @unb_oficial: De 21 a 25 de maio, acontecerá o 5º Encontro Nacional de Formação da CONTAG. Reforma agrária, educação popular e educação…;unb_oficial;0;0; ;unb_oficial;
2018-05-04 13:15:09;https://t.co/99Cp5NRANz; ;1;2; ; ;
2018-05-03 19:51:16;Não deixem que coloquem veneno disfarçado no seu prato - https://t.co/jo9OG5aIVS https://t.co/JywIW62pLK; ;0;2; ; ;
2018-04-24 17:13:12;Por que tirar o T se o símbolo já é reconhecido para identificar produtos contendo transgênicos? O símbolo T ocupa menos do 0,4 % da embalagem! Se transgênicos são bons por que tirar o aviso?; ;0;0; ; ;
2018-04-24 14:13:33;O governo deixou a MP que mudava pontos importantes da reforma trabalhista caducar. A quem interessa manter os absurdos contra a classe trabalhadora? https://t.co/PrAzstyzL2; ;0;0; ; ;
2018-04-24 14:02:12;Mais de 40% dos brasileiros até 14 anos vivem em situação de pobreza – Esse é o Brasil que Temer e os partidos de direita querem.; ;0;0; ; ;
2018-04-24 13:36:06;RT @BohnGass: A gente avisou: de caso pensado, governo Temer deixou a MP 808 caducar. Agora, valem as regras absurdas, inconstitucionais e…;BohnGass;0;0; ;BohnGass;
2018-04-24 13:33:28;Dos 3 milhões de novos pobres no Brasil em 2017, o estado de São Paulo contribuiu com 47,3%. A taxa de pobreza paulista cresceu 21,2% em 2017, enquanto no Brasil foi de 4,4%. Fonte @MarcioPochmann; ;0;0; ;MarcioPochmann;
2018-04-20 15:59:36;A VOZ DA CONTAG - UMA DAS MUITAS GERAÇÕES DO MEIO RURAL PREJUDICADAS APÓS O GOLPE NO BRASIL é o tema desta edição da A VOZ DA CONTAG. Para contribuir com o debate, recebemos a secretária de Terceira Idade da CONTAG, Josefa Rita da Silva (Zefinha)  (https://t.co/m9sV99krNY); ;1;0; ; ;
2018-04-20 12:41:18;RT @MidiaNINJA: Bom Di presidente em Curitiba  https://t.co/DAhLPP7q4L https://t.co/q1cLZ9MFF2;MidiaNINJA;0;0; ;MidiaNINJA;
2018-04-06 20:18:34;#LulaValeALuta https://t.co/GNiIMc8jmA; ;0;1;#LulaValeALuta; ;
