Data;Texto;Autor(RT);Retweets;Curtidas;Hashtags;Mentions
2018-05-22 00:00:00;'Foi preciso mais de um mês, com vários consultores super capacitados envolvidos, para fazer engenharia reversa dos dados apresentados pelo governo'. Consultora da ALMG, Luciana Lopes comenta a dificuldade de checar dados com precisão: https://t.co/vqmrMIRBBW https://t.co/OWgmpo1nUa; ;5;10; ; ;
2018-05-21 23:00:01;Quais são as características de uma boa gestão pública? @josefucs reuniu para o Estadão 6 pontos essenciais. https://t.co/zW4XfoEksz; ;6;5; ;josefucs;
2018-05-21 21:51:04;'Tivemos uma adesão imediata dos conselheiros porque uma agenda liberal de verdade atrai muito. É uma agenda de construção para um Brasil do futuro'. @elenalandau sobre o Conselho Acadêmico do Livres: https://t.co/X2QKK3ESkC; ;2;13; ;elenalandau;
2018-05-21 21:00:00;#IdeiasLivres 'Os únicos a quem o protecionismo realmente protege são aqueles que não querem enfrentar a concorrência. Protecionismo se vale de fronteiras imaginárias para dificultar o livre comércio entre as pessoas.' https://t.co/UJQzLdvxsW; ;6;17;#IdeiasLivres; ;
2018-05-21 20:01:06;'O sistema tributário brasileiro é totalmente injusto. Ao cobrar sobre o consumo, afeta principalmente aos pobres, que tem poder de compra reduzido e precisa ajustar no orçamento familiar”, Julio Schvambach, líder do Livres-SC. https://t.co/StwvFZqbre; ;11;35; ; ;
2018-05-21 19:03:00;'Podemos ter serviços em inovação e tecnologia, mas precisamos de mão de obra educada. Senão continuaremos atrasados, com baixa escolaridade e especialização em atividades pouco produtivas.' Por Pedro Cavalcanti https://t.co/Ebk3QQfl3g; ;2;13; ; ;
2018-05-21 18:00:01;'Os danos que um modelo centralizado ou racionalista pode causar são muito maiores do que o modelo de ordem espontânea ou de livre mercado.' Por @Adrualdo https://t.co/gMpGcDuDYl; ;2;8; ;Adrualdo;
2018-05-21 17:00:00;'Para os populistas, a economia é elástica e a crise fiscal se resolve apertando o pé no acelerador e colocando a economia para crescer. Na América Latina o populismo produziu décadas de inflação e estagnação. A Argentina regride há sete décadas.' https://t.co/hMS1qswJnc; ;8;27; ; ;
2018-05-21 16:00:01;O 1º episódio do #LivresCast já está disponível no GooglePlay e iTunes! Confira o podcast semanal do Livres também no nosso site: https://t.co/WRTHAmrL4y; ;2;7;#LivresCast; ;
2018-05-21 14:59:00;Juliana cresceu numa família de classe média, o que a livrou de situações violentas sofridas diariamente por muitos LGBTs. Mesmo assim, Juliana já foi agredida fisicamente por ser lésbica. O que ela defende contra a violência e pela liberdade? https://t.co/gdVR1CCcD0; ;5;18; ; ;
2018-05-21 14:00:01;Friedrich Hayek (1899-1992) foi um dos economistas e filósofos mais influentes do século XX, principalmente para o liberalismo. Conheça nosso Pequeno Guia Introdutório sobre ele: https://t.co/xV1g6lM5hu; ;6;25; ; ;
2018-05-21 13:22:00;O Livres é de esquerda ou de direita? O Livres defende privatizações? As ideias do Livres já foram aplicadas em algum país? Essas e outras perguntas a gente responde no nosso FAQ. Conheça: https://t.co/cthTQ8ZaFf; ;8;34; ; ;
2018-05-21 12:00:00;'A teoria demonstra, e nossa história já provou, que a política preconizada por Pochmann (economista do PT) sempre nos levou à inflação e ao desemprego'. Nosso conselheiro Samuel Pessôa expõe o populismo do economista do PT: https://t.co/hMS1qswJnc https://t.co/gJnby412Dc; ;14;49; ; ;
2018-05-19 18:00:00;'Não é tentando convencer as pessoas de que o Brasil está pior do que o Oriente Médio que vamos conseguir avançar'. Juliana Afonso (@JuhAfonso) compartilha reflexão a partir de sua participação em audiência pública sobre a comunidade LGBT+. https://t.co/6t9E9ACQKx; ;3;15; ;JuhAfonso;
2018-05-19 16:38:25;Manaus está fazendo história na luta pela redução dos impostos. 'Quem paga somos nós, consumidores, que não recebemos o retorno devido', diz Julio Lins, liderança do Livres-AM https://t.co/Y9SzAeUqvt; ;3;11; ; ;
