Data;Texto;Autor(RT);Retweets;Curtidas;Hashtags;Mentions
2018-05-20 16:42:12;RT @rcp01: Um 'Pai' Palestino grita e pede aos soldados de Israel que matem sua criança de 3 anos, para que ele possa ser capturado em víde…;rcp01;0;0; ;rcp01;
2018-05-20 01:01:31;RT @PRabello: Presenca e compromisso do PSC  em Marabá, região sudeste do Pará https://t.co/6AmpLYaA0N;PRabello;0;0; ;PRabello;
2018-05-15 21:23:36;A família nos dá amor, força, apoio e coragem para superar desafios. E muita alegria para celebrar vitórias. Feliz Dia Internacional da Família. #vempro20 #PSC20 https://t.co/1Sw05LQh3v; ;1;4;#vempro20, #PSC20; ;
2018-05-10 22:38:36;RT @WilsonWitzelPSC: Deu no Jornal do Brasil de hoje! https://t.co/Tyy3VRZjZk;WilsonWitzelPSC;0;0; ;WilsonWitzelPSC;
2018-05-06 02:20:08;RT @filipepereira20: Tarde de visita em Itaborai na companhia do amigo Vereador e Pré-candidato a Deputado Estadual Agnaldo Coutinho. #esse…;filipepereira20;0;0; ;filipepereira20;
2018-05-06 02:16:28;RT @pscmulherpara: Mais um encontro regional hoje (5) do Partido Social Cristão(PSC/PA) desta vez em Belém/Pa.Reunido com os pré candidatos…;pscmulherpara;0;0; ;pscmulherpara;
2018-05-05 23:06:59;RT @JuizWilson: Mais uma foto deste dia tão especial!!! https://t.co/vggcnFX7kQ;WilsonWitzelPSC;0;0; ; ;
2018-05-01 01:40:00;RT @pscmulherpara: O primeiro de uma série de encontros regionais do Partido Social Cristão(PSC/PA) junto a autoridades, lideranças e filia…;pscmulherpara;0;0; ;pscmulherpara;
2018-05-01 01:39:44;RT @PRabello: Brasilzão do interior paulista escancarando riqueza https://t.co/yqMK85I3fJ;PRabello;0;0; ;PRabello;
2018-04-29 22:43:26;https://t.co/q2GunVGA3T; ;0;2; ; ;
2018-04-28 12:25:34;RT @PRabello: Parada em Balneário Camboriú para festejar uma liderança jovem e competente ai na foto ao centro: o prefeito Fabrício. Ele va…;PRabello;0;0; ;PRabello;
2018-04-27 03:03:30;RT @JuizWilson: Encerrando o meu segundo dia de visitas à Nova Friburgo, eu tive o prazer de ministrar uma palestra sobre Governabilidade,…;WilsonWitzelPSC;0;0; ; ;
2018-04-26 01:43:26;RT @JuizWilson: Hoje, fui entrevistado para o “Programa em Ação” (@novatvfriburgo) juntamente com o Sérgio Louback,, pré candidato a deputa…;WilsonWitzelPSC;0;0; ;NovaTVFriburgo;
2018-04-26 01:43:13;RT @JuizWilson: Hoje, também vistei o 11o Batalhão da Polícia Militar. Eu, o empresário Itamar da Costa Marques e o pré-candidato a deputad…;WilsonWitzelPSC;0;0; ; ;
2018-04-26 01:42:56;RT @PRabello: Estive com o presidente do diretório municipal do @pscnacional em São Paulo, Gilberto Nascimento. Juntos, prestigiamos a fili…;PRabello;0;0; ;pscnacional, PRabello;
2018-04-26 01:42:49;RT @JuizWilson: Em nova Friburgo, com o prefeito Renato Bravo e o Sérgio Louback, vereador e pré-candidato a deputado estadual pelo PSC. ht…;WilsonWitzelPSC;0;0; ; ;
2018-04-23 23:40:44;RT @PRabello: No Dia Mundial do Livro quero destacar a importância de transformar experiências em obras como fizemos no Projeto Cantagalo.…;PRabello;0;0; ;PRabello;
