Data;Texto;Autor(RT);Retweets;Curtidas;Hashtags;Mentions
2018-05-21 20:05:43;RT @revistaazmina: Quem são as mulheres que lutam por moradia no Brasil? Elas são o grupo que corre mais riscos, expostas a crimes de femin…;revistaazmina;0;0; ;revistaazmina;
2018-05-21 15:43:42;Muita gente desinformada reclama do Bolsa Família. Agora com relação ao “Bolsa Banqueiro” e ao “Bolsa Empresário” nunca vi um “cidadão de bem” dizer que para banqueiro ou megaempresário não podemos dar o peixe mas sim ensinar a pescar. #BoulosNaPucSP; ;594;2213;#BoulosNaPucSP; ;
2018-05-21 15:06:36;Boulos fala agora na abertura do II Simpósio Nacional Psicologia e Compromisso Social da PUC - SP. #BoulosESonia #PSOL50 #VamosSemMedo Acompanhe ao vivo: https://t.co/jtfZx4nYnI; ;8;24;#VamosSemMedo, #BoulosESonia, #PSOL50; ;
2018-05-20 19:28:43;“Nenhuma família sem casa, nenhum camponês sem terra, nenhum trabalhador sem direitos!”  Hoje cedo participei da assembleia da ocupação Marielle Vive na Zona Norte de São Paulo. Já são mais de 1500 famílias na luta por moradia!   #VamosSemMedo #PSOL2018 #BoulosESonia #MTST https://t.co/9PN8yV0cyE; ;123;580;#VamosSemMedo, #BoulosESonia, #PSOL2018, #MTST; ;
2018-05-20 16:34:49;Brasil vive o ciclo mais lento de retomada econômica depois de crises de toda a história do país. O governo Temer resolveu acreditar na solução mítica da “confiança estrangeira”  e reduziu 54% do investimento público. Não há exemplo no mundo de país que cresceu com cortes.; ;432;1519; ; ;
2018-05-19 20:21:39;13,7 milhões de brasileiros estão desempregados, 22% deles há mais de 2 anos. Chegamos a quase 28 milhões de pessoas sem trabalho ou subempregados. Já está definido: a dita 'equipe de ouro' econômica de Temer está no páreo do prêmio de 'Demolidores Recordes de Nação'.; ;655;2081; ; ;
2018-05-19 18:30:44;RT @342Amazonia: CONVOCAÇÃO! ⚠Veja o recado de #BelCoelho! Contra a #PLDoVeneno, chamamos a todos para um ato político apartidário hj, sába…;342Amazonia;0;0;#PLDoVeneno, #BelCoelho;342Amazonia;
2018-05-18 16:52:18;@cesarcmaquinas @jeanwyllys_real não é preciso ser gay para respeitar e admirar gays que se destacam por seu trabalho, tampouco para ser contra a homofobia. Se acha isso um problema, é um problema seu. Agora se acredita que um hetero e um gay não podem se abraçar, só lamento por sua frágil e insegura sexualidade; ;25;168; ;cesarcmaquinas, jeanwyllys_real;
2018-05-18 13:48:36;Ontem, no Dia Mundial de Combate à Homofobia, estive no lançamento da pré-candidatura de Jean Wyllys. No país com os maiores índices de violência contra LGBTs do mundo, a manutenção do seu mandato é fundamental para a democracia! #BoulosESonia #VamosSemMedo #PSOL2018 https://t.co/zi3mN1UO9Z; ;123;1249;#VamosSemMedo, #BoulosESonia, #PSOL2018; ;
2018-05-17 14:14:12;Há exatos 30 anos, o SUS era criado.  Diferente desse governo q defende cortes, de planos de saúde q querem seu fim e de pré-candidatos q pregam Estado Mínimo, defendemos sua ampliação e mais investimentos públicos para a saúde. É a vida da população que está em jogo! https://t.co/eAaZLvOice; ;309;1010; ; ;
