Data;Texto;Autor(RT);Retweets;Curtidas;Hashtags;Mentions
2018-05-16 10:56:49;Fernando Haddad: Questão de honra https://t.co/MfMFZ0ple8; ;72;286; ; ;
2018-05-15 22:33:00;Novo slogan de comércio exterior do governo será ‘Fora, Temer’ https://t.co/DFoOjThu7w via @Sensacionalista; ;80;397; ;sensacionalista;
2018-05-15 21:46:10;Seis líderes europeus declaram apoio a Lula e apelam por sua participação nas eleições https://t.co/fP1J2Ryawi via @lulapelobrasil; ;98;347; ;LulapeloBrasil;
2018-05-15 20:18:44;Mais retrocesso: a desilusão da periferia de São Paulo com a grande promessa de Dória para melhorar a saúde https://t.co/S87PKQFWeH via @elpais_brasil; ;146;381; ;elpais_brasil;
2018-05-15 11:47:38;#LulaLivre https://t.co/FWjepTlCyt; ;217;1033;#LulaLivre; ;
2018-05-15 09:37:12;Imposto progressivo sobre imóveis ociosos cai 95% com Dória. https://t.co/CeZhn1Bxw5; ;116;293; ; ;
2018-05-14 10:25:22;Entrevista com o Procurador da República Celso Tres sobre as virtudes e descaminhos da Lava Jato. Vale a leitura. Eleva o nível do debate. https://t.co/Ml6Lj40ER2; ;127;360; ; ;
2018-05-13 18:05:27;Abolição da escravidão em 1888 foi votada pela elite evitando a reforma agrária, diz historiador https://t.co/tPEd2RVo0q; ;189;466; ; ;
2018-05-13 15:22:25;Bela matéria da BBC: a luta esquecida dos negros pelo fim da escravidão. https://t.co/p9Z7oNIO6h; ;103;304; ; ;
2018-05-12 12:24:04;Um primeiro importante embate sobre a reforma trabalhista no STF: “Os riscos da luta por direitos”, artigo de Oscar Vilhena. https://t.co/TFK7BLiCsm; ;29;134; ; ;
2018-05-10 20:50:10;Chefe da CIA disse que Geisel assumiu controle sobre execuções sumárias na ditadura https://t.co/VqdrvDPijA; ;230;630; ; ;
2018-05-08 09:33:25;Gestão Doria-Covas afrouxa fiscalização de contrato de varrição e lixo se acumula em SP. https://t.co/Cnvr1c8bH6; ;189;612; ; ;
2018-05-07 13:39:45;Jürgen Habermas: “Não pode haver intelectuais se não há leitores” | EL PAÍS Semanal | EL PAÍS Brasil https://t.co/sVT4ZUPx94; ;68;257; ; ;
2018-05-07 13:00:21;BlackRock. A empresa que está a mudar o capitalismo. Alguém tem referências sobre isso? https://t.co/mOw4YunQbZ; ;25;85; ; ;
2018-05-06 21:06:45;Rulers of the world: read Karl Marx! https://t.co/s1uF9Sqbch via @TheEconomist; ;58;228; ;TheEconomist;
2018-05-06 18:55:31;Bicentenário: “Por que Marx, no século 21?”, por Yanis Varoufakis.  https://t.co/xc50LcXuQ7; ;29;144; ; ;
2018-05-06 12:27:12;'Como defender meritocracia quando Brasil é o país que menos taxa herança?', diz discípulo de Piketty https://t.co/oNtib6A8wZ; ;305;962; ; ;
2018-05-05 10:40:21;Não é hora de mudar o Plano Diretor de SP, pelo contrário: Mercado imobiliário paulista retoma fôlego https://t.co/xP72Z4eGQe; ;26;204; ; ;
2018-05-02 18:38:13;Uma luz no fim do túnel para imóveis vazios e degradados (artigo de 2016 celebrando política de nossa gestão) https://t.co/UUTfTVkeVx via @folha; ;73;214; ;folha;
2018-05-02 12:01:03;RT @elikatakimoto: Não era MTST e sim MLSM. Não era Al Qaeda e sim Al Jazzera. Não era Hegel e sim Engels. Não era Carlos do Ministério da…;elikatakimoto;0;0; ;elikatakimoto;
2018-05-01 20:21:55;@lelacrodrigues  https://t.co/scAxpWrfuP; ;1;10; ;lelacrodrigues;
2018-05-01 20:04:36;RT @MidiaNINJA: Em Curitiba, milhares de brasileiras e brasileiros estão na Praça Santos Andrade para grande ato de Dia dos Trabalhadores e…;MidiaNINJA;0;0; ;MidiaNINJA;
2018-05-01 19:04:51;Comovente a sensibilidade social de Dória. https://t.co/9Fd1p8nGc2 https://t.co/VbtRKvbjcX; ;140;631; ; ;
2018-04-30 10:59:58;Bom artigo do Claudio Lottenberg sobre saúde pública: Atraso crônico https://t.co/sc0G695jOj; ;21;88; ; ;
2018-04-28 17:32:45;A cidade de São Paulo deve privatizar seus cemitérios? NÃO https://t.co/qmWWjenfzK; ;27;168; ; ;
2018-04-28 14:43:32;Madri retira placas de ruas com nomes da era da ditadura Franco. Antes tarde do que nunca. https://t.co/9DfzRnRzYn; ;361;1757; ; ;
2018-04-28 13:13:43;Outro ataque fascista no Paraná. Solidariedade às vítimas e abraço fraterno aos resistentes que lutam por democracia. https://t.co/75jv7G5HTH; ;105;451; ; ;
2018-04-27 20:34:37;Ministério Público intima gestão Doria-Covas a explicar fechamento de AMAs. https://t.co/zahyYXYgfF via @redebrasilatual; ;69;246; ;redebrasilatual;
2018-04-27 20:32:27;@robbiezinho Na nossa gestão, a prefeitura cedeu dois terrenos para o Sesc, um em Pirituba, outro em São Miguel. Você tem toda razão.; ;0;9; ;robbiezinho;
2018-04-27 13:44:49;Ponte neoliberal para o futuro desaba. Sem investimento público a economia não reage. https://t.co/nO1rqvDmlz; ;269;617; ; ;
2018-04-27 13:28:56;A Paulista cada vez mais paulista: Sesc Avenida Paulista reabre no domingo https://t.co/LQXV0DcAVY; ;65;684; ; ;
2018-04-26 10:41:21;Contratações por salário menor fazem cair arrecadação da Previdência. Segundo a Receita Federal, essa foi a primeira queda real em 10 meses.  https://t.co/jUQtPhnXTG; ;156;445; ; ;
2018-04-24 12:01:34;Simplesmente não é verdade que eu e Ciro discutimos candidaturas ou formação de frente. Como a própria matéria revela, atualizamos a discussão iniciada em janeiro sobre a situação política do país. https://t.co/eCX47F2Izw; ;513;1831; ; ;
2018-04-22 18:30:28;'Após ouvir “Samba Esquema Novo” de Jorge Ben, senti que não precisava mais compor', diz Gilberto Gil. Dá pra entender. Ouve só: https://t.co/tBs8bvRtHq; ;39;227; ; ;
2018-04-22 11:38:26;Marcelo Rubens Paiva é um cara diferenciado. Sempre bom ler seus artigos. https://t.co/mHKZxzgUJH; ;31;232; ; ;
2018-04-21 17:43:31;Mais de cem atores e diretores assinam manifesto contra a condenação de Lula https://t.co/ieiayxk3iv; ;174;831; ; ;
2018-04-21 11:59:45;Vale a leitura: artigo de André Singer. “Ideia fixa” https://t.co/W0KK39pURi; ;38;133; ; ;
2018-04-19 01:36:18;Entrevista que dei à Reuters: Sem admitir que PT abra mão de Lula, Haddad pede centro-esquerda unida na eleição via @UOLPolitica @UOL  https://t.co/pB2yQpFH55; ;91;381; ;UOL, UOLPolitica;
2018-04-17 02:08:25;Paul Singer, mestre querido, foi das pessoas mais generosas que conheci. Teórico da economia solidária e socialista libertário, formou gerações de militantes comprometidos com os mais nobres ideais de civilidade. Sentiremos saudades.; ;312;1985; ; ;
2018-04-16 12:47:38;Excelentes reflexões de Jose Luis Fiori, professor de economia política internacional da UFRJ: ponto de partida  é a libertação de Lula https://t.co/ETWkXyezbw; ;103;236; ; ;
2018-04-15 14:07:16;Recado das pesquisas: “Vocês estão cercados! Deponham as armas e libertem Lula!” #LulaLivre; ;791;2799;#LulaLivre; ;
2018-04-13 10:39:03;50 Km/h = Nossa política de segurança no trânsito reduziu, entre 2013 e 2017, em 50% o nº de acidentes com vítimas. Em 2017, duas consequências, fruto da imprudência de Doria: aumento de mortes de ciclistas e nas marginais. https://t.co/XWYWwBhrcT; ;258;1013; ; ;
2018-04-11 21:31:05;Jaques Wagner e Fernando Haddad são Lula.  Foto: Ricardo Stuckert. https://t.co/70h7FQl7bw; ;84;652; ; ;
2018-04-11 20:29:41;Prof. Carlos Melo: A formação da inevitável Maioria parlamentar: o que fazer? via @UOLNoticias https://t.co/2lCCXJgUr7; ;13;83; ;UOLNoticias;
2018-04-09 15:43:23;Marcos Nobre: “Com o campo progressista fragmentado, a centro-direita leva de lavada durante anos” https://t.co/5287GpJz9x via @elpais_brasil; ;86;245; ;elpais_brasil;
2018-04-09 11:41:49;RT @sidneyrezende: Aqui na Europa - estou neste momento em Bruxelas - o reconhecimento dos acertos da política de resgate social do Governo…;sidneyrezende;0;0; ;sidneyrezende;
2018-04-09 11:22:35;RT @RitaLisauskas: Já pensou que louco seria se na transmissão dessa prisão do Lula fossem adicionados à cobertura uns analistas que fizess…;RitaLisauskas;0;0; ;RitaLisauskas;
2018-04-09 10:11:24;PT reafirmará candidatura de Lula. Há total unidade em torno desse projeto. O debate sobre o melhor encaminhamento é natural, diante do Estado de exceção em que vivemos. https://t.co/RIm1wQurta; ;297;1222; ; ;
2018-04-08 22:42:19;RT @tarsogenro: Nos cárceres do país, hoje, o preso político mais importante do mundo. Condenado sem provas,  em processo de 'exceção', a p…;tarsogenro;0;0; ;tarsogenro;
2018-04-08 21:09:28;RT @pablogentili: ¿Dónde está Lula? ¿Es ese de cabello blanco que está siendo abrazado por la multitud? No. Lula son todos ellos. Lula no e…;pablogentili;0;0; ;pablogentili;
2018-04-08 16:51:21;RT @FlavioDino: O que une Getúlio Vargas, João Goulart, Juscelino Kubitscheck e Lula ? Os quatro fizeram governos nacional-desenvolvimentis…;FlavioDino;0;0; ;FlavioDino;
2018-04-08 14:59:22;RT @pablovillaca: Quando vazaram os áudios de Aécio e quando sua irmã foi presa, seus “amigos” apagaram todas as fotos que tinham com eles…;pablovillaca;0;0; ;pablovillaca;
2018-04-02 21:30:50;Doria abandona prefeitura sem cumprir promessa de zerar fila das creches. Na verdade, a fila aumentou e prefeitura se recusa a reconhecer, omitindo dado atualizado. https://t.co/Ss4SsWZ8hR via @redebrasilatual; ;599;1576; ;redebrasilatual;
2018-03-31 14:38:07;Para economista, informalidade do mercado de trabalho afeta propensão a consumir e prejudica retomada. “A retomada do crescimento econômico corre riscos neste ano? SIM” https://t.co/g9k3NLT9Pm; ;78;334; ; ;
2018-03-30 14:36:37;Transparência à míngua: Doria muda regras de publicações no Diário Oficial da cidade https://t.co/R3K6Ua9Yx7 via @VejaSP; ;283;673; ;VejaSP;
2018-03-29 17:43:45;Doria deixa obras de corredores de ônibus de SP em marcha lenta. Uma pena. Obras prioritárias de saúde, educação, drenagem e mobilidade: todas paradas ou em marcha lenta. https://t.co/kkj0uEbITm; ;281;908; ; ;
2018-03-28 16:34:58;Indo pra Curitiba! https://t.co/eAg0eGfH93; ;57;386; ; ;
2018-03-28 11:16:31;Diante da liderança de Bolsonaro, PSDB se deixa empurrar para os braços do fascismo. Um erro enorme! “PT 'colhe o que planta', diz Alckmin sobre ataque a tiros a caravana de Lula” https://t.co/Jt6ePUhpvW; ;415;1419; ; ;
2018-03-27 23:51:59;Minha total solidariedade ao Lula, convidados e jornalistas que cobrem a caravana “Dois ônibus da caravana de Lula são atingidos por quatro tiros no Paraná” https://t.co/bLhZkZbEfp; ;237;826; ; ;
2018-03-27 09:45:05;@rodrigo_zulian @ronaldrios @elpais_brasil O Brexit foi um tiro no pé.; ;2;17; ;rodrigo_zulian, ronaldrios, elpais_brasil;
2018-03-26 23:55:27;O dinheiro por trás da manipulação  “O ‘Brexit’ não teria acontecido sem a Cambridge Analytica” https://t.co/QJ8f7ytxT6 via @elpais_brasil; ;228;562; ;elpais_brasil;
2018-03-26 11:35:37;@basquens Linha 9 da CPTM, estação Autódromo.; ;1;26; ;basquens;
2018-03-26 11:29:29;@brasilnalama Estava fazendo por etapas, com recursos do PAC Turismo.; ;0;18; ;brasilnalama;
2018-03-26 11:26:40;Levar o Lollapalooza para Interlagos foi um acerto da nossa gestão. Situado numa área de preservação ambiental, Interlagos deveria se transformar num parque multiuso e não ser vendido para a especulação imobiliária.; ;231;1798; ; ;
2018-03-26 02:43:27;@realsaulocesar @machado_fi Por isso eu falo de um OUTRO exemplo de neologismo, entendeu?; ;0;10; ;realsaulocesar, machado_fi;
2018-03-25 23:13:44;@machado_fi Neologismos são necessários para descrever fenômenos novos. Quer ver um outro exemplo no mundo do cinema? Não pretendi faltar com educação. Só quis ser irônico, embora saiba que não é prudente nas redes sociais. Foi mal. Abraço. https://t.co/Bw8HZJp4P1; ;2;129; ;machado_fi;
2018-03-25 21:23:11;@machado_fi Filipe, tô brincando com você. Sério. Agora não achei outra expressão para o fato de colocarem a frase símbolo que motivou o impeachment, proferida por um emedebista (“estancar a sangria”), na boca de um petista. Pareceu a mim ato falho revelador.; ;8;176; ;machado_fi;
2018-03-25 20:37:54;@machado_fi Tenta 2 horas!; ;18;253; ;machado_fi;
2018-03-25 20:34:42;@machado_fi Pensa mais do que 2 minutos. Você chega lá. Juro!; ;30;333; ;machado_fi;
2018-03-25 20:27:36;Tinha que nascer aqui esse gênero cinematográfico: a fake fiction. Pérfido mecanismo.; ;1467;4749; ; ;
2018-03-25 18:40:47;Perdi dois amigos: Ana Fonseca, uma guerreira contra a fome e a desigualdade  e Ricardo Bonalume Neto, jornalista raro, de grandes reportagens, que só escrevia sobre o que entendia. Farão falta!; ;51;507; ; ;
2018-03-25 16:36:31;Vale a leitura. Para Aviv Ovadya — da Universidade de Michigan e da Universidade Columbia, um apocalipse de informação que distorce a realidade não é só plausível, como também iminente. https://t.co/EiflacMIKJ; ;102;309; ; ;
2018-03-23 12:23:46;Entrevista que dei ao Fernando Grostein Andrade. https://t.co/Ka2kNV7DRl; ;116;504; ; ;
2018-03-23 00:20:08;Celebrando com Chico e Carol Proner à espera do show!! Minha Carol e o Pedro curtiram!! https://t.co/OQtLNvoqGA; ;71;715; ; ;
2018-03-21 18:59:29;@EduKapps Tens razão; ;5;5; ;EduKapps;
2018-03-21 11:03:06;Entrevista descreve como perdemos pessoas de bem para o crime: 'A perversão começa na formação', diz ex-PM condenado https://t.co/CwbQzSriGb; ;140;388; ; ;
2018-03-20 19:04:03;Parabéns aos servidores da Controladoria que criamos, hoje esquecida pela imprensa e pela própria prefeitura, responsável pelo desbaratamento da máfia do ISS. “Promotoria pede prisão do ‘rei dos fiscais’” -  https://t.co/qdxeJisaHD; ;79;297; ; ;
