Data;Texto;Autor(RT);Retweets;Curtidas;Hashtags;Mentions
2018-05-15 18:51:43;'Peixe raro', um texto de Antônio Claret Fernandes https://t.co/KPWECOglZw; ;1;3; ; ;
2018-05-10 01:44:58;Em Curitiba pela libertação de Lula!  Atingidos por barragens no tradicional “Boa noite, presidente Lula”, na Vigília Lula Livre. Já são 32 dias de resistência nos arredores da Polícia Federal.  #LulaValeALuta #LulaLivre #SomosTodosAtingidos  Foto: Cláudio Kbene https://t.co/jzIwzni7tf; ;3;6;#LulaValeALuta, #LulaLivre, #SomosTodosAtingidos; ;
2018-05-07 14:27:54;Hoje os manifestantes e integrantes do Acampamento Marisa Letícia foram até o centro de Curitiba dialogar com a população, denunciando a prisão politica do ex presidente Lula.  #30DiasDeResistência  #LulaValeALuta #LulaLivre https://t.co/2YRu5C2ULs; ;5;6;#LulaValeALuta, #LulaLivre, #30DiasDeResistência; ;
2018-05-07 14:27:39;A vigília Lula Livre em Curitiba (PR) completa 30 dias de luta e resistência.  #30DiasDeResistência  #LulaValeALuta #LulaLivre https://t.co/cnTVxd3E5E; ;1;1;#LulaValeALuta, #LulaLivre, #30DiasDeResistência; ;
2018-04-26 16:44:42;MAB realiza Primeiro Encontro Estadual no Pará https://t.co/bnnCEjIieL; ;1;5; ; ;
2018-04-24 16:08:57;Norte Energia tem cinco dias para retirar de famílias em situação de risco no Independente 1, determina MPF https://t.co/6ofUxLZ3u4; ;0;0; ; ;
2018-04-05 18:26:09;Família de Santa Catarina com projeto PAIS garante auto-abastecimento de alimentos  https://t.co/39NWMB6aAl https://t.co/Yimzt2BgYz; ;0;4; ; ;
2018-04-05 18:19:58;Atingidos pela Samarco, organizados no MAB ocupam a linha de trem da Vale, em Pedra Corrida, distrito de Periquito (MG). Cerca de 200 pessoas das cidades de Periquito e Naque protestam para que a Fundação Renova, empresa gerida pela Samarco garanta os direitos dos atingidos. https://t.co/wZQ7cEAcb3; ;12;14; ; ;
2018-04-05 18:18:34;Arpilleras recebe prêmio de melhor documentário do Sesc  https://t.co/xEd8VeCy5v https://t.co/DhjOHbyI3v; ;2;5; ; ;
2018-04-05 18:17:45;Em MG, atingidos conquistam água tratada no Vale do Jequitinhonha  https://t.co/AyilsWbYMB https://t.co/p4SiHlbVAm; ;0;1; ; ;
2018-03-28 14:49:32;Prisão do Padre Amaro: Mais um atentado aos defensores de direitos humanos na Amazônia https://t.co/EWqf8hu3ny; ;2;1; ; ;
2018-03-27 17:53:04;Confira fotos da nossa participação no Fórum Alternativo Mundial da Água, que aconteceu em Brasília entre 17 e 22 de março. Foram mais de 800 atingidas e atingidos de diversas regiões do país que participaram em todos os aspectos da organicidade do FAMA. Seguimos na luta! https://t.co/xaHUHsH6K8; ;1;12; ; ;
2018-03-27 17:49:29;RT @frentebrasilpop: Vamos organizar a militância para a resistência na defesa do Lula em Brasília. Quarta- feira, dia 28, às 19h. A Sede d…;frentebrasilpop;0;0; ;frentebrasilpop;
2018-03-27 17:46:44;Crime que se renova: exames comprovam metais pesados em atingidos pela Samarco  https://t.co/jsrLEPY09Z https://t.co/n3kxil4voS; ;0;5; ; ;
2018-03-27 17:45:32;Arpilleras no CineSesc em SP!  No mês de abril, nossa resistência será bordada nas telas do CineSesc em SP! A exibição faz parte do 44º Festival Sesc Melhores Filmes. As sessões ocorrerão no dia 05 e 12.  https://t.co/gQ1ke3FrA2 https://t.co/uer5oIyo8j; ;1;6; ; ;
2018-03-22 18:17:44;No dia mundial da água, atingidos pela Hydro lotam audiência pública https://t.co/yq5ttQvvFh; ;4;2; ; ;
2018-03-22 13:41:41;MAB ocupa a Eletrosul em Santa Catarina https://t.co/22Ov03chmb; ;2;6; ; ;
2018-03-20 19:20:26;“Cozinhando a diversidade do Brasil” no FAMA https://t.co/ZL9k6sfGM9; ;0;1; ; ;
2018-03-20 19:12:26;“O projeto do capital é privatizar os bens naturais em todo o mundo”, denunciam organizações https://t.co/R1cNttCwNW; ;3;4; ; ;
2018-03-18 13:34:07;A caravana que saiu de Governador Valadares (MG), Espírito Santo e Mariana (MG) chega a Belo Horizonte para o “Ato em Defesa das nossas Águas”. https://t.co/bfxy4VZ8Nb; ;2;9; ; ;
2018-03-18 13:33:28;200 ribeirinhos e atingidos da região oeste da Bahia Caravana rumo ao FÓRUM Alternativo Mundial da Água(FAMA).  O ato público tem início na ponte central do município de Bom Jesus da Lapa, banhado pelo Rio São Francisco, com o fechamento da BR 349. https://t.co/mTp0YewX6q; ;3;11; ; ;
2018-03-18 02:41:17;Em MG, atingidos fazem marcha em defesa das águas no Vale do Jequitinhonha  https://t.co/LGwqpw3LVA #SomosTodosAtingidos https://t.co/eIbsyAcyfg; ;3;7;#SomosTodosAtingidos; ;
2018-03-18 02:40:22;MAB em marcha em defesa das águas do semiárido https://t.co/unKlW6KMA8 https://t.co/7c28GHYO7e; ;2;7; ; ;
2018-03-17 21:30:20;Assembleia das Águas marca abertura do FAMA  https://t.co/Jdxy42miFN  Em Brasília, centenas de pessoas participaram da abertura do Fórum Alternativo Mundial das Águas  #FAMA2018 https://t.co/JrwTF1SvmQ; ;12;16;#FAMA2018; ;
2018-03-15 21:04:22;Exploração da água no mundo é denunciada no FSM 2018 https://t.co/n6zEcPqKJh; ;1;3; ; ;
2018-03-15 15:47:03;No dia de ontem (14) o Deputado Federal Dionilso Marcon do Rio Grande do Sul, usou da tribuna na Câmara dos Deputados para saudar o Movimento dos Atingidos por Barragens e convidar para o FAMA que acontece nos dias 17 a 22 de março em Brasília  #SomosTodosAtingidos https://t.co/5VAceblcas; ;2;1;#SomosTodosAtingidos; ;
2018-03-14 17:59:03;RT @Francelibertes: Au #FSM2018, France Libertés collabore avec deux représentants du peuple Krenak pour dénoncer les violations des droits…;Francelibertes;0;0;#FSM2018;Francelibertes;
2018-03-14 15:13:21;No ES, pescadores atingidos pela Samarco fecham trilhos da Vale  https://t.co/m2L5JBuQpF https://t.co/HAxdfDrpw7; ;3;6; ; ;
2018-03-14 15:00:33;Em MG, atingidos cobram acesso a água no Vale do Jequitinhonha https://t.co/l8DVkXIpxG 14 de março- Dia Internacional de luta dos atingidos contra barragens pela água pelos rio e pela vida. https://t.co/sKzFINmVYZ; ;2;3; ; ;
2018-03-14 03:58:46;Atingidos por barragens participando do Fórum Social Mundial em Salvador na Bahia  #SomosTodosAtingidos Fotos: @JokaMadruga https://t.co/kMdkB0Rl1P; ;5;11;#SomosTodosAtingidos;JokaMadruga;
2018-03-13 22:07:31;Belo Monte: 968 famílias são reconhecidas como atingidas  https://t.co/GcWrTOEaz4 https://t.co/yVxr5N2tNE; ;4;7; ; ;
2018-03-13 21:57:58;Hydro-Alunorte: exploração que mata Na última quinta-feira, 08 de março, as mulheres atingidas por barragens devolveram à Hydro, na sede do seu escritório em Belém, a lama que a empresa vem, há décadas, jogando no povo paraense.  https://t.co/SfF2JnuSR7 https://t.co/lnhmUPCX03; ;9;9; ; ;
2018-03-13 03:06:24;RT @proindio: Em SP | Cine Debate: 'Arpilleras: Atingidas Por Barragens Bordando a Resistência' produzido pelo @MAB_Brasil | evento ocorrer…;proindio;0;0; ;MAB_Brasil, proindio;
2018-03-13 03:04:07;Março é um mês especial para as populações atingidas por barragens. É nosso compromisso defender as águas, os rios e a vida contra qualquer forma de privatização. Por isso, afirmamos que “água é um direito, não mercadoria”. https://t.co/okT24BVbeb; ;15;30; ; ;
2018-03-13 02:46:09;No PA, atingidos por Tucuruí trancam barragem por Direitos  Hoje iniciou a Jornada Nacional de Lutas do Movimento dos Atingidos por Barragens (MAB) por Soberania, Democracia e Direitos, no município de Tucuruí no estado do Pará.   Saiba mais : https://t.co/7Bm3s6gK38 https://t.co/MlaVyedbw0; ;2;2; ; ;
2018-03-12 21:42:58;Jornada Nacional de Lutas do MAB no XINGU Nesse momento os atingidos por Belo Monte da comunidade Independente 1 estão reunidos em Preparação para a Grande Reunião com a presidenta do IBAMA que acontecerá amanhã em Altamira no Pará #SomosTodosAtingidos https://t.co/j4s53Ux1Js; ;3;8;#SomosTodosAtingidos; ;
2018-03-12 20:31:56;Ameaçados pelas barragens de Garabi e Panambi realizam ato ecumênico  https://t.co/LzIXPXTlyy https://t.co/XTCKGPQ1V7; ;0;1; ; ;
2018-03-09 18:22:37;Exames apontam que atingidos pela Samarco estão contaminados por níquel e arsênio  Amostras coletadas no município de Barra Longa (MG) indicam contaminação no sangue de população atingida  https://t.co/IBLyX8Xiq9 https://t.co/wfxeAUjxKB; ;7;4; ; ;
2018-03-08 20:11:26;Atingidas por barragens do Pará denunciam violência dos grandes projetos https://t.co/nGPVa6trNR; ;2;4; ; ;
