Data;Texto;Autor(RT);Retweets;Curtidas;Hashtags;Mentions
2018-05-21 17:44:03;Hoje à noite estarei na @BandTV Eleições, a partir das 00h25. Assista e envie seus comentários! https://t.co/qa71AjBV4F; ;20;133; ;BandTV;
2018-05-18 23:32:48;Não se resolve o problema da falta de segurança distribuindo armas para a população. Isso é uma insanidade! https://t.co/vRGPf0GKZj; ;205;903; ; ;
2018-05-17 22:25:12;A homofobia e toda forma de preconceito é inaceitável. Os direitos civis de todos os cidadãos brasileiros devem ser respeitados e preservados.; ;130;693; ; ;
2018-05-17 19:49:52;Essa infâmia de que o meu marido é desmatador na Amazônia é uma fake news que já foi desmentida pela Procuradoria Geral da República em 2013. Compartilhe a verdade - https://t.co/j0MVEcFQFR https://t.co/NAJSB1fWNm; ;138;392; ; ;
2018-05-17 00:24:11;Acompanhe Marina Silva ao vivo na 'Sabatina dos pré-candidatos', realizada pelo Centro Universitário Curitiba (UNICURITIBA) : https://t.co/FmK1S2xGp8 https://t.co/cqgxrRoSnz; ;18;104; ; ;
2018-05-16 23:19:19;Um dos idealizadores do Bolsa Família também está nos ajudando no programa de governo. https://t.co/DI1MnYv1kT; ;49;307; ; ;
2018-05-13 17:25:09;Feliz Dia das Mães para todas as mães brasileiras que geraram no ventre e no coração. https://t.co/nwukgWyfkA; ;34;286; ; ;
2018-05-12 21:20:12;Combater privilégios não pode ser só no discurso, tem que ser na prática! https://t.co/XbK3hUXitz; ;134;608; ; ;
2018-05-11 23:51:41;A educação fez um milagre na minha vida. É preciso criar igualdade de oportunidades para nossos jovens. https://t.co/8dhlbTQOkz; ;65;395; ; ;
2018-05-11 22:08:24;Ainda temos um enorme desafio para acessar a verdade sobre os casos de tortura, morte e desaparecimento na ditadura. Precisamos encarar este processo como uma etapa necessária para passar a história do Brasil à limpo e contribuir efetivamente para consolidar nossa democracia. https://t.co/bjacBgkLf1; ;30;168; ; ;
2018-05-11 13:46:51;Em vez de me perguntar como vou governar com poucos deputados, pergunte para quem tinha mais de 300 e não conseguiu governar. O diálogo com o Congresso tem que ser programático! https://t.co/c3yFKBcMDt; ;119;558; ; ;
2018-05-09 23:09:58;As mentiras, calúnias e baixarias estão voltando com tudo. Quem ganha uma eleição mentindo, vai governar da mesma maneira. #NãoValeTudo https://t.co/VCenrGUMGg; ;169;726;#NãoValeTudo; ;
2018-05-08 15:00:35;Acompanhe ao vivo a participação de Marina Silva na 73º Reunião Geral da Frente Nacional de Prefeitos: https://t.co/JVQxYjLu2y https://t.co/rngiD6ZJXF; ;20;156; ; ;
2018-05-06 18:55:08;AO VIVO | Acompanhe a palestra de Marina Silva no @brazil_forum UK 2018, na Universidade de Oxford - https://t.co/3UnZRxBU0S https://t.co/q6RWwJo4qd; ;35;210; ;brazil_forum;
2018-05-06 13:57:40;Acompanhe a participação de Marina no @brazil_forum, na Universidade de Oxford. A palestra será transmitida ao vivo no facebook e no Youtube, às 14h. https://t.co/bJchhQFuzS; ;36;180; ;brazil_forum;
2018-05-04 23:32:57;Todas as pessoas têm que ser respeitadas, independente de cor, orientação sexual, condição social ou credo religioso. https://t.co/VHgqzSqCi0; ;98;586; ; ;
2018-05-03 21:45:29;A restrição do foro privilegiado, decidida hoje pelo STF, é um passo importante, mas ainda insuficiente para o fim da impunidade. É fundamental acabar com esse privilégio para todos os políticos e autoridades públicas, além de combiná-lo com a prisão em 2ª instância.; ;114;677; ; ;
2018-05-02 17:16:00;Aécio, Renan, Romero Jucá, Temer e tantos outros estão escondidos atrás do foro privilegiado. O fim do foro é urgente! https://t.co/gfDSuFc5oi; ;144;607; ; ;
2018-05-01 22:33:17;Hoje, neste 1º de Maio, não temos muito o que comemorar. #DiaDoTrabalhador https://t.co/uYOCrhDMwL; ;58;312;#DiaDoTrabalhador; ;
2018-05-01 02:10:00;RT @rodaviva: Como governar sem apoio parlamentar? @silva_marina aposta em governos programáticos. Veja sua resposta à pergunta no #RodaViv…;rodaviva;0;0; ;rodaviva, silva_marina;
2018-05-01 01:43:15;RT @rodaviva: 'Eu acredito que os 200 milhões de brasileiros e suas consciências serão bem maiores do que os 10 segundos que eles estão me…;rodaviva;0;0; ;rodaviva;
2018-05-01 01:38:46;RT @rodaviva: Em que as eleições de 2018 se diferenciam das passadas? Veja a opinião de @silva_marina, agora, no #RodaViva. https://t.co/Cp…;rodaviva;0;0;#RodaViva;rodaviva, silva_marina;
2018-05-01 01:20:11;Acompanhem a entrevista de Marina Silva ao vivo no Roda Viva: https://t.co/cgqsQATIvZ; ;45;171; ; ;
2018-04-30 21:51:03;Hoje à noite estarei no programa @rodaviva da @tvcultura, a partir das 22h15. Falarei das ideias da nossa pré-candidatura à presidência da República. Acompanhem! #MarinaNoRodaViva #RodaViva https://t.co/UD4qeWyMQs; ;99;434;#RodaViva, #MarinaNoRodaViva;tvcultura, rodaviva;
2018-04-29 01:30:01;REDE repudia ataque a tiros ao acampamento em favor do ex-presidente Lula em Curitiba. https://t.co/PcvKjgvDly; ;46;397; ; ;
2018-04-27 14:29:08;Assumo novamente o compromisso de fazer uma campanha ética, sem fazer uso da violência ou mentiras contra os adversários. A forma como se ganha determina a forma como se governa. #NãoValeTudo para ganhar uma eleição! https://t.co/3aoiTWwXam; ;157;779;#NãoValeTudo; ;
2018-04-25 23:32:36;Recusei a aposentadoria de senadora e não me arrependo! https://t.co/DfIQMhujo1; ;185;847; ; ;
2018-04-24 23:18:05;A luta em defesa dos direitos indígenas é um compromisso de vida - Acampamento Terra Livre 2018. https://t.co/FHiNqfNsQv; ;36;289; ; ;
2018-04-24 22:04:48;Estou sumida mesmo, das páginas policiais. Tenho 33 anos de vida pública sem nenhum processo. Honestidade é obrigação! https://t.co/PStlfcDbmi; ;395;2108; ; ;
2018-04-23 16:09:10;Envie suas perguntas no @programapanico https://t.co/VZkkXGXL25; ;14;209; ;programapanico;
2018-04-23 15:30:47;Estou ao vivo no 'Pânico no Rádio' para conversar sobre o Brasil e as ideias da nossa pré-candidatura à presidência - https://t.co/8S8Tjc8cWD; ;29;221; ; ;
2018-04-23 00:01:59;Estarei amanhã (23) ao vivo no 'Pânico no Rádio', às 12h25, para conversar sobre o Brasil e as ideias da nossa pré-candidatura à presidência. https://t.co/voxhKEg0OG; ;61;343; ; ;
2018-04-21 01:21:32;O ex-senador Pedro Simon (PMDB-RS) está ajudando a nossa pré-candidatura à presidência de manhã, de tarde e de noite com toda a sua força e sabedoria. Como eu sempre digo, queremos contar com os melhores dos diferentes partidos e os melhores da sociedade. https://t.co/RWWtRNR8rE; ;62;550; ; ;
