Data;Texto;Autor(RT);Retweets;Curtidas;Hashtags;Mentions
2018-05-19 16:17:56;Foi com profunda tristeza que soube da queda de um avião que havia acabado de decolar, em Havana. Estendo a fraternal solidariedade do Brasil aos feridos, às famílias das vítimas e a todo o estimado povo cubano.; ;32;339; ; ;
2018-05-18 22:55:56;RT @planalto: #MinhaCasaMinhaVida terá 700 mil unidades entregues até dezembro, afirmou o presidente @MichelTemer. Na cidade mineira, Temer…;planalto;0;0;#MinhaCasaMinhaVida;planalto, MichelTemer;
2018-05-18 16:33:49;É inquestionável. Tivemos cerca de 115 mil empregos de carteira assinada  criados em abril. Os defensores da crise perderam. O otimismo voltou. https://t.co/1LJhlVfiPR; ;22;93; ; ;
2018-05-18 16:00:07;(AI) #AoVivo Presidente Michel Temer participa de encerramento do Fórum @exame e @CNI_br – “Inovação: A #IndústriaDoFuturo”, em São Paulo. Assista: https://t.co/Gjri0lMUyh; ;9;41;#AoVivo, #IndústriaDoFuturo;CNI_br, exame;
2018-05-18 12:51:42;Quando investimos no #MinhaCasaMinhaVida, estamos também reativando a construção civil e fazendo a economia girar, tudo para que mais brasileiros possam ter a sua carteira assinada. O Brasil de hoje é um País melhor e que cresce. Não há espaço para retrocessos.; ;5;55;#MinhaCasaMinhaVida; ;
2018-05-18 12:51:41;Entregar a um trabalhador, a uma trabalhadora as chaves da casa própria é um momento muito especial. O que nós no meu governo queremos é que mais brasileiros se livrem do aluguel, é que mais famílias tenham moradia digna. Isso dá sentido ao ato de governar. https://t.co/9W01W9B8UW; ;14;108; ; ;
2018-05-18 12:40:41;(AI) #AoVivo Presidente Michel Temer entrega casas do programa #MinhaCasaMinhaVida, em Patos de Minas (MG). Assista: https://t.co/9lNHAwd0MQ; ;9;62;#AoVivo, #MinhaCasaMinhaVida; ;
2018-05-17 23:00:44;O nosso trabalho para combater a exploração sexual de crianças e adolescentes não para. Hoje, a operação Luz na Infância prendeu mais de 250 pessoas. https://t.co/OlhOEzT6KP; ;73;362; ; ;
2018-05-17 19:07:47;A exposição “Entre a Saudade e a Guerra” enfatiza a vivência dos soldados na guerra, as incertezas, os sofrimentos do conflito e as saudades de casa. Espero que muitos estudantes possam visitar a exposição p/ ver a 2ª Guerra Mundial pelos olhos da Força Expedicionária Brasileira. https://t.co/GwdWS9Wbq6; ;13;53; ; ;
2018-05-17 18:32:37;(AI) #AoVivo Presidente Michel participa da cerimônia de abertura da exposição “Entre a Saudade e a Guerra”. Assista: https://t.co/edXAdyDgEM; ;9;63;#AoVivo; ;
2018-05-17 16:13:56;Acabo de liberar mais R$ 78 milhões destinados a obras de saneamento em bairros populares de Teresina (PI). Essa é a terceira liberação que fazemos para o setor em todo o país em apenas 5 meses. É assim que meu governo fortalece o pacto federativo. https://t.co/l8kno03Oo7; ;21;118; ; ;
2018-05-17 15:23:26;(AI) #AoVivo Presidente Michel Temer anuncia investimentos em saneamento para Teresina. Assista: https://t.co/gzB2YgBiuI; ;12;69;#AoVivo; ;
2018-05-17 01:21:16;A construção civil tem forte dimensão social. Como gosto sempre de lembrar, é sinônimo de geração de empregos. E isso é nossa maior prioridade. Neste esforço de erguer um Brasil mais justo e mais próspero é uma aliada indispensável. #ENIC2018 #90ºEnic https://t.co/Q3VeUxvQvQ; ;24;91;#90ºEnic, #ENIC2018; ;
2018-05-17 00:56:16;(AI) #AoVivo Presidente Michel Temer participa, em Florianópolis (SC), da abertura do #90ºEnic - Encontro Nacional da Indústria da Construção. Assista: https://t.co/BZGTLqzK3r #ENIC2018 https://t.co/ClymfSHzv7; ;19;92;#AoVivo, #90ºEnic, #ENIC2018; ;
2018-05-16 19:09:42;RT @planalto: Com o programa #AgoraÉAvançar, lançado pelo presidente @MichelTemer, cerca de 7 mil obras serão concluídas até o final do ano…;planalto;0;0;#AgoraÉAvançar;planalto, MichelTemer;
2018-05-16 14:35:34;RT @planalto: Com o objetivo de garantir mais segurança jurídica, bem-estar e dignidade para os brasileiros, o @governodobrasil entregou nú…;planalto;0;0; ;governodobrasil, planalto;
2018-05-16 13:24:57;O meu governo aumentou a distribuição de remédios gratuitos do Farmácia Popular em 20% nos últimos dois anos. Mais acesso a medicamentos é mais saúde para a população https://t.co/BhDxgGkOvz https://t.co/Do2A0CxMlj; ;33;192; ; ;
2018-05-16 00:00:01;Nós trouxemos bilhões em novos negócios. Nosso comércio exterior cresceu exponencialmente e hoje somos considerados o segundo melhor destino para investimentos no mundo: https://t.co/7l97caEJ1W #Avançamos https://t.co/66RN4HN3yw; ;33;155;#Avançamos; ;
2018-05-15 23:00:00;Os números obtidos pelo governo federal falam por si. A inflação caiu e a taxa básica de juros da economia (Selic) é a menor da história: https://t.co/ktdEN9I366 #Avançamos https://t.co/GlX3ZZSs5q; ;51;257;#Avançamos; ;
2018-05-15 22:19:15;RT @governodobrasil: Eita eita. Quem imaginaria que o nosso presidente @MichelTemer, mesmo com todo o corre que o cargo exige, ainda arruma…;governodobrasil;0;0; ;governodobrasil, MichelTemer;
2018-05-15 22:19:11;RT @governodobrasil: Entrevista exclusiva? Tem sim senhor! Bati um papo com o presidente @MichelTemer momentos antes do evento de 2 anos de…;governodobrasil;0;0; ;governodobrasil, MichelTemer;
2018-05-15 20:01:23;Depois de vencer a pior recessão econômica da história, o país retomou o crescimento, colocou a pauta da inclusão social novamente na agenda e passou a criar oportunidades para todos. O Brasil cresce e nossa esperança cresce junto. https://t.co/kZ88GvttJe; ;21;90; ; ;
2018-05-15 20:01:22;Sempre trabalhei para unificar e pacificar o País. Não podemos ter brasileiros contra brasileiros. Não podemos ter o descumprimento constitucional. A Constituição é a autoridade no País. Eu pautei meu governo nessa convicção. https://t.co/diBRmL4Q4U; ;25;85; ; ;
2018-05-15 20:01:21;O time @governodobrasil colocou o País acima de qualquer interesse político-partidário. O Legislativo, o Executivo e o Judiciário governaram juntos. Somente com essa união, com essa parceria conseguimos fazer tanto pelo Brasil em tão pouco tempo. https://t.co/vjpMMPnXzH; ;12;35; ;governodobrasil;
2018-05-15 20:01:20;Fico feliz em poder afirmar que o Brasil voltou a ser uma das maiores economias do mundo. Foram dois anos de muito trabalho e muita realização. Diante de tantas obras, tantas ações, fica a nossa gratidão, do @governodobrasil, a todos os que proporcionaram essas mudanças. https://t.co/NFtuYKkX9I; ;56;269; ;governodobrasil;
2018-05-15 18:23:26;(AI) #AoVivo Presidente Michel Temer faz balanço de 2 anos de governo. Assista: https://t.co/p2ZUL2Ug7c #Avançamos; ;25;74;#AoVivo, #Avançamos; ;
2018-05-15 10:39:58;Recuperamos o Brasil. No aniversário de dois anos de meu governo, aqueles que analisarem com isenção vão constatar: transformamos a mais grave recessão da nossa história em crescimento consistente. Leia meu artigo na @folha: https://t.co/RjYCS6CM02; ;102;513; ;folha;
2018-05-14 17:26:55;Já temos a seleção para a Copa do Mundo na Rússia. Agora, Tite e equipe, com todo respeito aos nossos anfitriões e amigos russos e com humildade, por favor tragam o Caneco para casa. https://t.co/Adj2P7KHmG; ;354;1057; ; ;
2018-05-14 16:37:01;Diretor de 25 filmes, de chanchadas a clássicos, Roberto Farias nos deixou hoje. Teve participação importante no cinema brasileiro, nos sets de filmagens e na gestão do setor. Minha homenagem à família, amigos e colegas.; ;18;99; ; ;
2018-05-14 15:38:07;Lamento profundamente os terríveis episódios de violência na fronteira entre Israel e a Palestina. Nossa solidariedade com os feridos e as famílias dos mortos. O Brasil faz um apelo à moderação, um chamado à paz.; ;62;321; ; ;
2018-05-13 16:04:07;Com muita tristeza soube da morte prematura de Rômulo Gouveia. Um parlamentar com experiência e espírito público notáveis. Outra qualidade, a capacidade de diálogo, fará muita falta nos dias atuais. Minhas condolências aos familiares e amigos.; ;40;188; ; ;
2018-05-13 12:01:00;Mãe nos traz os melhores sentimentos. Respeito, carinho, amor. Muita gratidão. O exemplo da união familiar que devemos levar para todas as dimensões de nossas vidas. Ela nos ensina o valor da tolerância, que torna a sociedade melhor, mais justa. Meu carinho a todas vocês.; ;100;611; ; ;
2018-05-12 12:50:57;Até 23 de março deste ano, 212 mil crianças e 31,5 mil gestantes já tinham sido atendidas. Temos um novo Brasil, mais forte, mais otimista. Não há espaço para retroceder. As mudanças precisam continuar. Os defensores da crise perderam. O Brasil aprendeu a crescer com consistência; ;44;188; ; ;
2018-05-12 12:50:55;O governo está investindo R$ 2 bi na Política de Formação de Professores, beneficiando 190 mil mestres. E com o programa Criança Feliz, estamos cuidando de crianças e gestantes beneficiárias do @bolsafamilia e do Benefício de Prestação Continuada.; ;37;167; ;bolsafamilia;
2018-05-12 12:50:48;Tive a coragem de fazer a reforma do Ensino Médio e a Base Nacional Comum Curricular, demandas de mais de 20 anos dos educadores brasileiros. A mudança na educação das nossas crianças e jovens já começou. Criamos mais 500 mil vagas de ensino em tempo integral.; ;42;147; ; ;
2018-05-12 12:50:46;Os números são incontestáveis: as duas maiores safras da história, os dois maiores superávits comerciais, a recuperação de todas as empresas estatais, o recorde na concessão de títulos de propriedade, agrárias e urbanas, a demarcação das maiores áreas de conservação ambiental.; ;38;133; ; ;
2018-05-12 12:50:40;O Brasil, que encolhia a um ritmo de quase 4% ao ano, agora vai crescer mais de 2%. A recessão que dizimava mais de 150 mil empregos/mês acabou. O emprego voltou, com cerca de 204 mil vagas com carteira assinada em 2018 e mais de 1,5 mi de postos de trabalho gerados no último ano; ;42;133; ; ;
2018-05-12 12:50:30;Há dois anos, assumi o governo do Brasil com uma dura missão: retirar o país da sua mais grave recessão, estancar o desemprego, recuperar a responsabilidade fiscal e manter os programas sociais. De fato, tudo isso foi feito.; ;142;741; ; ;
2018-05-11 18:05:49;Mais um bom motivo para celebrar os dois anos do meu governo. O brasileiro está consumindo mais e isso movimenta toda a economia https://t.co/cbP4h7kuP6; ;63;368; ; ;
2018-05-09 22:27:44;Temos ainda sete meses de governo, vamos fazer muito mais. Não tivemos medo de tomar medidas duras, mas necessárias para mudar os rumos do País. Vamos trabalhar mais, para garantir mais empregos. E ressalto: quem apostar no Brasil vai ganhar. #AVozDoBrasil; ;31;137;#AVozDoBrasil; ;
2018-05-09 22:27:44;Respondi, agora a pouco, perguntas de brasileiros sobre os dois anos do governo e nossos planos para os próximos meses. Tiramos o País da recessão. As empresas voltaram a confiar na nossa economia. O resultado disso estamos acompanhando de perto: a abertura de vagas de emprego.; ;18;93; ; ;
2018-05-09 22:08:09;(AI) Presidente Michel Temer concede entrevista exclusiva para a rádio @avozdobrasil. Acompanhe: https://t.co/GH9eCSV07j https://t.co/xGvHyGfHaQ; ;21;90; ;avozdobrasil;
2018-05-09 21:30:00;A política econômica do Presidente @mauriciomacri é uma política de responsabilidade, de reformas para o crescimento sustentado e o desenvolvimento da Argentina. Temos plena confiança nesse caminho.; ;394;855; ;mauriciomacri;
2018-05-09 21:12:13;A regra do nosso governo tem sido a modernização de toda a legislação brasileira. Por isso, encaminho ao Congresso projeto que trata da nova Lei de Falências. https://t.co/VBii6EfXau; ;46;171; ; ;
2018-05-09 18:51:14;O setor automotivo aumentou a produção em 40% em abril se comparado ao ano passado. No varejo houve um aumento expressivo de vendas neste ano. Isso significa que o brasileiro tem consumido mais.; ;18;81; ; ;
2018-05-09 18:51:14;Outra boa notícia, os @CorreiosBR tiveram um lucro de R$ 667 mi em 2017. Este aliás, é o primeiro lucro desde 2013, quando a companhia começou a registrar prejuízos seguidos até 2016.; ;28;92; ;CorreiosBR;
2018-05-09 18:50:30;Semana de boas notícias em nossa economia: O Brasil foi considerado por 2.500 altos executivos de todo o mundo, o segundo principal destino de investimentos externos dos principais setores industriais. Já a @petrobras atingiu o maior valor de mercado da sua história, R$ 312,5 bi https://t.co/2j1l9c01CI; ;49;211; ;petrobras;
2018-05-09 14:44:11;A missão que dei a Pedro Parente foi fazer com que o brasileiro voltasse a se orgulhar da @petrobras. Em 2 anos de gestão séria e com a recuperação da economia do país, a empresa atingiu, ontem, o maior valor de mercado da sua história, R$ 312,5 bi.; ;151;951; ;petrobras;
2018-05-09 13:32:14;A pesquisa, feita de dois em dois anos pelo Global Capital Confidence Barometer, nomeou EUA, Brasil, Canadá, China e o Reino Unido como os cinco principais destinos para investimento. Na última pesquisa estávamos em 8º lugar. Em 2 anos de meu governo, aí está o Brasil de volta.; ;46;166; ; ;
2018-05-09 13:32:13;Eu tenho dito que a recuperação do Brasil é mais valorizada no exterior do que aqui dentro. Veja a prova. Nosso país foi considerado o segundo principal destino de investimentos externos dos principais setores industriais https://t.co/7l97caEJ1W; ;82;318; ; ;
2018-05-07 21:08:33;(AI) Presidente Michel Temer concede entrevista ao jornalista  @KennedyAlencar, do @jornaldacbn. Ouça: https://t.co/hAPNjyVcX9 https://t.co/MrsGyozDuh; ;15;77; ;jornaldacbn, KennedyAlencar;
2018-05-07 20:57:04;A confiança da economia está de volta. O Brasil, com todas as dificuldades, retomou o caminho do crescimento, com responsabilidade: https://t.co/52LCzhcmfS https://t.co/QQW3TgrNZc; ;55;262; ; ;
2018-05-07 16:46:08;Com a inflação baixa, os salários estão mais valorizados e os supermercados não precisam aumentar os preços. A confiança da economia está de volta. O Brasil, com todas as dificuldades, retomou o crescimento responsável.; ;16;84; ; ;
2018-05-07 16:46:07;O Brasil tem que se orgulhar de tudo o que está acontecendo. E não é só ação do governo, mas também do setor privado. Os supermercados são termômetros de como anda a economia.; ;17;73; ; ;
2018-05-07 16:22:46;(AI) #AoVivo Presidente Michel Temer participa da cerimônia de abertura da APAS Show 2018. Assista: https://t.co/0AqZQxBAKB https://t.co/XUygRqM3s7; ;20;85;#AoVivo; ;
2018-05-07 03:06:55;(AI) Presidente Michel Temer participa da estreia do @sbtpoderemfoco. Assista: https://t.co/sncaybM4FK #PoderEmFoco https://t.co/Vg53ZbDIW7; ;47;222;#PoderEmFoco;sbtpoderemfoco;
2018-05-06 16:31:23;Sancionei neste domingo projeto de lei do governo que distribui mais de R$ 4 bilhões para estados e municípios como resultado das compensações financeiras pela produção de petróleo e gás natural. Estes recursos irão beneficiar a população brasileira.; ;87;449; ; ;
2018-05-05 22:05:35;RT @planalto: Mais uma semana chega ao fim e cheia de boas notícias. Aumento do Bolsa Família, assinatura de acordos com Suriname, aprovaçã…;planalto;0;0; ;planalto;
