Data;Texto;Autor(RT);Retweets;Curtidas;Hashtags;Mentions
2018-05-17 01:02:35;#Aovivo em instantes Intervenção poética inédita do Slam das Minas no debate Juventudes Periféricas no Sesc Avenida Paulista. Acompanhe: https://t.co/DCe9gaDzfX https://t.co/UfzVUbc7b9; ;0;19;#Aovivo; ;
2018-05-17 00:45:50;LULA FESTIVA: Contra prisão política de Lula e diante da escalada violenta e antidemocrática na América Latina, coletivos da Argentina e do Brasil realizam evento latinoamericano de solidariedade. Festival acontecerá em Buenos Aires no próximo dia 19.  #LulaLivre #MarielleVive https://t.co/mdHJpEtWTq; ;29;51;#LulaLivre, #MarielleVive; ;
2018-05-16 23:45:54;LULA FESTIVA: A RUA É NOSSA 🔥 #LulaLibre #MarielleVive À partir dos movimentos sociais, o sindicalismo, o feminismo, a cultura, a diversidade e os meios de comunicação independentes fazemos um chamado coletivo. Este sábado, 19 de maio, às 18h, na Plaza de Mayo, Buenos Aires. https://t.co/gn5AdlM5HZ; ;37;86;#LulaLibre, #MarielleVive; ;
2018-05-16 22:04:21;Na madrugada do dia 14/4, 700 famílias ocuparam área improdutiva em Valinhos, SP. Ao completar 1º mês, acampamento avança no processo de organicidade e não pára de crescer, atualmente com mil famílias, oque demonstra a convicção coletiva na luta contra a especulação imobiliária https://t.co/uIS0NrgdoM; ;12;28; ; ;
2018-05-16 22:00:45;Por Kayser https://t.co/oTdvCALxpk; ;113;295; ; ;
2018-05-16 21:59:49;A quem interessa a reportagem da TV Globo que ataca Carmen da Silva Ferreira? https://t.co/fUSXLxpdBL; ;7;12; ; ;
2018-05-16 21:52:56;Empresário pré candidato à presidência quer o fim do BNDES. Até ele precisar novamente. https://t.co/fhI5uzPtU3; ;16;26; ; ;
2018-05-16 21:47:12;O lema é justiça para todos. Mas ela só chega em uma parte, geralmente mais à esquerda, desse todos. https://t.co/R0dN1CgLQx; ;15;31; ; ;
2018-05-16 20:25:01;Aconteceu hoje, em Belo Horizonte, paralisação dos professores e professoras da rede estadual de ensino de Minas Gerais, com apoio de servidores públicos de outras categorias que também estão em greve, como o setor de saúde, devido aos atrasos salariais. https://t.co/mWlxYT0TPb; ;15;51; ; ;
2018-05-16 19:33:11;Mauricio de Souza mais uma vez rifando a Turma da Mônica, grande referência dos quadrinhos brasileiros por décadas, aos interesses comerciais e agora – pasmem, militares! https://t.co/uucksfkcDG; ;53;155; ; ;
2018-05-16 19:32:34;Por isso dia 19 vai acontecer o Lula Festiva, com pensadores e artistas latinos, em uma só luta pelos direitos de todas e todos na América Latina!  Será na Plaza de Mayo, em Buenos Aires, neste sábado, às 18h. Confirme e compareça: https://t.co/lsAhtHlaMA https://t.co/QDzuYmdlS5; ;12;35; ; ;
2018-05-16 19:32:33;A luta por #LulaLivre é uma luta não só do Brasil, mas de toda a America Latina! Sua prisão foi um golpe para a democracia do continente, assim como o assassinato de Marielle Franco.; ;9;17;#LulaLivre; ;
