Data;Texto;Autor(RT);Retweets;Curtidas;Hashtags;Mentions
2018-05-16 17:16:58;#AoVivo no debate Juventude do Campo e da Cidade: Resistir aos Retrocessos e Avançar na Luta, na UFPE.  #BoulosESonia #VamosSemMedo https://t.co/7VH0NXd2Wn; ;0;0;#BoulosESonia, #AoVivo, #VamosSemMedo; ;
2018-05-15 20:30:03;É urgente que disputemos os espaços de poder! https://t.co/puY8SmaICb; ;0;0; ; ;
2018-05-15 16:10:03;No governo de Temer, o Brasil retrocede 20 anos atrás sem investimentos em saúde, educação e seguridade social. https://t.co/WgmOVJ5fwp; ;1;1; ; ;
2018-05-14 22:00:05;Aconteceu hoje, a mesa 'Todo camburão tem um pouco de navio negreiro, durante o Seminário 130 anos da falsa abolição, no IBMR Botafogo.  Participaram da mesa de debate a militante do RUA, Daniella Monteiro e a professora de Direito da UFRJ, Luciana Boiteux.; ;0;0; ; ;
2018-05-14 20:30:03;5 anos da resolução sobre casamento entre pessoas do mesmo sexo &lt 3 https://t.co/IjyylsPLQ1; ;0;0; ; ;
2018-05-14 18:00:03;Hoje, às 16h, acontece a roda de conversa 'Juventude Sem Medo e Artistas com Guilherme Boulos'. Durante sua passada pelo estado de Sergipe o militante do MTST e pré candidato a presidência da... https://t.co/t6Ufp3blaf; ;0;0; ; ;
2018-05-14 13:20:38;Ainda sobre os 130 anos da falsa abolição... https://t.co/yS7I95s93G; ;0;0; ; ;
2018-05-14 02:00:04;[EM MEMÓRIA DE CLÁUDIA CELESTE 1952-2018]  Cláudia Celeste foi uma das mais completas artistas brasileiras. A Diva estreou nos palcos do Teatro Rival no ano de 1973 em um dos famosos espetáculos de... https://t.co/mgJupVftVo; ;0;1; ; ;
2018-05-13 17:18:05;As mulheres mobilizam a mudança no Brasil! 💪🏽 https://t.co/IF5dP1uHih; ;2;3; ; ;
2018-05-12 21:20:05;Na tarde de hoje, na UERJ aconteceu o encontro do Pré-Vestibular Popular + Nós somos sementes, reunindo centenas de pessoas.  #MarielleVive #MarielleSemente — participando de Encontro: Somos Sementes - Marielle Vive em UERJ Universidade do Estado do... https://t.co/XLC8CUQ2eO; ;1;1;#MarielleSemente, #MarielleVive; ;
2018-05-12 17:11:21;Começa agora o encontro de pré vestibulares Somos Sementes. #MarielleVive https://t.co/Sif3wxG6LL; ;1;1;#MarielleVive; ;
