Data;Texto;Autor(RT);Retweets;Curtidas;Hashtags;Mentions
2018-05-17 01:39:26;Como 'caras legais' acham que sexo funciona https://t.co/ClczUP2uTW; ;47;103; ; ;
2018-05-17 01:07:36;Queria entender a fixação de cartunistas com estupro.; ;5;26; ; ;
2018-05-17 00:23:02;Vocês sabem o que é a ADPF 442? É uma ação proposta perante o STF que contesta a constitucionalidade da criminalização do aborto (arts. 124 e 126 do Código Penal). Que dúvidas vcs tem sobre o tema?; ;0;19; ; ;
2018-05-16 22:32:38;@AvancaBrasil_ Esse tweet não é nosso. É de uma conta fake antiga.; ;0;0; ;AvancaBrasil_;
2018-05-16 02:58:36;A gente lendo a inicial da ADPF 442 https://t.co/4ifOG356EF; ;1;9; ; ;
2018-05-15 12:22:46;Olá! Vocês poderiam tirar um minuto do seu tempo para responder nosso questionário?  Os participantes concorrem a um sorteio de um kit com livro + adesivo + marcador de página :)  https://t.co/Qu3z5Ym49Y https://t.co/Qu3z5Ym49Y; ;3;12; ; ;
2018-05-15 02:26:38;bolo com bonequinho da noiva arrastando no noivo, 'perdemos um soldado' e 'game over' nas legendas das fotos dos amigos... quem olha até acha que o cara tá sendo obrigado a casar. Se é pra casar assim pq casa?; ;115;564; ; ;
2018-05-15 02:08:13;@bicmuller Temos um calendário de tretas virtuais; ;1;12; ;bicmuller;
2018-05-14 23:12:11;Nós atualizamos o artigo publicado ontem para incluir um pronunciamento da Rede de Mulheres Empreendedoras, que organiza o evento Women Will, do Google. https://t.co/dXPZI2Bp1a; ;0;4; ; ;
2018-05-14 23:05:06;Estamos copiando, integralmente, abaixo, posicionamento nosso RME – Rede Mulher Empreendedora e Google – WomenWill, sobre nosso artigo 'Ela vai engravidar: demite', publicado ontem no #blognãomekahlo (link nos... https://t.co/RdzJDWoA2T; ;1;3;#blognãomekahlo; ;
2018-05-14 21:11:33;Vocês teriam um tempinho para responder nosso questionário? (quem participar concorre a um kit com: livro, marcador de página e adesivo) https://t.co/Qu3z5Ym49Y; ;1;15; ; ;
2018-05-14 17:17:32;RT @StevenStaples81: He saw 14 million possible futures and this is the only 1 where everyone wins. https://t.co/4fzXpqWjua;StevenStaples81;0;0; ;StevenStaples81;
2018-05-14 16:45:07;@pablovillaca Esse texto do The Guardian é ruim. Não por querer criticar o filme (não vi, nem saberia dizer se as críticas são válidas), mas por se dispor a defender a 'isenção' do crítico de cinema, como se este vivesse numa bolha isolada da sociedade - machista, racista, etc - em que vive.; ;0;5; ;pablovillaca;
2018-05-14 14:59:46;@silvaugust Nós citamos uma pesquisa no texto que explica que mesmo no caso de mães serem comprovadamente producentes e capazes, ainda assim sofrem discriminação. Enfim, tenho q ir! Até mais.; ;0;1; ;silvaugust;
2018-05-14 14:52:59;@silvaugust @mocamachista_ @BlogNegras @Cecillia @minashistoricas @AsMathildas @Mamilospod Mas com certeza toda a lógica por trás dessas questões tem a ver com o fato de recair sobre as mulheres a principal responsabilidade no cuidado com filhos e com a casa.; ;0;3; ;silvaugust, mocamachista_, AsMathildas, Mamilospod, BlogNegras, Cecillia, minashistoricas;
2018-05-14 14:46:05;@silvaugust @mocamachista_ @BlogNegras @Cecillia @minashistoricas @AsMathildas @Mamilospod Acho que você precisa entender melhor o conceito. Não é apenas sobre faltas ou contratações, é sobre como mulheres que são mães são vistas por empregadores e como isso as afeta no mercado de trabalho.; ;0;2; ;silvaugust, mocamachista_, AsMathildas, Mamilospod, BlogNegras, Cecillia, minashistoricas;
2018-05-14 14:38:02;@silvaugust @mocamachista_ @BlogNegras @Cecillia @minashistoricas @AsMathildas @Mamilospod Agora, trabalhadores precisam se ausentar por diversos motivos. Alguns empregadores são mais solidários a quem teve um carro quebrado e chegou atrasado do que à mãe que precisou levar o filho ao médico e se atrasou.; ;0;1; ;silvaugust, mocamachista_, AsMathildas, Mamilospod, BlogNegras, Cecillia, minashistoricas;
2018-05-14 14:37:18;@silvaugust @mocamachista_ @BlogNegras @Cecillia @minashistoricas @AsMathildas @Mamilospod Segundo, que você vem discutir isso a partir de um exemplo. Sim, mulheres precisam se ausentar do trabalho para levar filhos ao médico. Sim, pais deveriam fazer isso, mas a carga normalmente fica à mulher.; ;0;1; ;silvaugust, mocamachista_, AsMathildas, Mamilospod, BlogNegras, Cecillia, minashistoricas;
2018-05-14 14:36:13;@silvaugust @mocamachista_ @BlogNegras @Cecillia @minashistoricas @AsMathildas @Mamilospod Eu acho que você está fazendo uma interpretação muito equivocada de tudo. Primeiro, porque o motherhood penalty não afeta o empregador, é causada por ele.; ;0;1; ;silvaugust, mocamachista_, AsMathildas, Mamilospod, BlogNegras, Cecillia, minashistoricas;
2018-05-14 14:33:34;RT @blogfeministas: Por que o Brasil teve uma falsa abolição da escravatura? Assinada há 130 anos, a Lei Áurea tornou a população negra liv…;blogfeministas;0;0; ;blogfeministas;
2018-05-14 14:08:31;“Devem ter pensado: ‘Vamos escrever isso aqui, alguém vai assinar e acabou. É só mais um negro, favelado. A sociedade lá embaixo vai acreditar que é bandido e vai bater palma, afinal, como dizem, ‘bandido bom é bandido morto'”, disse. “Só que eles... https://t.co/XcGUwhw9K4; ;8;28; ; ;
2018-05-14 13:54:54;@silvaugust @mocamachista_ @BlogNegras @Cecillia @minashistoricas @AsMathildas @Mamilospod Não é o empregador que 'assume as dores'. O que o empregador normalmente faz é causar as dores. O que deveria haver é uma legislação protetiva aos trabalhadores. E o que os empregadores devem fazer é cumpri-la.; ;0;3; ;silvaugust, mocamachista_, AsMathildas, Mamilospod, BlogNegras, Cecillia, minashistoricas;
2018-05-14 13:14:49;RT @HeloRighetto: Pessoal, preciso da ajuda de vcs! O questionário pra minha pesquisa de mestrado está no ar!!! Preciso de muitas respostas…;HeloRighetto;0;0; ;HeloRighetto;
2018-05-14 00:08:49;Tá rolando no nosso Instragram (&gt  @naokahlo) sorteio de três cursos para gestantes, em comemoração ao #DiaDasMães 😊; ;0;5;#DiaDasMães;NAOKAHLO;
2018-05-13 23:56:18;As mães que tiveram seus filhos assassinados pelo Estado decidiram fazer o trabalho da polícia: investigar https://t.co/XcGUwhw9K4 por @delarabru; ;10;38; ;delarabru;
2018-05-13 20:28:56;No texto de hoje do #blognãomekahlo contamos sobre um episódio lamentável que ocorreu no evento do #WomenWill, do Google. Mas, mais do que isso, falamos sobre licença-maternidade e discriminação no mercado de trabalho https://t.co/7sz1pnwj8v; ;16;36;#blognãomekahlo, #WomenWill; ;
2018-05-13 19:02:53;RT @NAOKAHLO: Nós participamos do #WomenWill e, infelizmente, presenciamos um episódio lamentável. Contamos essa experiência no texto de ho…;NAOKAHLO;0;0;#WomenWill;NAOKAHLO;
2018-05-13 18:51:59;RT @AnarcoFino: Um pouco fora do tom habitual, acho fundamental, em um dia como o de hoje, falar daquelas mães que tiveram seus filhos mort…;AnarcoFino;0;0; ;AnarcoFino;
