Data;Texto;Autor(RT);Retweets;Curtidas;Hashtags;Mentions
2018-05-11 15:10:06;RT @gurudepre: O sociólogo Jessé Souza convida a todos para o Curso Livre sobre o Golpe de 2016, que será ministrado por diversas personali…;gurudepre;0;0; ;gurudepre;
2018-05-10 19:16:18;RT @Lelecoutz: Se inscrevendo no https://t.co/lNOWIuAStu além de aprender mais sobre o golpe dado na legitima presidente você ainda concorr…;Lelecoutz;0;0; ;Lelecoutz;
2018-05-10 19:14:59;RT @operamundi: Relatório da CIA: Geisel manteve e centralizou 'política de execução sumária de subversivos' de Médici https://t.co/UP1sX9F…;operamundi;0;0; ;operamundi;
2018-05-10 19:13:57;RT @AdrianateleSUR: 🇧🇷@LulapeloBrasil ratifica su candidatura a la presidencia en carta enviada a @gleisi, pdta del @ptbrasil. 'Si yo acept…;AdrianateleSUR;0;0; ;LulapeloBrasil, ptbrasil, gleisi, AdrianateleSUR;
2018-05-10 19:13:50;RT @emiaguiar: 1 milhão de manifestoches deixaram classes A e B e foram pra C https://t.co/YEE8De6QFI;emiaguiar;0;0; ;emiaguiar;
2018-05-10 19:13:42;RT @MediumESP: Exijo de los medios de comunicación una información balanceada sobre las elecciones en Venezuela 🇻🇪. YO FIRMO LA PETICIÓN EN…;MediumESP;0;0; ;MediumESP;
2018-05-10 19:13:25;RT @brasil247: Cientista político diz que foram 62 milhões de pessoas beneficiadas pelos governos do PT https://t.co/cjYLKKyf1L;brasil247;0;0; ;brasil247;
2018-05-10 19:13:10;RT @cirogomes: Muito bom encontrar minha querida amiga Manuela e o querido amigo Boulos em Gramado, para debate durante a Unale.   Em insta…;cirogomes;0;0; ;cirogomes;
2018-05-10 19:12:51;RT @luizmuller: DOCUMENTO REVELA QUE PRESIDENTES MILITARES AUTORIZARAM ASSASSINATOS NA DITADURA https://t.co/ZdUzj1WGH8;luizmuller;0;0; ;luizmuller;
2018-05-10 19:12:36;RT @Emanoel1953: PCO decide não lançar candidatura: é Lula ou nada. https://t.co/ODlypyzD8f;Emanoel1953;0;0; ;Emanoel1953;
