Data;Texto;Autor(RT);Retweets;Curtidas;Hashtags;Mentions
2018-05-15 19:38:20;Dos 55 deputados investigados pela Operação Lava Jato, apenas dois disseram que vão sair da política em 2018.   Segundo pesquisa, o Congresso apresenta apenas 4,7% de renovação política a cada mandato. Precisamos romper com esse ciclo. #OBrasilTemJeito  https://t.co/WhjmDgobGH; ;10;15;#OBrasilTemJeito; ;
2018-05-14 18:09:36;Já sabemos a escalação da Copa, mas você conhece nosso time para 2018?   Acesse https://t.co/guXy7BX5N0 e confira! #issomudaojogo; ;6;12;#issomudaojogo; ;
2018-05-10 18:07:31;Mais da metade dos nossos senadores são acusados de crimes, a maioria por corrupção e lavagem de dinheiro.   A eleição deste ano é a nossa chance de começar a virar o jogo, elegendo lideranças que nos escutem e nos representem.  https://t.co/SahTSk98SN; ;1;9; ; ;
2018-05-09 18:47:00;Nessas eleições nós temos a chance de eleger gente que nos escuta e nos representa. Se o país é de todos nós, a política também tem que ser.  Conheça nosso manifesto https://t.co/Nfa7S2hCs3  #OBrasilTemJeito; ;3;14;#OBrasilTemJeito; ;
2018-05-08 21:15:18;Importante: termina amanhã o prazo para transferir, atualizar ou emitir o título de eleitor! Para renovarmos a política do Brasil, vamos precisar de todos votando e se envolvendo nas eleições desse ano!  https://t.co/xQvVh3P9nR; ;2;7; ; ;
2018-05-08 18:11:52;Você conhece o aplicativo que detecta políticos envolvidos em casos de corrupção?  Vamos nos manter conectados e ativos na luta contra quem desvia dinheiro público. #OBrasilTemJeito https://t.co/A4ZuEr7KU4; ;13;29;#OBrasilTemJeito; ;
2018-05-03 19:02:12;Dos atuais deputados, 87% vão concorrer à reeleição em outubro e cada um vai ganhar R$14,8 milhões para gastar no seu reduto eleitoral.   A competição contra quem não quer a renovação é dura, mas só a sociedade pode mudar isso. Vamos juntos em 2018! #OBrasilTemJeito https://t.co/qb0RJCs0io; ;13;35;#OBrasilTemJeito; ;
2018-04-30 13:40:57;É como se você fosse vegetariano e te convidassem para uma churrascaria.                                           Acesse https://t.co/n4sqGKgdw2 e confira nosso cardápio de líderes - todos 100% saudáveis à democracia. https://t.co/YJfYGsslSh; ;9;20; ; ;
2018-04-23 21:28:05;Os políticos no poder estão fazendo de tudo para impedir a renovação, e depende de nós impedir que isso aconteça.   Num momento em que o Congresso é reprovado por 60% da população, 447 Deputados querem continuar lá. E você, vai votar nos nomes mesmos?  https://t.co/48QUCQWKb4; ;16;21; ; ;
2018-04-23 19:47:27;Francisco Gaetani, gestor público de carreira, escreveu um artigo interessante sobre a relação entre governantes e juízes.   Os gestores hoje dedicam mais tempo a prestar contas ao judiciário do que na elaboração e acompanhamento de políticas públicas.  https://t.co/bHSh3ekhxX; ;4;13; ; ;
2018-04-19 20:54:25;O RenovaBR está preparando essa nova geração de líderes para enfrentar e vencer as velhas práticas. No lugar das campanhas milionárias, pessoas conversando com pessoas. Em vez do vale-tudo pelo poder, propostas sinceras e soluções que se tornem realidade.  https://t.co/nFJJMM9BCe; ;13;32; ; ;
2018-04-17 18:58:20;Faz tempo que a gente quer renovar a nossa política, mas chegam as eleições e parece que a política não quer ser renovada pela gente. São sempre os mesmos nomes.   O RenovaBR vem para mudar essa história. Para preparar gente comprometida e realizadora para entrar na política.; ;10;42; ; ;
2018-04-17 00:36:28;O fundador do RenovaBR, Eduardo Mufarej, participa agora como comentador do Jornal da Cultura. Muito interessante!; ;1;23; ; ;
2018-04-13 21:41:55;Em maio o STF vai julgar o fim do Foro Privilegiado.   Se aprovado, será um marco histórico contra a corrupção no Brasil.   É hora de nos mobilizarmos e pressionarmos pelos interesses da população brasileira.   #FimDoForo  https://t.co/89XPBMsGvU; ;11;29;#FimDoForo; ;
2018-04-12 18:36:03;No dia 17 de março, a Operação Lava Jato completou quatro anos de existência.  A primeira instância fez 272 réus e condenou 160 envolvidos até agora.   O STF tem apenas 6 réus e nenhum condenado até o momento.   Historicamente, 68% dos casos prescrevem na Corte. https://t.co/SrJN664nho; ;13;47; ; ;
2018-04-11 17:58:20;Alarmante: 10% da população brasileira detém 80% da riqueza.   Em 2015, o FMI comprovou que a desigualdade econômica é negativa até mesmo o crescimento sustentável de um país.  Os problemas reais assustam, mas está na hora de enfrentá-los.   https://t.co/nuNWawKXaB; ;4;7; ; ;
2018-04-10 18:47:22;Você conhece a ferramenta que mostra os políticos que são processados e condenados por corrupção?  Acesse https://t.co/b9J28pb02n e instale no seu navegador! Vamos nos manter conectados e ativos na luta contra quem desvia dinheiro público. https://t.co/Y4Xhb8WpId; ;17;22; ; ;
2018-04-09 20:51:06;Opa! Oportunidade boa não se perde, né? 😉  A bola tá com a gente! #OuseEscolher   https://t.co/1qEghwdVMN; ;14;20;#OuseEscolher; ;
2018-04-04 18:59:36;O Supremo, agora sob pressão, é uma das únicas instituições em que os brasileiros ainda acreditam e confiam.   A crise de legitimidade de Brasília, que vai dos deputados e senadores ao Executivo, só aumenta a importância do voto consciente em 2018.   #OBrasilTemJeito #STF; ;4;11;#OBrasilTemJeito, #STF; ;
2018-03-28 14:34:47;#NaoConfioEm quem se diz democrata e quer debater política mas usa fake news pra argumentar.   Vamos checar as fontes, galera!   #OBrasilTemJeito; ;9;35;#OBrasilTemJeito, #NaoConfioEm; ;
2018-03-28 14:23:42;#NaoConfioEm quem tem mais ambição política do que dedicação ao serviço público.; ;9;25;#NaoConfioEm; ;
2018-03-27 23:34:30;É inaceitável que 17 das 50 cidades mais violentas do mundo sejam brasileiras.                         Precisamos de soluções inteligentes para a segurança pública com urgência! https://t.co/r8vShd1vra; ;12;33; ; ;
2018-03-27 21:49:01;O resto é dinheiro com origem certa. Por isso é importante ser preciso com administração dos recursos já existentes.                                                    Educação é um exemplo: mais dinheiro não significa melhores resultados. Temos que focar na gestão.; ;2;4; ; ;
