Data;Texto;Autor(RT);Retweets;Curtidas;Hashtags;Mentions
2018-05-15 13:47:24;Bye Bye Miami... dia lindo demais para ir embora. #mini🌛🍯 em Miami… https://t.co/gYyvAmOgv9; ;0;9;#mini; ;
2018-05-13 15:41:56;Um olhar que expressava o tamanho do amor de minha querida mãe… https://t.co/0TtzymMMPT; ;0;14; ; ;
2018-05-12 00:15:41;Dá para acreditar nesse paraíso? Com ela então fica tudo mais lindo… https://t.co/mZxxOzIj5S; ;0;4; ; ;
2018-05-10 15:39:47;Jogando na linda quadra de grama...#tennistime 🎾 em Turks &amp  Caicos https://t.co/VWRvgBf8eI; ;0;9;#tennistime; ;
2018-05-08 22:50:21;Chegando para comemorar juntinhos 3 anos de casados em Turks and… https://t.co/q7tTdZ8nDO; ;0;10; ; ;
2018-05-05 21:27:53;O melhor abraço do mundo! #loveofmylife em Angra, Praia Secreta https://t.co/iFdfy88knF; ;0;8;#loveofmylife; ;
2018-05-05 17:19:09;De Paraty para Angra...#beautifulday☀️ https://t.co/DCT1ozVmjR; ;1;8;#beautifulday; ;
2018-05-05 02:11:42;Chegando na linda Paraty... #weekend em Paraty, Rio de Janeiro, Brazil https://t.co/p1uBERMccF; ;0;11;#weekend; ;
2018-05-01 14:41:23;Momento emocionante na noite de ontem... #cantandocompapai #birthdaynight https://t.co/OXg0Jvom1L; ;0;21;#cantandocompapai, #birthdaynight; ;
2018-05-01 00:46:29;Iniciando os trabalhos com meu querido amigo @rodrigofaro #partytime https://t.co/x8nTQ1fXIq; ;0;14;#partytime;RodrigoFaro;
2018-04-30 17:08:50;Nesse dia 30/4/2015 eu estava radiante de felicidade, afinal eu completava 60 anos e casava com… https://t.co/AbLPapk8Bb; ;0;13; ; ;
2018-04-30 15:44:09;Cena especial para começar o dia do meu aniversário! Rafinha com meu netinho… https://t.co/LMzWVkShEe; ;0;13; ; ;
2018-04-29 21:10:27;É bem agradável passar o feriado com essa turma linda! Entre elas minha mulher, minha filha… https://t.co/eVdTW5mlNP; ;0;12; ; ;
2018-04-29 01:41:03;Esse fds completaremos 3 anos casados e em junho 5 anos juntos! Só tenho uma palavra para… https://t.co/GwCm5l9ifA; ;1;20; ; ;
2018-04-22 14:31:44;Como é bom passar o fds com elas! @fabianajustus e Rafinha. #daughtersweekend https://t.co/CiCg4xZhAA; ;0;17;#daughtersweekend;fabianajustus;
2018-04-22 02:37:37;Jogando tranca com a @fabianajustus #daughtersweekend #relax https://t.co/hsHtWplclO; ;0;17;#relax, #daughtersweekend;fabianajustus;
2018-04-20 17:33:03;Depois de cortar o cabelo minha filha @fabianajustus virou o @fabioporchat Kkkkk https://t.co/TZyewfNel0; ;0;7; ;FabioPorchat, fabianajustus;
2018-04-19 01:42:11;Com ela em um jantar de aniversário... anapaulasiebert https://t.co/pw2B9DKL5h; ;0;5; ; ;
2018-04-15 16:39:04;Hoje é o dia dela... @lujustus você virou mulher mas será sempre meu bebezão! Tenho uma imensa… https://t.co/3rCH8kmhpb; ;0;11; ;lujustus;
2018-04-14 15:55:08;Ontem na linda festa dos 25 anos da @lujustus com os meus amores @fabianajustus @lujustus e… https://t.co/7ZSfuo6HaW; ;1;7; ;lujustus, fabianajustus;
2018-04-14 04:00:07;Na festa da @lujustus ❤️ Inspiração anos 20! Com meu amor anapaulasiebert... #bdaylujustus https://t.co/4eCDZt0m1m; ;0;6;#bdaylujustus;lujustus;
2018-04-11 12:38:53;Com meu amor na festa de ontem...#loveofmylife💙 https://t.co/Ui6PTyTThn; ;1;8;#loveofmylife; ;
2018-04-11 01:30:22;Jantar de gala em boa cia... brunodancona @fabianajustus anapaulasiebert ♥️ https://t.co/1WvoXwND0y; ;0;9; ;fabianajustus;
2018-04-07 16:11:25;Sábado é dia daquele tênis!! 🎾 #dialindo #sport #saude https://t.co/OoIFRYQoaR; ;0;14;#sport, #dialindo, #saude; ;
2018-04-05 12:12:56;Nosso país vai realmente está mudando. Temos muito pela frente ainda, porém quando a justiça… https://t.co/7k4tzbXMzC; ;2;42; ; ;
2018-04-01 14:50:21;Feliz Páscoa para todos... https://t.co/PiMjVuvgWr; ;0;33; ; ;
2018-03-30 17:16:01;Preparando para a Páscoa.... https://t.co/d4k13enBC6; ;1;13; ; ;
2018-03-25 12:51:45;Good morning Angra... em Angra dos Reis, Rio de Janeiro, Brazil https://t.co/g6ZLsrRLMF; ;1;10; ; ;
2018-03-25 01:44:54;Rick, essa foto fizemos no seu aniversário do ano passado. Hoje você comemora seus 35 anos com… https://t.co/1bGIHPftyl; ;0;12; ; ;
2018-03-23 15:15:12;Chegando em Paraty...  #weekend em Paraty, Rio de Janeiro, Brazil https://t.co/cYB0BgzJFH; ;1;5;#weekend; ;
2018-03-21 13:17:48;Nessa madrugada nasceu o Arthur! Momentos emocionantes! Obrigado @ricardojustus e @ffran por nos… https://t.co/YmMpBLTzjR; ;1;21; ;ricardojustus, ffran;
2018-03-18 22:03:05;Que delícia terminar o domingo com tanto carinho das minhas princesas... Rafinha e… https://t.co/tAz1vwLCV3; ;0;20; ; ;
2018-03-18 00:14:55;Como é bom o fim de semana quando você está comigo! #rafinhamylove https://t.co/nYt4Rc648h; ;0;18;#rafinhamylove; ;
2018-03-11 16:31:44;Momento inesquecível no show de ontem! Michael Bolton cantando bem pertinho... “When a man loves… https://t.co/7WZrNX91jY; ;5;24; ; ;
2018-03-09 20:09:26;Já na Bahia para um fds especial com ela... anapaulasiebert em Praia do Forte https://t.co/VvJyUkze2e; ;1;10; ; ;
2018-03-08 13:11:07;Hoje é dia de homenagear todas as mulheres. E eu farei isso por seu intermédio, pois você é um… https://t.co/r16JbeBNH3; ;1;27; ; ;
2018-03-02 11:50:39;Pousando na linda Rio de Janeiro. Indo no evento do Brasil 200. em Rio de Janeiro https://t.co/Z4Lkf2ZBnf; ;1;17; ; ;
2018-02-25 00:16:05;Embarcando para SP! Fim da viagem... #paulabdaytrip  #goinghome em Miami International Airport -… https://t.co/hn0oRVmTnp; ;1;11;#paulabdaytrip, #goinghome; ;
2018-02-21 16:41:45;Show de mágica na última noite em Vegas...  #paulabdaytrip https://t.co/XpjVFejCgN; ;0;13;#paulabdaytrip; ;
2018-02-19 01:45:20;Hoje foi seu dia... 30 anos! Nesses quase 5 anos ao seu lado eu aprendi a admirar essa grande… https://t.co/0XsAUju9fD; ;2;17; ; ;
2018-02-18 10:42:26;Comemorando exatamente à meia noite os 30 anos do meu amor... anapaulasiebert #paulabdaytrip em… https://t.co/TmjhnYyxxa; ;0;22;#paulabdaytrip; ;
2018-02-16 23:19:54;Momentos com ela em Santa Mônica... anapaulasiebert #paulabdaytrip https://t.co/lyQH1gJrWw; ;0;9;#paulabdaytrip; ;
