Data;Texto;Autor(RT);Retweets;Curtidas;Hashtags;Mentions
2018-05-16 22:24:41;Se o Frejat quiser ser candidato ao Senado nenhum dos nossos candidatos ao governo vai se opor.; ;1;12; ; ;
2018-05-16 20:57:11;Projeto de minha autoria vai assegurar que os trabalhadores domésticos tenham condições dignas de acessibilidade, utilização e conforto nas dependências internas das edificações de seus locais de trabalho:  https://t.co/yl9Uk1RAK9; ;2;32; ; ;
2018-05-14 21:37:04;Um dia construiremos sistemas socioeconômicos sem as consequências negativas da propriedade privada do capital. Mas enquanto isso não for possível, aqueles que desejam um mundo mais justo e sustentável deverão conviver tirando proveito do capitalismo: https://t.co/alQ4IUMn5Z https://t.co/lGeZaRl5aj; ;6;74; ; ;
2018-05-14 15:44:11;Uma pessoa ser solta e outra ficar presa por causa da renda diferente, mesmo tendo ambas cometido o mesmo crime, é uma desigualdade inaceitável. Sessão Especial em Homenagem ao Dia da Defensoria Pública. https://t.co/LsaYPHBNrH; ;7;62; ; ;
2018-05-14 15:40:43;As universidades públicas que oferecem o curso de Direito precisam quebrar a indecência que é a desigualdade de acesso ao serviço jurídico de qualidade e oferecer oportunidade de ensino para preparar defensores públicos.; ;13;101; ; ;
2018-05-14 15:23:33;A Lei Áurea deveria ter mais um artigo: a partir de agora e escola dos ex-escravos deve ser a mesma dos que nunca foram cativos.; ;5;52; ; ;
2018-05-13 19:57:23;Preocupante: se a atual Inteligência do Exército não sabia dos assassinatos, nossa Defesa está despreparada  se sabia e esconde, nossos defensores não respeitam nossa história.; ;18;130; ; ;
2018-05-12 22:48:48;Minha mãe estudou no máximo dois anos. Mesmo assim e levando uma vida bem simples, conseguiu criar seis filhos e investiu na nossa educação. Esta que se tornou minha bandeira. Dia da Mães é momento de lembrar o qto esta figura familiar tem papel fundamental na formação de um ser. https://t.co/pk56zKtAWa; ;61;562; ; ;
2018-05-12 15:57:36;Reunimos os presidentes das zonais do PPS-DF. Precisamos buscar a coesão e defendemos, acima de tudo, a ética. E não basta ser ético no comportamento. É preciso ser ético nas prioridades. https://t.co/Cu6lwZlUF8; ;7;36; ; ;
2018-05-12 12:59:09;Difícil escolher a maior vergonha: governos militares usaram execuções sumárias, descobrir isso por vias estrangeiras ou saber que há candidato a presidente defendendo a ditadura.; ;250;1000; ; ;
2018-05-12 02:28:31;Hoje o PPS-DF apresentou aos seus pré-candidatos a Distrital e Federal, sua Plataforam Eleitoral. Estarei com todos e deixo aqui meu recado. https://t.co/z2SNpRExZM; ;8;104; ; ;
2018-05-12 00:36:12;Precisamos pensar no futuro plantando semente no presente. Nós não podemos deixar de dar a nossa contribuição para Brasília. Somos sérios, somos ficha-limpa e temos propostas. #PPS https://t.co/n2UvjbHd3r; ;8;73;#PPS; ;
2018-05-11 19:48:15;@RafaelffSimoes Que orçamento social você se refere? Ao aumento recente do valor do bolsa família?; ;0;0; ;RafaelffSimoes;
2018-05-11 19:38:35;@moalves1 O governo gastava mais do que arrecadava e a nossa economia estava sofrendo. Todos os gastos tiveram um limite. Pode-se aumentar da educação se diminuir das obras superfaturadas, por exemplo. O que devemos fazer é lutar pelo aumento dos investimentos na educação, na saúde, etc.; ;0;0; ;moalves1;
2018-05-11 19:31:26;@GrazielaValenca Se pensarmos somente no agora não teremos futuro. O governo estava gastando mais do que arrecadava e a economia estava sofrendo. Os gastos totais é que foram segurados. A educação precisa de quem lute para que seja garantido mais do que o minimo constitucional.; ;0;0; ;GrazielaValenca;
2018-05-11 19:25:27;@pvictorc @Machado_Hugo Os gastos totais tiveram um limite, pois o governo estava gastando mais do que arrecadava. A missão agora é lutarmos todos juntos para garantir para a educação tudo aquilo que ela precisa. Tirando por exemplo das mordomias. Garantiremos o crescimento e sustentabilidade econômica.; ;0;0; ;Machado_Hugo, pvictorc;
2018-05-11 19:08:39;@RafaelffSimoes Foram criados limites para os gastos, que era maior que a arrecadação. Se quisermos aumentar esse valor, devemos tirar de algum outro, como das mordomias e penduricalhos, por exemplo. Voto pelo maior investimento para educação. E também voto pela saúde da nossa economia.; ;0;0; ;RafaelffSimoes;
2018-05-10 23:18:26;Precisamos pensar na escola que queremos no futuro e os professores que queremos no futuro. Esta sala mostra que os professores estão conectados e atentos às novas tecnologias. #CrescacomoGoogle https://t.co/GTMrXmKVUK; ;18;148;#CrescacomoGoogle; ;
2018-05-09 16:03:16;Se os candidatos à presidência da República tivessem programas de governo, debateríamos, ao invés de nos xingarmos.; ;35;208; ; ;
2018-05-09 15:57:55;'Democracia não combina com arma. Democracia combina com urna'. Sessão temática neste momento debate a paz no processo eleitoral. https://t.co/VyuDkCkq4e; ;8;74; ; ;
2018-05-08 18:55:52;Não podemos deixar que a violência saia do controle no processo que antecede as eleições. Precisamos pensar em formas de combater os discursos de ódio. Por isso, participe desse debate em busca da paz no processo eleitoral. Acompanhe ao vivo: https://t.co/6oimSNK3DP https://t.co/wpj5vPlNd3; ;6;33; ; ;
2018-05-08 14:31:14;O Projeto Orla, implantado durante o meu governo no DF, trouxe uma nova visão urbanística e uma nova postura política: o Lago incorporado e o interesse da cidade acima das disputas partidárias. Saiba mais no meu artigo publicado hoje, no @correio: https://t.co/UQb6gGLsZQ https://t.co/n4bnVeYRNE; ;3;27; ;correio;
2018-05-03 00:13:15;O julgamento não acabou, embora já esteja decidido porque foram 10 a zero. Aprendamos com o Supremo Tribunal Federal e vamos fazer o que o Brasil precisa: nenhum foro privilegiado para os serviços essenciais como Justiça, Educação e Saúde. https://t.co/fpAj4fWr0f; ;36;234; ; ;
2018-05-02 20:28:54;Ao ver o prédio desabando em SP, a sensação que tive é de que o fogo é o inferno em que está o Brasil. Aquele fogo tem mais do que chamas. Tem o simbolismo da irresponsabilidade, do descuido brutal e da desigualdade em que 100 milhões vivem daquele jeito.; ;90;588; ; ;
2018-05-02 20:27:59;Um bom programa habitacional no país evitaria a tragédia do prédio em chamas em SP. É a corrupção das prioridades. Não tivemos dinheiro para fazer moradia para todos, mas tivemos para fazer estádios, palácios e pagar auxílio-moradia.; ;39;199; ; ;
2018-04-30 15:05:16;Esse paradoxo - para educar o Brasil, é preciso que o Brasil já esteja educado - só será resolvido qd for eleito um presidente estadista, capaz de ser educador de todo nosso povo. Artigo no @JornalOGlobo: https://t.co/6Zqm4dirCp https://t.co/dnfeDVC6qe; ;36;189; ;JornalOGlobo;
2018-04-26 19:18:54;Temos que ser menos vorazes no consumo e menos anoréxicos na poupança. O caminho para poupar mais é a educação. Tudo passa pela educação.; ;16;108; ; ;
2018-04-26 19:18:04;O Brasil tem e teve bons educadores como Paulo Freire e Anísio Teixeira. Mas não temos bons educacionistas, que são os que colocam em prática as ideias dos educadores. Educacionistas têm que estar nos parlamentos e nos governos, com vontade de resolver o problema da educação.; ;36;285; ; ;
2018-04-26 14:46:09;Conseguimos aprovar um projeto que vai ajudar muito as rádios comunitárias de todo Brasil. O PLS 513, de 2017, alterou o limite de potência de transmissão de 25 watts para 300 watts, passando de 1 para 3 canais. https://t.co/XBAelIrHSq; ;8;81; ; ;
2018-04-24 16:04:16;@nira98975611 @correio Olá Nira, obrigado pela confiança, apoio e por acompanhar meu trabalho. Acredito muito que a educação de base como um melhor caminho para o país e acho que você também acredita nisso. Abraços.; ;0;2; ;correio, nira98975611;
2018-04-24 15:44:21;RT @correio: Cristovam: “Espero que o próximo governador tenha uma relação sem promiscuidade com a Câmara Legislativa” https://t.co/eoZZs8F…;correio;0;0; ;correio;
2018-04-24 15:38:45;@cesar_macol @SenadoFederal Olá Cesar, votei pelo impeachment da presidente, pois acredito que houveram crimes. Mas, os direitos políticos acredito que quem deve decidir são os eleitores, através do voto nas próximas eleições. Abraços.; ;0;0; ;SenadoFederal, cesar_macol;
2018-04-23 14:54:11;RT @SenadoFederal: CAE pode votar prioridade a gastos com saúde, educação e segurança https://t.co/tM1H4MKvIh https://t.co/erUojXtww4;SenadoFederal;0;0; ;SenadoFederal;
2018-04-22 12:16:36;Nelson Pereira dos Santos levou a vida brasileira à tela, para que os brasileiros vissem como vivemos.; ;6;48; ; ;
2018-04-21 16:15:16;Brasília me proporcionou muitas coisas boas. E eu tive oportunidade de retribuir oferecendo minhas ideias e meu trabalho. Espero continuar trabalhando por você, Brasília. https://t.co/bnJmJd1xfy; ;12;251; ; ;
2018-04-20 23:28:26;Este casal me viu conversando com outras pessoas e ficou esperando até eu ficar livre e se aproximarem: deram abraços, manifestaram forte admiração. Apesar disso acontecer muito, sempre me emociono. Neste caso, porém, foi muito mais qd me disseram que eram os pais da Marielle. https://t.co/aUIYd2hd4q; ;30;549; ; ;
2018-04-20 18:58:33;https://t.co/9rA0jwRuhX; ;16;90; ; ;
2018-04-18 21:43:13;@CIRLJung @SabrinaRFerreir Obrigado Ricardo. Era mais ou menos isso que eu ia responder para a Sabrina. Estamos investindo em educação superior sem valorizar a educação de base e no resultado não temos qualidade em nenhum dos lados.; ;1;6; ;CIRLJung, SabrinaRFerreir;
2018-04-18 21:40:00;@Socorro13382447 Olá Socorro! O país estava em crise e ainda estamos na retomada do crescimento. O que fizemos - eu não fui o único - foi não gastar mais do que se arrecada (coisa que estava sendo feito nos últimos anos.) Estamos caminhando. Abraços.; ;0;1; ;Socorro13382447;
2018-04-18 21:33:53;@letosantana O país passava por uma crise pois gastava mais do que arrecadava. E em diversas áreas. A PEC não tira recursos da educação. Ela foi aprovada em 2016, e em 2017, por exemplo, destinamos à educação 21,8% da receita. Mais do que os 18% assegurados pela Constituição.; ;0;5; ;letosantana;
2018-04-18 21:21:58;@FrariRoberto Então, o país estava em crise, gastando mais do que arrecadava. Fiz aquilo que se precisava. E não fui o único! Não deixarei de lutar pela educação e sua qualidade. Em 2017, por exemplo, destinamos à educação 21,8% da receita. Mais do que os 18% assegurados pela Constituição.; ;0;1; ;FrariRoberto;
2018-04-18 21:16:41;@flavitap Obrigado pelo apoio e confiança! Abraços.; ;0;4; ;flavitap;
2018-04-18 21:15:28;@CHICOEMILIAO Obrigado, @CHICOEMILIAO! Disse essa frase durante a audiência que propus na Comissão de Educação. Defendi o fortalecimento da educação básica como forma de preparar melhor os estudantes para o ensino superior. (https://t.co/hx72BuUWn5); ;0;3; ;CHICOEMILIAO;
2018-04-18 21:10:32;@lf_nunes Disse essa frase durante a audiência na Comissão de Educação: “Universidade: Escada para ascensão social ou alavanca para o progresso nacional?” Propus o debate e defendi o fortalecimento da educação básica como forma de preparar melhor os estudantes para o ensino superior.; ;0;1; ;lf_nunes;
