Data;Texto;Autor(RT);Retweets;Curtidas;Hashtags;Mentions
2018-05-16 23:34:47;Quer enviar suas sugestões? Acesse nosso site e preencha o cadastro, é rapidinho! Clique aqui: https://t.co/EGnhbp0z0k. https://t.co/cWgqSmiMoz; ;14;110; ; ;
2018-05-14 22:27:38;Gostei muito da convocação da seleção brasileira. É claro que faltou alguém do meu Guarany de Sobral... mas confio no Tite. 😉  Só lamento a ausência de Daniel Alves, fora da lista por contusão.   Vou torcer muito para o hexa! #VaiBrasil; ;95;1551;#VaiBrasil; ;
2018-05-14 21:48:49;Qual o futuro das cotas nas universidades? O Ciro responde. https://t.co/SP3VDktT2q; ;104;492; ; ;
2018-05-13 14:27:57;O racismo continua existindo na nossa sociedade e precisa ser combatido diariamente. https://t.co/UmcVd6nRit; ;89;511; ; ;
2018-05-13 10:31:00;Muita saudade da minha querida mãe, Dona Mazé! https://t.co/7DN80dB4qh; ;25;1051; ; ;
2018-05-12 13:14:11;A Michelle está grávida do segundo filho e quer saber o que esperar para o futuro das crianças dela. #PergunteAoCiro https://t.co/as4Tf8ZzJN; ;37;201;#PergunteAoCiro; ;
2018-05-10 19:17:47;Acompanhe ao vivo o debate da #CNLE2018: https://t.co/6Kjx0sBDqb; ;15;132;#CNLE2018; ;
2018-05-10 17:25:07;Muito bom encontrar minha querida amiga Manuela e o querido amigo Boulos em Gramado, para debate durante a Unale.   Em instantes estaremos também com Alvaro Dias e Henrique Meirelles. https://t.co/nGPmNTfHzG; ;253;3076; ; ;
2018-05-10 14:53:51;A Thaís é mãe do Caio de 7 anos, moradora da periferia de São Paulo, e quer saber o que nós vamos fazer pra proteger o filho dela da violência que está a cada dia maior. #PergunteAoCiro https://t.co/h9kPXNcqhB; ;45;209;#PergunteAoCiro; ;
2018-05-08 11:00:16;Acesse o nosso site e confira a entrevista na íntegra!  https://t.co/v3TLk01Ftj; ;115;565; ; ;
2018-05-07 20:04:21;Hoje à noite tem Ciro Gomes no Band Eleições, logo depois do programa Viagens ao Redor do Mundo. Assista e convide seus amigos, a partir de 00h20.; ;166;913; ; ;
2018-05-05 17:09:52;Acesse o nosso site e confira a entrevista na íntegra: O IMPORTANTE É DERROTAR A DIREITA.  https://t.co/g2CngRBTEi; ;144;805; ; ;
2018-05-04 14:38:58;Como reduzir as desigualdades sociais? O Ciro responde.  https://t.co/NEf59Qz6Ra; ;63;373; ; ;
2018-05-03 00:56:32;Ciro Gomes tem 38 anos de vida pública. Já foi deputado, prefeito, governador e ministro, sem nunca ter tido seu nome associado a escândalos ou roubalheira. Ficha Limpa, Ciro Gomes tem, aos 60 anos, o preparo, a firmeza, a experiência e a honestidade que o Brasil precisa. https://t.co/N6ApfCDQRG; ;376;1618; ; ;
