Data;Texto;Autor(RT);Retweets;Curtidas;Hashtags;Mentions
2018-05-13 23:02:35;♥️ https://t.co/9DPZeBi5zk; ;1;18; ; ;
2018-05-11 14:04:45;Brasil deve aproveitar abertura da Coreia do Norte ao mundo, diz @Collor. Saiba mais:  https://t.co/LnnYeT1njz https://t.co/V8PZXeC2X9; ;1;7; ;Collor;
2018-04-17 23:58:36;@Collor defende reforma constitucional https://t.co/TrdFkhBXBB https://t.co/kPqzrbHfkL; ;3;6; ;Collor;
2018-04-05 21:33:18;@Collor comanda sessão da CRE que aprova diplomata para OEA. Clique no link e saiba mais: https://t.co/Tid0Qt81yk https://t.co/nWKT66oqTc; ;0;7; ;Collor;
2018-04-03 18:14:57;@Collor cumpre agenda oficial pelo Senado no Oriente Médio: https://t.co/DHUNWPU6HW https://t.co/Srt1Y0ZJRi; ;2;9; ;Collor;
2018-03-31 17:44:46;@Collor é recebido pelo ministro dos Negócios Estrangeiros, Nizar bin Obaid Al-Madani. A Arábia Saudita é o principal parceiro comercial do Brasil no Oriente Médio. Collor defendeu o fortalecimento desses laços entre os dois países. #CollorSenador #Collor #Brasil #Senado https://t.co/HRgwk6HqJG; ;1;5;#Collor, #Brasil, #CollorSenador, #Senado;Collor;
2018-03-21 14:35:45;@Collor acompanha o vice-presidente da Câmara dos Conselheiros do Marrocos, Abdessamad Kayouh, em audiência com o ministro Blairo Maggi, da Agricultura, Pecuária e Abastecimento. O Brasil possui status de parceiro privilegiado com o Marrocos, situado no Norte da África https://t.co/PF0WtZWvGT; ;6;12; ;Collor;
2018-03-20 14:47:59;Confira como foi a sessão temática realizada nesta segunda-feira. https://t.co/nYeDmIXpWH; ;5;6; ; ;
2018-03-20 14:39:33;RT @pr_senado: O presidente @Eunicio na conferência parlamentar, do @WaterForum8. Na foto: o presidente da CRE do Senado, @Collor (PTC-AL),…;pr_senado;0;0; ;pr_senado, Eunicio, Collor, WaterForum8;
2018-03-20 01:34:46;Comissão de Relações Exteriores e Defesa Nacional, presidida por @collor, realizou mais uma audiência pública, desta vez para examinar os movimentos políticos na Europa. Veja mais https://t.co/K31GdxtD5I https://t.co/AzCGBdN65t; ;5;10; ;Collor;
2018-03-15 15:06:32;Da presidência da Comissão de Relações Exteriores e Defesa Nacional, @Collor encaminha a votação da moção de pesar pelo falecimento da vereadora Marielle Franco-RJ, assassinada a tiros no Centro do Rio de Janeiro, na noite dessa quarta-feira, 14. https://t.co/0abb02yAbx; ;6;9; ;Collor;
2018-03-06 00:39:02;Oi, pessoal! Nesta segunda-feira, na Comissão de Relações Exteriores e Defesa Nacional, presidi um debate sobre o tema “O sistema internacional sob o impacto Trump”, com a presença do embaixador Rubens Ricupero. Clique no link e saiba mais: https://t.co/rHOfD0Ejh2 https://t.co/Hfe4azxPyA; ;8;15; ; ;
2018-02-23 21:29:35;Como senador, tratei com o ministro do Desenvolvimento Social e Agrário, Osmar Terra, da continuidade do Programa do Leite em Alagoas. Eu estava acompanhado da ex-prefeita Célia Rocha, presidente do PTC no Estado. https://t.co/F8pK8kCG11; ;7;14; ; ;
2018-02-23 20:41:44;O 8° Fórum Mundial da Água será uma excelente oportunidade para o debate sobre economia sustentável. É importante reviver o clima da Rio 92. Confira mais no link a seguir: https://t.co/tsINsAHRg2 https://t.co/ddsrYCQP4c; ;8;10; ; ;
2018-02-16 15:13:13;@Collor 'O Brasil continua sendo uma obra gigantesca. Daí a necessidade de um novo pacto político, de um novo acordo com a sociedade, de modo que faça renascer a esperança e o otimismo'. https://t.co/uR8Q4Vde7W; ;10;21; ;Collor;
2018-02-06 17:37:29;@Collor falou de esperança e de um novo acordo com a sociedade, com olhar confiante. Clique e confira: https://t.co/nGpbakkFz6 https://t.co/NYXREqnaVD; ;11;22; ;Collor;
2018-02-06 17:36:23;Da tribuna do Senado, @Collor discursa, fala da retomada de uma missão e apresenta as diretrizes de sua pré-candidatura à Presidência da República. Ele relembrou o seu governo, que, apesar de curto, modernizou a economia brasileira, abrindo-a ao mercado internacional.. https://t.co/UxKhGuibYw; ;29;45; ;Collor;
