Data;Texto;Autor(RT);Retweets;Curtidas;Hashtags;Mentions
2018-05-16 10:48:09;https://t.co/4YuzPiVf0H; ;46;122; ; ;
2018-05-15 04:04:36;RT @miguel_nagib: Na expectativa pela resposta do @Sen_Cristovam ao convite feito pela @Biakicis para um debate sobre o Escola sem Partido.…;miguel_nagib;0;0; ;Sen_Cristovam, miguel_nagib, Biakicis;
2018-05-15 01:17:38;Wanderley Lula da Silva, para de dar bandeira, se não alguém é capaz de achar que você é um fake trabalhando para o ESP. https://t.co/dBNtQxe5HZ; ;31;117; ; ;
2018-05-14 23:23:49;@Marcelo_Lanzara Defender uma ideia irrealizável é a melhor maneira de deixar tudo como está.; ;0;1; ;Marcelo_Lanzara;
2018-05-14 23:21:20;RT @escolasempartid: O CÍRCULO VICIOSO DA DOUTRINAÇÃO  Professor e estudante são a mesma pessoa em momentos diferentes da vida.   A vítima…;escolasempartid;0;0; ;escolasempartid;
2018-05-14 23:15:32;O @Sen_Cristovam é contra o ESP porque, segundo ele, a melhor maneira de combater doutrinação é 'deixar que todos falem'.  (professora difamando Bolsonaro e seus simpatizantes, em escola de Niterói) https://t.co/aIPKvApcjH; ;60;165; ;Sen_Cristovam;
2018-05-14 23:00:56;@mjmacul_lima Não se iluda. Tudo isso começou em pleno regime militar... A solução é #EscolaSemPartidoJa; ;2;24;#EscolaSemPartidoJa;mjmacul_lima;
2018-05-14 22:31:16;Mas, como diz o assessor do @Sen_Cristovam, a melhor maneira de combater doutrinação é 'deixar que todos falem'. https://t.co/OfcwhfaqJM; ;12;42; ;Sen_Cristovam;
2018-05-14 22:21:27;O círculo vicioso da doutrinação: professora comanda grito 'fora, Temer!', em escola de Salvador. https://t.co/FccyZDr2Nq; ;142;268; ; ;
2018-05-14 22:19:03;O círculo vicioso da doutrinação: 'fora, Temer!', no ensino superior.  (formatura do curso de história da UDESC/2017) https://t.co/iL633DtXjb; ;52;128; ; ;
2018-05-14 22:17:05;O círculo vicioso da doutrinação: 'fora, Temer!', no ensino fundamental e médio. https://t.co/7yhfzP2lAr; ;348;751; ; ;
2018-05-14 22:14:00;O círculo vicioso da doutrinação: 'fora, Temer!', na educação infantil. https://t.co/i0iHhS8NlL; ;27;50; ; ;
2018-05-14 22:13:59;O círculo vicioso da doutrinação: 'fora, Temer!', na educação infantil. https://t.co/wfaupomCiR; ;57;119; ; ;
2018-05-14 11:47:36;@joserobert105 @LuOliveira1972 https://t.co/ENDJOCQXBb https://t.co/3J0l1lfW9U; ;0;2; ;joserobert105, LuOliveira1972;
2018-05-14 03:35:00;Segunda, terça, quarta, quinta, sexta e sábado TAMBÉM! Na verdade, o PSOL não sai da universidade. https://t.co/eqym8D2itm; ;43;180; ; ;
2018-05-14 01:45:19;RT @ClaudeLuca_: @Sen_Cristovam, nós todos queremos um debate do Sr com o Dr Miguel Nagib. Será de grande valia para a sociedade brasileira…;ClaudeLuca_;0;0; ;ClaudeLuca_, Sen_Cristovam;
2018-05-14 01:14:11;Fundador do Escola sem Partido aceita participar de debate com @Sen_Cristovam sobre o uso do sistema de ensino para fins de propaganda ideológica, política e partidária. https://t.co/5TJA9EPhA4; ;119;360; ;Sen_Cristovam;
