Data;Texto;Autor(RT);Retweets;Curtidas;Hashtags;Mentions
2018-04-14 21:30:01;RT @Pao_e_Rosas: Imagens agora do ato de 1 mês do assassinato de Marielle https://t.co/XmV64hooFv;Pao_e_Rosas;0;0; ;Pao_e_Rosas;
2018-04-14 21:11:48;Às ruas por Marielle #MarielleVive https://t.co/l00G95jV30; ;1;5;#MarielleVive; ;
2018-04-03 02:04:34;Dois anos incendiando corações e mentes revolucionárias! https://t.co/uW5tKaR7Fj; ;4;13; ; ;
2018-03-28 21:59:47;#DesarquivandoBR #MariellePresente #NãoÀintervenção https://t.co/6O8FxxXwx9; ;5;10;#NãoÀintervenção, #MariellePresente, #DesarquivandoBR; ;
2018-03-28 21:57:55;#MarielleFrancoPresente #NãoÀintervenção https://t.co/3wkUcVaHKg; ;2;3;#NãoÀintervenção, #MarielleFrancoPresente; ;
2018-03-28 21:57:25;#EdsonLuisPresente #MarielleFrancoPresente #NãoÀintervenção https://t.co/kKrQ4zqLDx; ;2;6;#EdsonLuisPresente, #NãoÀintervenção, #MarielleFrancoPresente; ;
2018-03-28 21:56:41;#DesarquivandoBR  #MarielleFrancoPresente #NãoÀintervenção https://t.co/U2XziUH47s; ;3;3;#NãoÀintervenção, #MarielleFrancoPresente, #DesarquivandoBR; ;
2018-03-28 14:29:52;Absurda repressão aos professores em greve de Minas Gerais! https://t.co/NGQTZ5jL77; ;1;4; ; ;
2018-03-28 14:29:10;A defesa dos privilégios deles! https://t.co/eMgsw1XdQp; ;0;0; ; ;
2018-03-28 12:28:25;Grazi Rodrigues, profa municipal de SP e @llluyyy , estudante da letras USP, diretamente da comemoração dos profs e servidores municipais de SP, que acabaram de derrotar a reforma da previdência do @jdoriajr! https://t.co/ZS3YPOSCvm; ;7;21; ;jdoriajr, llluyyy;
2018-03-28 11:55:52;Todo apoio à greve dos estudantes da Unifesp da Baixada Santista! Não tem arrego! https://t.co/LTMX0l4x08; ;5;18; ; ;
2018-03-27 23:40:08;Os professores e servidores municipais de São Paulo mostram o caminho! https://t.co/LVdEq2tWVv; ;4;5; ; ;
2018-03-27 18:26:15;O grito de #JustiçaParaMarielle é internacional! #MarielleFrancoPresente , hj e sempre! https://t.co/g5nvROdD8F; ;0;4;#JustiçaParaMarielle, #MarielleFrancoPresente; ;
2018-03-16 22:29:08;#MariellePresente não vão calar nossa luta! https://t.co/fFC2Y8v4Mp; ;1;4;#MariellePresente; ;
2018-03-05 12:49:03;Vem com o @Pao_e_Rosas rumo ao #8M https://t.co/bPK7POmd69; ;0;5;#8M;Pao_e_Rosas;
2018-03-04 17:50:55;HU-USP | A nova gestão da reitoria da USP assinala q vai tentar aprofundar o processo d desmonte e privatização do HU e alega desconhecer a emenda estadual q prevê investimento d R$48 milhões para novas contratações na unidade. https://t.co/CZpOKlfTfm; ;0;2; ; ;
2018-02-25 11:57:16;Basta de mulheres mortas por abortos clandestinos! https://t.co/rk2r5F6zs1; ;2;8; ; ;
2018-02-24 15:55:34;RT @DianaAssuncaoED: Concentração pra carreata em defesa do HU!  Trabalhadores e estudantes da USP e moradores da região Movimento Nossa Cl…;DianaAssuncaoED;0;0; ;DianaAssuncaoED;
2018-02-21 22:24:31;Absurdo! https://t.co/beb8fPo2So; ;0;0; ; ;
2018-02-19 21:25:05;Sente o peso! https://t.co/ds5LvXTl67; ;1;5; ; ;
2018-02-06 17:11:41;Charge de @AllanMCosta1 para o @EsquerdaDiario . Quer desafiar? Não tô entendo! Mexeu com a educação você vai sair perdendo 🎶  #EducaçãoNãoÉMercadoria https://t.co/aUE2Yid321; ;7;12;#EducaçãoNãoÉMercadoria;AllanMCosta1, EsquerdaDiario;
2018-02-06 17:09:43;Oi meninxs tutupom?   Não sei se tá focando rs mas cheeeega de privilégios!!! Além de receber uma fortuna ainda tem 'auxílios' e para o trabalhador Reforma da #Previdencia.  #NãoVamosAceitar  #TodosPelaAposentadoria https://t.co/UFRluoZvUv; ;1;3;#Previdencia, #TodosPelaAposentadoria, #NãoVamosAceitar; ;
2018-02-05 21:37:23;RT @carolina__cacau: Contra a reforma da previdência! Pelo direito do povo decidir em quem votar! Exigimos #grevegeral JÁ! https://t.co/Gmz…;carolina__cacau;0;0;#grevegeral;carolina__cacau;
2018-01-18 02:33:04;Todo apoio a greve dos metroviarios! https://t.co/oNEF1PJdrN; ;0;2; ; ;
