Data;Texto;Autor(RT);Retweets;Curtidas;Hashtags;Mentions
2018-05-16 17:25:23;RT @paulacamara_: Moro é ovacionado na entrega do prêmio Person of the Year  2018 #Moro https://t.co/a37E50KjzY;paulacamara_;0;0;#Moro;paulacamara_;
2018-05-16 17:17:40;Presidenciável Flávio Rocha se reúne com empresários na Acic https://t.co/ZAOQPRT4rh; ;5;32; ; ;
2018-05-16 16:39:09;RT @portalcatve: Esquerda e direita tiraram Flávio Rocha da suíte presidencial https://t.co/t6twA9sOzP;portalcatve;0;0; ;portalcatve;
2018-05-16 16:33:31;Vejam quem eu encontrei em Cascavel PR! https://t.co/esUGogKyiV; ;0;9; ; ;
2018-05-16 13:01:52;RT @clientesa: O Café da Manhã Série dialogo do Encontro com Presidentes com o pré-candidato Flávio Rocha foi elogiado pela troca de conhec…;clientesa;0;0; ;clientesa;
2018-05-16 12:06:35;Diretamente de Maringá, a cidade de Sérgio Moro.… https://t.co/5hmMpZITW0; ;1;33; ; ;
2018-05-16 09:37:27;Hoje foi o nosso lançamento em MARINGÁ. Lá… https://t.co/NGXdiSD1K9; ;0;22; ; ;
2018-05-15 20:53:20;Just posted a video https://t.co/UgoZsWOXIA; ;1;5; ; ;
2018-05-15 12:23:36;O absurdo das saídas temporárias dos presídios! INDIGNAÇÃO!  Um… https://t.co/2Lj4sa04Ie; ;18;125; ; ;
2018-05-14 12:09:11;RT @minas_25: Flávio Rocha, um empresário, grande gestor, perfeito para comandar um país. https://t.co/Qhll51WMMq;minas_25;0;0; ;minas_25;
2018-05-14 12:07:43;RT @marcospereira04: O pres. nac. do PRB, Marcos Pereira, e o pré-candidato a pres. da República, Flávio Rocha @flaviogr, conversam nesta m…;marcospereira04;0;0; ;flaviogr, marcospereira04;
2018-05-13 16:25:28;Just posted a photo https://t.co/eH01dT7Tc9; ;0;11; ; ;
2018-05-13 13:13:49;Mãe sempre se sacrifica sem nunca perder a alegria pois o sacrifício pelo filho a realiza. Mãe ama incondicionalmente, e faz da felicidade de seu filho a sua própria. Neste 13 de março, gostaria de homenagear todas aquelas que, fazem nossas vidas ter sentido. Feliz Dia das Mães!; ;17;204; ; ;
2018-05-13 05:21:45;https://t.co/jLJM9f0xbK; ;10;38; ; ;
2018-05-13 04:53:32;RT @flaviogr: https://t.co/Ttan9UPjIv via @youtube;flaviogr;0;0; ;flaviogr, YouTube;
2018-05-13 04:53:14;https://t.co/Ttan9UPjIv via @youtube; ;2;11; ;YouTube;
