Data;Texto;Autor(RT);Retweets;Curtidas;Hashtags;Mentions
2018-05-20 00:05:57;Ajude! Lute! https://t.co/6eDHoINe1I; ;29;41; ; ;
2018-05-19 19:59:03;Se liga SP! #lulalivre #congressodopovo https://t.co/xSJaMDkhwt; ;4;4;#congressodopovo, #lulalivre; ;
2018-05-19 12:54:58;AGROTÓXICO ROUNDUP FAZ MAIS MAL À SAÚDE DO QUE SE SUPUNHA #350Brasil  #nãofrackingbrasil #COESUS #Arayara    O governo norte-americano divulgou o resultado de uma ampla pesquisa sobre os impactos à saúde humana do uso de agrotóxicos.  https://t.co/ziTrnCYhJz; ;10;9;#COESUS, #nãofrackingbrasil, #350Brasil, #Arayara; ;
2018-05-18 03:12:30;Vigília Lula Livre 40 dias! Nosso nome é resistência.  https://t.co/mmu3xF517x; ;6;7; ; ;
2018-05-17 01:37:25;Boa noite, presidente Lula! nesta quarta-feira (16) na Vigília Lula Livre. FOTOS: Ricardo Stuckert https://t.co/KvCOUoV234; ;32;53; ; ;
2018-05-17 01:37:15;RT @LulapeloBrasil: Lula pode e será candidato a presidente da república. E vai vencer. Entenda porque com o especialista em direito eleito…;LulapeloBrasil;0;0; ;LulapeloBrasil;
2018-05-16 01:21:51;A vigília Lula Livre localizada nas próximas da sede da Polícia Federal em Curitiba precisa de sua ajuda.   Doe alimentos, produtos de higiene e limpeza, agasalhos e cobertas ou faça sua contribuição em dinheiro no site: https://t.co/YpvdQ0cJA0  #LulaValeALuta #LulaLivre https://t.co/Mz5cI4Lt4Q; ;79;68;#LulaValeALuta, #LulaLivre; ;
2018-05-13 22:27:59;DEMOCRACIA, SOCIALISMO E A LIBERDADE COMO PENSAMENTO ATUAL | ROSA LUXEMBURGO  Já está disponível a primeira vídeo-aula da websérie A atualidade do pensamento de Rosa Luxemburgo, produzida pela Fundação Rosa Luxemburgo   -- https://t.co/3V2hl6sGP8; ;6;13; ; ;
2018-05-12 23:32:25;RT @LemusteleSUR: Líderes de movimientos sociales, sindicatos, intelectuales y figuras de la izquierda brasileña advierten que las eleccion…;LemusteleSUR;0;0; ;LemusteleSUR;
2018-05-12 21:59:43;Amanhã na Vigília Lula Livre em Curitiba. Não percam! https://t.co/pLJKFhYGfW; ;28;35; ; ;
2018-05-12 19:39:12;Na Vigília Lula Livre, em Curitiba, uma carta de 30 metros chegou da Amazônia para trazer palavras de esperança e resistência ao presidente Lula.   #LulaLivre  Vídeo: Ricardo Stuckert https://t.co/zvw19TW60W; ;37;64;#LulaLivre; ;
2018-05-12 19:39:01;Direto da resistência em Curitiba, o ator Herson Capri resume em um depoimento emocionante o porque Lula foi o melhor presidente da História do Brasil.   Vídeo: Cláudio Kbene https://t.co/8l3b5E8wHr; ;196;351; ; ;
2018-05-12 12:02:16;Plenária de Mobilização do Congresso do Povo em Belém/PA. https://t.co/a7k3BGzmC8; ;2;2; ; ;
2018-05-12 04:56:01;https://t.co/vRm4txWv03; ;0;0; ; ;
