Data;Texto;Autor(RT);Retweets;Curtidas;Hashtags;Mentions
2018-05-16 13:58:12;Queremos ouvir as pessoas. Contamos com a sua participação na elaboração do nosso plano de governo. Para isso, o PSDB lançou uma campanha de financiamento que vai viabilizar a criação de uma plataforma na qual todos poderão participar com ideias. Colabore! https://t.co/mo4zPzMYuL https://t.co/Ek6PLyFjvu; ;19;96; ; ;
2018-05-15 23:01:41;Mais participação popular na política. É esse o objetivo do PSDB ao criar uma plataforma para elaboração de um projeto de governo de maneira colaborativa, ouvindo todo o país. O partido lançou um financiamento coletivo para viabilizar a ideia. Colabore! https://t.co/OQEjW9701o https://t.co/4ndcgeFF8p; ;53;190; ; ;
2018-05-14 20:59:38;Temos visto muitas brigas e discursos exaltados. Ninguém aguenta mais esse clima no país. Precisamos de mais união e trabalho em equipe para que possamos resolver nossos problemas, promovendo o crescimento e a geração de empregos no Brasil. Juntos, chegamos lá! https://t.co/pGZ2gjA4Y7; ;43;228; ; ;
2018-05-14 13:59:01;Com o programa Creche Escola, investimos de maneira pioneira em creches. De 2011 até abril deste ano, entregamos 295 unidades. Prefeituras ganham creches novas e bem equipadas, pais podem trabalhar tranquilamente e as crianças são educadas e cuidadas com carinho. https://t.co/0a61qkwWJu; ;18;116; ; ;
2018-05-11 14:04:27;Sabemos da dificuldade do acesso a bons hospitais em muitas regiões do país. É possível melhorar! Em SP, fizemos cortes de gastos, firmamos parcerias e assim conseguimos investir naquilo que mais importa. Construímos 16 novos hospitais e entregamos obras em mais 54 unidades. https://t.co/2A3wnbW5So; ;32;147; ; ;
2018-05-10 18:21:36;Participei agora da Apas, grande feira do setor de supermercados, que gera 1,8 milhão de empregos no país. Ressaltei a necessidade de uma agenda de competitividade, para que o país possa ter crescimento sustentável, com geração de empregos e aumento da renda do brasileiro.; ;23;202; ; ;
2018-05-09 18:28:13;Reunião da executiva do PSDB em Brasília. Momento inesquecível. União, esperança e muita determinação para trabalhar em defesa do nosso país. Estamos juntos nessa caminhada! https://t.co/HrdM1gD2SA; ;40;248; ; ;
2018-05-09 14:04:27;Muitos brasileiros têm que viajar para conseguir tratamento médico adequado. Essa é uma situação que pode e deve mudar. Em SP, criamos a Rede Hebe Camargo de Combate ao Câncer, que atende 94% dos pacientes na região onde moram. Trabalho constante para ampliar o acesso a saúde! https://t.co/dtzK4Kbovb; ;26;108; ; ;
2018-05-08 21:59:42;Temos quase 14 milhões de desempregados, e o Brasil é um país difícil para quem quer empreender. Dá para resolver isso com uma agenda de produtividade, estimulando a geração de empregos. Pude conversar sobre isso hoje na Associação Comercial do RJ. Seguimos caminhando pelo país! https://t.co/xk3LiYUXRB; ;40;135; ; ;
2018-05-08 15:58:14;Hoje, em Niterói, na Frente Nacional dos Prefeitos, falei sobre a importância de se dar mais poder aos governos locais, mais próximos da população. Assim, podemos priorizar educação, saúde, segurança e desenvolvimento. https://t.co/7R35kSHJ93; ;35;178; ; ;
