Data;Texto;Autor(RT);Retweets;Curtidas;Hashtags;Mentions
2018-05-21 22:41:06;Entrevista para o Programa Jornal da Clube. Assista: https://t.co/4BjZF8BBfl; ;82;417; ; ;
2018-05-21 22:25:03;Garotada e mais experientes se reunindo espontaneamente em shopping de Goiânia para trocarem experiências. Obrigado a todos pela consideração! https://t.co/pG63CWBMJX; ;349;2075; ; ;
2018-05-21 11:17:06;- Custo do pedágio, indústria das multas, valor do frete, condições das estradas, roubo de cargas e preço dos combustíveis.   - Os caminhoneiros não são ouvidos e podem parar a partir dessa segunda-feira. https://t.co/eu25S1iMkE; ;1368;5604; ; ;
2018-05-20 17:26:50;Obrigado Caxias! Um forte abraço a todos do Maranhão! https://t.co/6Y6huEAyb9; ;519;3519; ; ;
2018-05-20 13:41:58;Desde a Emenda Constitucional 81/2014, que relativizou a propriedade privada, potencilizou-se as invasões de terras levando mais mortes e conflitos no campo. A minoria, representada pelos comunistas, não pode continuar mandando no Brasil. https://t.co/kC0pjpqu2l; ;1268;4203; ; ;
2018-05-20 13:21:42;RT @CarlosBolsonaro: Tipo a “Comissão da Verdade” que analisou os crimes dos militares no Regime Militar. Qualquer semelhança não é mera co…;CarlosBolsonaro;0;0; ;CarlosBolsonaro;
2018-05-20 11:15:32;RT @CarlosBolsonaro: UÉ? https://t.co/96qKLZNq9m;CarlosBolsonaro;0;0; ;CarlosBolsonaro;
2018-05-20 11:01:19;Eles têm TV, fundo eleitoral, grandes partidos... NÓS, O POVO. Natal/RN  - 17/maio. https://t.co/vEEf3zVLGw; ;1572;6575; ; ;
2018-05-20 02:46:49;👉🏻 https://t.co/VL5p6tvY6H; ;652;5157; ; ;
2018-05-19 10:54:45;CAMINHOS DO BRASIL: Perguntas e Respostas. https://t.co/LWKMGVl25i; ;190;857; ; ;
2018-05-19 10:32:58;Mãe não condena PM pela morte do filho assaltante. Simplesmente assista: https://t.co/hkJi36OFgC; ;1083;4509; ; ;
2018-05-18 20:37:26;Palestra na Federação das Indústrias do Estado do Rio Grande do Norte. https://t.co/6ng7mHjZmR; ;374;2102; ; ;
2018-05-17 19:58:43;- Chegada há pouco! - Obrigado Natal/RN. - Um abraço Nordeste. https://t.co/tzpwxCnx7Y; ;1383;6655; ; ;
2018-05-17 16:04:31;Os grandes partidos estariam com medo do Bolsonaro? https://t.co/0UsJZ8Hwjv; ;528;2901; ; ;
2018-05-17 14:21:54;🇧🇷🇮🇱 https://t.co/UxLXDo7G2y; ;519;2869; ; ;
2018-05-17 10:38:17;- Para a revista Exame, Bolsonaro chama-se 'Mesmo Candidato.' - Por que será? https://t.co/8CLnlQQUDh; ;2428;10430; ; ;
2018-05-16 23:26:42;Jair Bolsonaro visita AgroBrasília (economia e agronegócio). https://t.co/gMAZ9bXR8J; ;698;3459; ; ;
2018-05-16 19:01:56;ALIANÇAS PARTIDÁRIAS. https://t.co/9Ioe7itbUU; ;466;1765; ; ;
2018-05-16 18:37:18;Ouvindo quem produz e quem traz desenvolvimento econômico e social para nosso Brasil! Neste momento na AGROBRASÍLIA. https://t.co/Jxf8BSMyPD; ;436;2331; ; ;
2018-05-16 15:02:31;Além da jovem que foi brutalmente assassinada por não conseguir  desbloquear o celular em um assalto ontem no RJ, mais um policial foi morto após ser identificado pelos bandidos. Um verdadeiro inferno! No que depender de nós, essa ESCÓRIA terá o tratamento que merece!; ;6128;23521; ; ;
2018-05-15 20:56:19;⬆️ https://t.co/CKlQCBER5E; ;995;5468; ; ;
2018-05-15 19:37:34;Entrevista ao jornalista Ricardo Sapia sobre temas atuais. https://t.co/ooMb6mfoZJ; ;248;1278; ; ;
2018-05-14 17:10:48;Os 'suspeitos' possuem várias passagens pela polícia e um deles estava preso e foi solto no fim de semana porque recebeu o benefício da SAIDINHA DO DIA DAS MÃES.   Mais um pai de família que trabalha combatendo o crime foi assassinado por conta de regalias dadas aos criminosos. https://t.co/fj41xSuQ9q; ;933;3359; ; ;
2018-05-14 16:56:37;RT @BlogDoPim: O reação da mãe PM repercute nos EUA como ato de heroísmo. https://t.co/UiQTWAQPfI;BlogDoPim;0;0; ;BlogDoPim;
2018-05-14 16:51:45;Visita ao Centro de Instrução Almirante Sylvio de Camargo (CIASC). Órgão que atua na capitação de Oficiais e Praças do Corpo de Fuzileiros Navais, localizado na Ilha do Governador (Rio de Janeiro-RJ)! https://t.co/cI7FK2XFyz; ;570;3538; ; ;
2018-05-14 13:40:00;Obrigado Picuí. Um grande abraço Paraíba! https://t.co/nePQiSpPDT; ;561;3419; ; ;
2018-05-13 23:15:36;- UFC 224 RIO/RJ. - Essa é a nossa pesquisa de opinião. https://t.co/72UAqU6iLv; ;1140;5328; ; ;
2018-05-13 18:16:57;RT @CarlosBolsonaro: Como um criminoso se fere para acusar um policial e ser solto no dia seguinte pelo juiz na audiência de custódia por m…;CarlosBolsonaro;0;0; ;CarlosBolsonaro;
2018-05-13 09:52:47;Parabéns mães! Um presente verdadeiro é possibilitar que durmam mais tranquilas sabendo que seus filhos voltarão seguros para suas casas além de um estado com menos interferência em muitas esferas. É possível termos força para começarmos isso a partir de 2019! Um forte abraço!; ;2856;17386; ; ;
2018-05-13 00:40:23;- Vamos revogar isso em 2019. - Faremos o Brasil grande. https://t.co/lEz6FYDJZI; ;1662;8111; ; ;
2018-05-12 16:21:55;Bom final de semana a todos! 👍🏻 https://t.co/1nLtkOIEp3; ;930;8153; ; ;
2018-05-12 13:20:30;- Onde está a vinculação de 'tapa no bumbum' com terroristas mortos no Brasil?  - Por que as TVs não mostram essas imagens?  - Grande parte da mídia vive de mentiras. https://t.co/GQNApuneLe; ;1334;4829; ; ;
2018-05-12 09:05:32;Entrevista ao “Café na Política” sobre temas atuais. https://t.co/m9JU66mr9L; ;222;1121; ; ;
2018-05-11 22:13:14;Como a esquerda, sempre 'zelosa' com os direitos humanos, executava os próprios companheiros. https://t.co/nDarnKF7p4; ;2262;7137; ; ;
2018-05-11 17:29:55;Magno Malta ( @MagnoMalta ) fala sobre Jair Bolsonaro. https://t.co/0axX74LnpA; ;304;1476; ;MagnoMalta;
2018-05-11 09:29:42;Roberto Marinho em editorial no Globo de 07/out/1984: https://t.co/Q7SK0c3gVp; ;1242;4147; ; ;
2018-05-10 23:39:53;Jair Bolsonaro recebe parlamentar paraguaio e debatem importância de relações entre os dois países. https://t.co/La2SMEXVyX; ;712;4128; ; ;
