Data;Texto;Autor(RT);Retweets;Curtidas;Hashtags;Mentions
2018-05-21 17:46:59;Hoje, após inúmeros áudios e cenas explícitas de traição, corrupção e desfaçatez, todos os que conspiraram contra @dilmabr estão desmoralizados, desesperados e sem voto.; ;16;42; ;dilmabr;
2018-05-21 17:46:06;O único legado positivo do desgoverno Temer, um legado involuntário, é verdade, foi ter desmascarado as lideranças golpistas que até o passado recente se apresentavam ao país como paladinos da ética.; ;4;14; ; ;
2018-05-21 17:45:45;O Brasil deixou de ter pleno emprego para ter uma das maiores taxas de desemprego de sua história.; ;5;6; ; ;
2018-05-21 17:44:51;Deixou de ter @dilmabr, uma mulher comprovadamente honesta, para colocar o primeiro presidente processado por corrupção em pleno exercício do mandato.; ;29;53; ;dilmabr;
2018-05-21 17:44:12;O Brasil deixou de ser altivo e respeitado no cenário internacional para se tornar um país irrelevante e submisso às grandes potências.; ;9;10; ; ;
2018-05-21 17:43:27;Diziam que era só tirar o @ptbrasil e @dilmabr do poder que, como num milagre, tudo melhoraria. Dois anos depois do golpe, aconteceu justamente o contrário: tudo piorou. https://t.co/dzo3L9xwxB; ;49;90; ;dilmabr, ptbrasil;
2018-05-18 19:52:04;Participei da abertura do 1º Fórum Brasileiro de Ecossistemas de Startups , visitei stands, o camping e conversei com muitos jovens sobre inovação e tecnologia. Foi uma manhã de muito aprendizado e novas energias. #CPBA2 https://t.co/1ms5dhHdyj; ;2;13;#CPBA2; ;
2018-05-18 19:51:26;Em sua segunda edição, a #CPBA conta com 3.500 campuzeiros acampados e mais 1.500 participantes inscritos. https://t.co/6KZQMlNjO9; ;2;10;#CPBA; ;
2018-05-18 19:50:09;A convite de Francesco Farruggia e do secretário Rodrigo Hita, dei um giro por todos os espaços da Campus Party Bahia. #CPBA2 https://t.co/FqAwW1PYKK; ;2;9;#CPBA2; ;
2018-05-18 17:29:19;Hoje pela manhã estive na Campus Party Bahia. São mais de 5 mil pessoas dialogando, formando parcerias e fortalecendo as áreas de tecnologia e inovação. O evento acontece até domingo na Arena Itaipava Fonte Nova e é um ótimo programa para o fim de semana. #FicaDica #CPBA2 https://t.co/O05kJtkI3N; ;12;38;#CPBA2, #FicaDica; ;
2018-05-18 13:07:56;De forma simples e didática, o @Pontifex_pt explicou, durante missa no Vaticano, como funcionam os golpes de Estado modernos. Qualquer semelhança com a atual situação política do Brasil não é mera coincidência. https://t.co/7j6A3Vf1BW; ;26;48; ;Pontifex_pt;
2018-05-17 19:15:10;O único nome hoje capaz de inspirar esperança, de promover o reencontro do Brasil consigo mesmo, é o de @LulapeloBrasil. E é por isso que o ex-presidente irá até o fim para colocar novamente sua candidatura a serviço do povo brasileiro. https://t.co/83xOeQnpAS; ;44;102; ;LulapeloBrasil;
2018-05-17 15:33:04;Para @KennedyAlencar, a imagem reforça ainda mais a percepção de que o juiz atua com parcialidade, constituindo-se em 'mais um exemplo de suas afinidades eletivas'. https://t.co/aatWPfJWis; ;10;33; ;KennedyAlencar;
2018-05-17 15:32:21;Um dos poucos jornalistas a ter coragem de denunciar a seletividade de parte do Judiciário brasileiro, @KennedyAlencar criticou a atitude de Sérgio Moro de posar para uma foto ao lado de João Doria, pré-candidato do PSDB ao governo de São Paulo. https://t.co/7QRVCPBcpo; ;48;64; ;KennedyAlencar;
2018-05-16 21:53:16;Lula pode ser candidato? O advogado, especialista em direito eleitoral, Luiz Fernando Pereira explica porque Lula pode e será o candidato do PT nas eleições deste ano. https://t.co/5L7FbnGUs2; ;96;157; ; ;
2018-05-16 21:22:14;Como confiar na Justiça se o operador financeiro do PSDB paulista está solto mesmo com milhões em contas secretas na Suíça? Como confiar se @LulapeloBrasil foi preso por um juiz parcial em um processo cheio de ilegalidades? Como confiar se os tucanos têm Moro privilegiado? https://t.co/JPEyMFF0yB; ;137;210; ;LulapeloBrasil;
2018-05-16 17:58:05;O Código de Ética da Magistratura é claro: a atuação dos juízes deve ser norteada pelos princípios da independência e da imparcialidade. Ao posar e confraternizar com políticos tucanos, Moro mostra que o desconhece ou que o desmerece. Nada que o Brasil já não soubesse. https://t.co/TVmtzCaMiT; ;107;154; ; ;
2018-05-16 17:57:22;Certos setores do Judiciário perderam mesmo qualquer traço de vergonha e agora exibem sua seletividade com total desfaçatez. https://t.co/x8p23FILAl; ;59;165; ; ;
2018-05-15 22:03:20;Com o título de 'Chamada de Líderes Europeus em apoio a Lula', o manifesto elogia o esforço de @LulapeloBrasil em combater a pobreza e as desigualdades e ainda condena o golpe contra a presidenta @dilmabr, 'cuja integridade nunca foi questionada'. https://t.co/dTt9ENxYzG; ;102;161; ;dilmabr, LulapeloBrasil;
2018-05-15 22:01:22;Em uma nota conjunta divulgada nesta terça, seis lideranças europeias, entre elas François Hollande e José Luís Zapatero, ex-premiês de França e Espanha, classificam como 'precipitada' a prisão de @LulapeloBrasil e defendem seu direito de participar das eleições. https://t.co/byIwlFvW0Y; ;12;28; ;LulapeloBrasil;
2018-05-15 22:00:10;#LulaLivre, #LulaCandidato! O clamor que ganha cada vez mais força no Brasil diante da constatação de que @LulapeloBrasil é o único presidenciável capaz de trazer esperança ao nosso povo também está se fortalecendo em todo o mundo.; ;8;26;#LulaCandidato, #LulaLivre;LulapeloBrasil;
2018-05-15 19:02:06;Eleitor fiel de @LulapeloBrasil, Herson Capri também disse que continuará apoiando o melhor presidente do Brasil até o fim. https://t.co/8btmyn9oPX; ;13;45; ;LulapeloBrasil;
2018-05-15 19:00:05;Para Capri, que visitou a vígilia #LulaLivre em Curitiba, o ex-presidente é inocente e só está preso porque tem mais votos que todos os outros candidatos e vence as eleições em todos os cenários.  @LulapeloBrasil; ;3;12;#LulaLivre;LulapeloBrasil;
2018-05-15 18:59:03;Em um depoimento emotivo e corajoso, o ator Herson Capri, da @RedeGlobo, saiu em defesa de @LulapeloBrasil, afirmando que ele foi o primeiro presidente a de fato governar para os que mais precisam.  #LulaLivre #LulaInocente https://t.co/5H6Fva5vVo; ;34;79;#LulaInocente, #LulaLivre;RedeGlobo, LulapeloBrasil;
2018-05-15 12:58:54;Plano A da maioria dos brasileiros, @LulapeloBrasil e o único plano do @ptbrasil. Lutaremos até o fim e de todas as formas possíveis para garantir #LulaLivre, #LulaCandidato, #LulaPresidente! https://t.co/5Zpb88BV5A; ;16;32;#LulaPresidente, #LulaCandidato, #LulaLivre;ptbrasil, LulapeloBrasil;
2018-05-15 12:55:34;No primeiro e no segundo turnos, @LulapeloBrasil bate todos os adversários com folga. Sem ele, quem ganha são os votos brancos e nulos e os indecisos, que alcançam níveis históricos, indicando um aprofundamento ainda maior da crise de representatividade que nosso país vive.; ;34;108; ;LulapeloBrasil;
2018-05-15 12:55:03;Podem até prender o candidato do povo, mas jamais poderão aprisionar a vontade do povo. Nova pesquisa CNT/MDA mostra mais uma vez que @LulapeloBrasil é, disparado, o candidato preferido dos brasileiros para ser o próximo presidente. https://t.co/blRUs7TspZ; ;70;196; ;LulapeloBrasil;
2018-05-14 13:47:01;🎵🎵Ai que saudade do meu ex Ele é que era presidente de verdade...🎵🎵 @LulapeloBrasil https://t.co/WRJZkgnmlZ; ;92;238; ;LulapeloBrasil;
2018-05-11 18:37:00;Nosso candidato só não será @LulapeloBrasil se, mais uma vez, as forças persecutórias e antidemocráticas violarem a legislação, como já fizeram no golpe contra @dilmabr e no absurdo processo q levou à injusta prisão do melhor presidente da nossa História. https://t.co/awdQHLFsUr; ;15;26; ;dilmabr, LulapeloBrasil;
2018-05-11 18:34:24;A Lei da Ficha Lima prevê a possibilidade de reversão da inelegibilidade até após a eleição, não havendo base legal para impedir o registro da candidatura de @LulapeloBrasil, que poderá inclusive participar de eventos de campanha e gravar programas eleitorais.; ;22;56; ;LulapeloBrasil;
2018-05-11 18:32:17;Líder em todas as pesquisas, símbolo da esperança, @LulapeloBrasil não é nosso plano A. Lula é nosso único plano. É nele que os brasileiros se reconhecem, é ele que o povo quer. O povo quer e a lei permite, como defende Luiz Fernando Pereira, especialista em direito eleitoral. https://t.co/5PIoLBGlpM; ;77;118; ;LulapeloBrasil;
2018-05-11 14:27:26;Marieta Severo também elogiou o legado social dos governos petistas, destacando que as conquistas e avanços daqueles tempos permanecem vivos apesar dos ataques. https://t.co/CjYd4D5U37; ;8;24; ; ;
2018-05-11 14:25:46;Em entrevista ao @JornalOGlobo, a atriz Marieta Severo, que apoiou @LulapeloBrasil em todas as eleições, disse que a condenação e a prisão dele foram uma armação jurídica. https://t.co/nTh8EuU9DJ; ;207;580; ;LulapeloBrasil, JornalOGlobo;
2018-05-10 21:26:50;Os algozes de @dilmabr, por outro lado, estão todos desmoralizados e com medo de sair às ruas. É a História e o povo fazendo justiça à primeira mulher presidenta do Brasil. https://t.co/7dQXUHpDM6; ;66;127; ;dilmabr;
2018-05-10 21:25:47;Coração valente e mulher de mãos limpas, @dilmabr sobreviveu a todos os ataques e mentiras, viu os órgãos de investigação derrubarem todas as falaciosas acusações feitas contra ela e hoje é convidada para dar palestras nas maiores universidades do mundo.; ;109;331; ;dilmabr;
2018-05-10 21:24:59;De acordo com pesquisa do Instituto da Democracia, metade dos brasileiros considera que a derrubada de @dilmabr não foi um processo de impeachment que respeitou as regras do jogo democrático, mas uma conspiração, um golpe.; ;7;17; ;dilmabr;
2018-05-10 21:23:56;Os golpistas tentaram, a mídia alinhada a eles também, mas a verdade sempre aparece e prevalece. Dois anos após ser violentamente retirada do poder, @dilmabr é cada vez mais percebida como vítima de um golpe. https://t.co/lvAoZlnL2d; ;10;37; ;dilmabr;
