Data;Texto;Autor(RT);Retweets;Curtidas;Hashtags;Mentions
2018-05-16 18:11:04;Parabéns a todos os Garis pelo seu dia. Trabalhadores e trabalhadoras que cuidam com tanta dedicação da nossa cidade. #DiaDoGari https://t.co/qjCCeyXr9C; ;17;155;#DiaDoGari; ;
2018-05-16 17:37:16;#ParabénsSergioMoro https://t.co/8WwcoLTuaI; ;30;219;#ParabénsSergioMoro; ;
2018-05-16 14:10:17;Conforme prometemos em campanha e divulgamos essa semana, obtivemos uma expressiva redução no número de multas aplicadas na cidade de SP. Além das medidas de combate à 'indústria da multa' e campanhas educativas que implementamos, atribuímos essa conquista também aos motoristas. https://t.co/6zUQquHTqv; ;20;119; ; ;
2018-05-16 01:50:49;Ao lado da Bia Doria e do casal Rosângela Wolff Moro e Sergio Moro no #personoftheyear aqui em #nyc #PersonalidadeDoAno https://t.co/1hUXmlBTm9; ;166;1084;#personoftheyear, #nyc, #PersonalidadeDoAno; ;
2018-05-15 23:41:56;Noite especial aqui em NY ao lado de duas pessoas que admiro: ex-prefeito de NY @MikeBloomberg e o Juiz Sergio Moro, homenageados no “Person of the Year Awards” (Personalidade do Ano), prêmio que também tive a honra de receber no ano passado. https://t.co/kSZVEIl1WB; ;73;574; ;MikeBloomberg;
2018-05-15 21:34:22;Para o Estado de São Paulo defendemos o mesmo: uma administração pública mais enxuta, eficiente e focada em atrair novos investimentos para gerar mais emprego e renda para o povo paulista. #GestãoEficiente; ;7;73;#GestãoEficiente; ;
2018-05-15 21:34:21;Aqui em NY, eu e o Bruno Covas participamos de um encontro para falar sobre  as oportunidades do Plano de Desestatização de SP para importantes investidores. Esta foi uma promessa de campanha que assumi, e fico muito feliz em ver a concretização deste projeto com o Bruno. https://t.co/sgN8BaX6h2; ;18;209; ; ;
2018-05-14 21:28:03;Olá, pessoal. Estamos na sede da Bloomberg, aqui em NY, para uma bateria de entrevistas nos veículos do grupo sobre o cenário político no Brasil e no Estado de SP. O mundo está de olho nas nossas elições. #AceleraSP https://t.co/IDHxfdlkri; ;34;364;#AceleraSP; ;
2018-05-14 19:51:46;Trabalhamos muito para oferecer um tratamento digno aos dependentes químicos que vivem nas ruas de SP. Mais de 5 mil famílias encontraram na Prefeitura uma aliada na luta contra as drogas. Ainda há muito por fazer nessa área, mas o primeiro passo já foi dado. #SPmaisHumana https://t.co/4E990ksnCD; ;16;137;#SPmaisHumana; ;
2018-05-13 12:23:55;Essa é minha Mãe, Maria Sylvia e este no colo sou eu. Ela já se foi. Todos os dias lembro dela e faço minhas orações. Se você ainda tem sua Mãe, dê um beijo carinhoso nela e a proteja. Aproveito para homenagear a Bia, minha querida esposa e Mãe dos meus 3 filhos, e todas as Mães. https://t.co/msBSQLTXVh; ;19;582; ; ;
