Data;Texto;Autor(RT);Retweets;Curtidas;Hashtags;Mentions
2018-05-21 22:51:03;O que esperar de um presidente golpista? https://t.co/ytJ2WGMOhB; ;7;18; ; ;
2018-05-21 20:52:18;Jornal Nacional sobre a Venezuela: 'Difícil ver legitimidade em eleição em que políticos estão presos.'  Ah, é mesmo? 🤔; ;14;32; ; ;
2018-05-21 17:13:56;Parabéns ao povo venezuelano que exerceu seu direito ao voto de maneira voluntária, livre e soberana. 🇻🇪 https://t.co/daBdaXoyif; ;13;31; ; ;
2018-05-21 03:43:24;🇻🇪 Com 68%, mais de 5,8 milhões de votos, @NicolasMaduro é declarado vencedor das eleições da Venezuela. #VenezuelaDecide https://t.co/kSyPsgu5fb; ;45;69;#VenezuelaDecide;NicolasMaduro;
2018-05-17 19:34:23;17 de maio: lutar contra o golpe é lutar contra a LGBTfobia  'Nossa resposta ao golpe é seguir cada vez mais firme nas ruas, vamos colorir com ousadia um projeto de país onde qualquer forma de amor é possível!'  Leia mais: https://t.co/WJuNX1Scq3 https://t.co/Jkb97hZQwV; ;12;14; ; ;
2018-05-16 21:25:22;Quem sabe canta canta comigo!!  COM AS MÃOS PRA CIMA 🎙 https://t.co/1tTvQpUsDt; ;14;33; ; ;
2018-05-16 13:21:07;Se liga, não atualizem o app do @idjovem_com a princípio é um problema no sistema, evite atualizar para não perder o código enquanto não solucionam o problema! https://t.co/N9kayp2vbP; ;10;8; ;idjovem_com;
2018-05-15 22:38:51;'Bora' fazer a inscrição?!? Nada de perder o prazo ou deixar para os últimos momentos! https://t.co/cg3awSz9sO; ;8;7; ; ;
2018-05-15 14:34:18;Desconfiem quando seu amigo diz que conhece um cara que faz o serviço mais barato, pode ser golpe! https://t.co/l0OtuAeAeG; ;13;28; ; ;
2018-05-15 01:44:04;Nesse ENEM não faça que nem a Folha, estude o uso da vírgula. https://t.co/SW6ZMyDZZm; ;13;21; ; ;
2018-05-13 13:06:20;Parabéns a todas as mães! E que a sociedade entenda que ser mulher é diferente de ser mãe: Ser mães deve ser uma escolha e não uma obrigação.; ;53;123; ; ;
2018-05-09 19:21:13;RT @Brasil_de_Fato: Nos transformamos no que lemos, ouvimos ou assistimos. E a mídia tem cada vez mais trocado seu papel de informar para t…;Brasil_de_Fato;0;0; ;Brasil_de_Fato;
2018-05-09 00:47:33;#BoaNoite   Via Obras Literárias https://t.co/af7g0yR0Ri; ;8;16;#BoaNoite; ;
2018-05-09 00:15:28;Vamos lá, né mores!?! https://t.co/9DSMB5d5yX; ;4;9; ; ;
2018-05-08 00:45:22;#MatheusaPresente  #MariellePresente  'Por nossos mortos, nem um minuto de silêncio. Toda uma vida de Luta! Via Ribs https://t.co/eYfgiofvla; ;76;129;#MariellePresente, #MatheusaPresente; ;
2018-05-07 17:12:04;Muralismo da UNE Volante no Acampamento Lula Livre em Curitiba! #30DiasDeResistência #LulaLivre https://t.co/CVtpwowlIR; ;10;21;#LulaLivre, #30DiasDeResistência; ;
2018-05-07 16:48:22;A Solidariedade é um princípio da luta popular!  #30DiasDeResistência https://t.co/0Vq8N5Fa6I; ;5;8;#30DiasDeResistência; ;
2018-05-07 16:02:34;Mídia Golpista com nóis não tem vez não!  #30DiasDeResistência https://t.co/GWCNucITVr; ;27;32;#30DiasDeResistência; ;
2018-05-07 15:35:23;Agitar as massas é nossa tarefa revolucionária!  #30DiasDeResistência https://t.co/uwIYmQtZYX; ;11;13;#30DiasDeResistência; ;
2018-05-07 15:01:24;ÊTA! Se liga! Mais um passo pra resistir ao golpe!  #30DiasDeResistência https://t.co/SSGs6luuuv; ;8;7;#30DiasDeResistência; ;
2018-05-07 14:39:24;Aô juventude linda desse brasilzão! Fica de olho na tarefa pra pensar durante o dia, antes de dormir e quem sabe com ela! #30DiasDeResistência https://t.co/FTOvQ5nXPs; ;13;25;#30DiasDeResistência; ;
2018-05-07 14:17:36;Nossa resistência permanece e não vamos nos calar diante do arbítrio e da injustiça. #30diasdeResistência https://t.co/iZBgCIruf2; ;2;6;#30diasdeResistência; ;
2018-05-07 14:13:16;Chega junto no tuitaço! 👊💻 #30DiasDeResistência https://t.co/BVfFylcXXy; ;2;9;#30DiasDeResistência; ;
2018-05-07 13:42:25;Não sei nem o que dizer, só sentir @MST_Oficial https://t.co/3o5Cy67TcD; ;47;209; ;MST_Oficial;
2018-05-06 23:34:36;Na última sexta-feira, 4 de maio, rolou o lançamento do 3º Acampa Estadual do Levante Minas, no Armazém do Campo, em Belo Horizonte!  Fotos: @MidiaNINJA https://t.co/TGLYDMqK8j; ;16;81; ;MidiaNINJA;
2018-05-06 16:27:34;Quando a @ diz que curte comer produtos orgânicos e de reforma agrária https://t.co/A47e4OrPI0; ;73;190; ; ;
2018-05-05 22:05:53;Hoje rolou oficina de estandarte na vigília #LulaLivre. https://t.co/ssFrSvaxx1; ;0;25;#LulaLivre; ;
2018-05-05 21:25:19;200 ANOS DE KARL MARX  No dia 5 de maio de 1818 nascia Karl Marx, as contribuições do pensador alemão sobre a sociedade permanecem atuais e são base para a formação de muitos intelectuais, lutadores e lutadoras populares até hoje! #Marx200 https://t.co/jOtxpWYXQD; ;36;93;#Marx200; ;
2018-05-05 14:26:09;Café orgânico moído na hora? Vem pra Feira que tem! #ComidaÉLuta #FeiraDaReformaAgrária #FeiraMST https://t.co/6mpjifVC6o; ;10;18;#FeiraDaReformaAgrária, #FeiraMST, #ComidaÉLuta; ;
2018-05-05 14:13:55;Homenagem a Paul Singer durante a Conferência 'Alimentação Saudável é um Direito de todos e todas', na 3ª Feira Nacional da Reforma Agrária. https://t.co/V63fRmBQEW #ComidaéLuta https://t.co/iNig0Elg1J; ;8;23;#ComidaéLuta; ;
2018-05-05 14:12:06;O manejo consciente da produção de alimentos é fundamental na garantia de um futuro sustentável para o Brasil e o mundo. #ComidaÉLuta; ;5;12;#ComidaÉLuta; ;
2018-05-05 14:08:09;Como o @MST_Oficial se tornou o maior produtor de arroz orgânico da América Latina: https://t.co/aD8VcEJlYW  #ComidaÉLuta https://t.co/TVgTbRqvDw; ;21;48;#ComidaÉLuta;MST_Oficial;
2018-05-05 13:51:54;Chega junto no twittaço! 👊💻 #ComidaÉLuta https://t.co/6hrWgB9MOp; ;9;13;#ComidaÉLuta; ;
2018-05-05 13:20:13;#LulaLivre durante a formatura da turma do curso de Direito da UFS. https://t.co/CzpB7vRhwx; ;9;34;#LulaLivre; ;
2018-05-04 19:42:31;@LulapeloBrasil https://t.co/zjCKmbX9Sm; ;2;3; ;LulapeloBrasil;
2018-05-04 19:40:38;Que a força do povo esteja com você @GuilhermeBoulos #MayTheFourth #StarWarsDay https://t.co/Fi9ZDWhz14; ;1;5;#MayTheFourth, #StarWarsDay;GuilhermeBoulos;
2018-05-04 18:56:25;Que a força do povo esteja com você #MayTheFourth #StarWarsDay https://t.co/zjCKmbX9Sm; ;17;48;#MayTheFourth, #StarWarsDay; ;
2018-05-04 18:34:58;Que a força do povo esteja com você @ManuelaDavila #MayTheFourth #StarWarsDay https://t.co/B2FnDo174F; ;0;6;#MayTheFourth, #StarWarsDay;ManuelaDavila;
2018-05-04 15:52:08;RT @MST_Oficial: #FeiraMST  #tonafeira https://t.co/gl7zzQpHvF;MST_Oficial;0;0;#tonafeira, #FeiraMST;MST_Oficial;
2018-05-04 14:38:24;Muralismo em homenagem à Ruth de Souza durante a passagem da caravana da #UNEVolante pela UnB https://t.co/bocZ7mlcbC; ;2;9;#UNEVolante; ;
2018-05-04 13:36:31;Slam Nós por Nós | A edição do Slam ocorreu durante o Curso Nacional da Frente Territorial do Levante.  “Nossa arte é resistência!” https://t.co/F2jfMM0ZG6; ;8;26; ; ;
2018-05-04 01:46:24;🔴 VOLTAMOS | Segunda parte da Batalha de Slam do Levante São três rodadas, três jurados e cinco artistas inscritos. Acompanhe a batalha e mande suas opiniões! SLAM NÓS POR NÓS  SE LIGA: https://t.co/QxG6alycyG https://t.co/xN2qJlfiSc; ;0;3; ; ;
2018-05-04 01:28:58;FIQUEM LIGADOS  #nãovaitergolpe   A LIVE VAI VOLTAR https://t.co/P7hD3gHckc; ;0;3;#nãovaitergolpe; ;
2018-05-04 00:59:19;🔴 *AGORA | Batalha de Slam do Levante* São três rodadas, três jurados e cinco artistas inscritos. Acompanhe a batalha e mande suas opiniões! SLAM NÓS POR NÓS  CONFERE: https://t.co/WZI5scdIHm https://t.co/qjgyYZKev4; ;0;3; ; ;
2018-05-03 22:59:03;FRENTE TERRITORIAL | Em que mundo vivemos? Que periferia é essa? Essas foram as questões debatidas no 1º dia de Curso da Frente Territorial do Levante. 60 militantes de 17 estados, ficarão reunidos até domingo para debater trabalho, cultura e educação das periferias brasileiras. https://t.co/p2xDK01O9d; ;9;33; ; ;
2018-05-03 22:40:55;Anota aí, coloca o despertador pra tocar! Se liguem na página do Levante »»» https://t.co/bThJPu5RZb ««« que hoje, a partir das 21 horas vai rolar ao vivo da Batalha de SLAM direto do Curso da Frente Territorial! 👊🎤 https://t.co/IW7h3uE0Wt; ;2;5; ; ;
2018-05-02 19:46:15;Assembleia Geral na UnB deflagra Greve Geral contra os ataques do MEC na educação! #GreveUnBResiste https://t.co/iBGDhteJoa; ;42;113;#GreveUnBResiste; ;
2018-05-02 16:31:05;RT @J_LIVRES: Por Genildo https://t.co/gk3UTQia7W;J_LIVRES;0;0; ;J_LIVRES;
2018-05-01 22:43:53;chama as debochadas https://t.co/nBju9dfxva; ;17;54; ; ;
2018-05-01 19:51:02;SÃO PAULO Na capital paulista está acontecendo o 1° de Maio da Resistência com milhares de pessoas ocupando a Praça da República. A população do estado de São Paulo está em luta pela democracia e pela libertação de Lula.  #1McomLULA https://t.co/wjAtrGVBfj; ;53;105;#1McomLULA; ;
2018-05-01 18:37:16;Com o desemprego aumentando o número de moradores nas ruas também aumenta. A estimativa é que pelo Brasil 101 mil pessoas estão vivendo na rua.  “quem é rico mora na praia mas quem trabalha não tem onde morar'  #ForaTemer https://t.co/CE13Jtsqt6; ;26;24;#ForaTemer; ;
2018-05-01 17:53:09;1 DE MAIO NO PARÁ  Nesse momento, no encerramento do II Acampamento Estadual do Levante Pará, acontece, em Altamira, o Ato Levante-se pela Paz e a Democracia!  Contra a violência e o exterminio da juventude e pela Democracia!  #1McomLula https://t.co/PGpxKBbwBE; ;12;18;#1McomLula; ;
2018-05-01 16:29:29;Tá rolando em Vila Ipê, Caxias do Sul - RS, o primeiro encontro de HipHop Popular, reunindo mais de 500 pessoas. Cola com a gente aqui que ainda vai rolar mais coisas boas. https://t.co/DihfngGdZ2; ;2;7; ; ;
2018-05-01 16:04:23;Por todos os cantos do Brasil os trabalhadores e trabalhadoras ocupam as ruas em defesa da democracia e de Lula #1McomLULA https://t.co/fVqGIwI1WK; ;5;8;#1McomLULA; ;
2018-05-01 15:58:17;| Aracaju - SE | A luta pelos direitos da classe trabalhadora sempre foi a marca do dia do Trabalhador, mas no dia de hoje a luta é bem maior: ocupamos as ruas em defesa das nossas águas, da nossa educação, do nosso petróleo, da nossa Democracia e da liberdade de Lula. #1McomLULA https://t.co/XyNNOIeP5P; ;9;13;#1McomLULA; ;
2018-05-01 15:56:14;LANÇAMENTO ESTADUAL DO CONGRESSO DO POVO | CEARÁ   Acontece agora, em Fortaleza, o Lançamento Estadual do Congresso do Povo. O espaço conta com a participação de mais de 2 mil pessoas das Centrais Sindicais, Movimentos Populares e de Juventude.   #1McomLula https://t.co/gebMxxZ8z6; ;7;16;#1McomLula; ;
2018-05-01 15:08:13;NÃO VAI TER SOSSEGO #1McomLula https://t.co/IKvDc4GOOO; ;33;59;#1McomLula; ;
2018-05-01 14:37:51;@BLOGDOMENON @GustavoM2014 Michel Temer; ;0;0; ;BLOGDOMENON, GustavoM2014;
2018-05-01 14:28:55;Golpista o povo trata assim, né mores? https://t.co/hv8KewElnt; ;27;71; ; ;
2018-04-30 20:36:09;Ousadia e Rebeldia para Defender a Democracia 🏴🏴 #2AcampaLevanteCE https://t.co/T54VkyiKFQ; ;18;38;#2AcampaLevanteCE; ;
2018-04-30 15:47:12;O segundo passo é pressionar, golpista nenhum vai ter descanso!!! https://t.co/fLhS7nZW2B; ;6;13; ; ;
2018-04-30 15:41:10;Por todos os cantos do Brasil o povo quer #LulaLivre   Município de Iranduba/ AM https://t.co/0pgY5xnzsZ; ;112;238;#LulaLivre; ;
2018-04-30 00:20:46;Estamos #aovivo no Facebook diretamente do Ato Político do 2º Acampa Estadual do Ceará! Vem com a gente!   https://t.co/fHbAcQPRyJ; ;2;1;#aovivo; ;
2018-04-30 00:06:11;Começa agora o Ato Político do 2º Acampamento Estadual do Levante Popular da Juventude Ceará, em Caucaia. São mais de 1500 jovens de todo o estado! https://t.co/2mErsYO67C; ;24;71; ; ;
2018-04-29 22:30:36;Ontem (28) iniciou o II Acampamento Estadual do Levante Popular da Juventude, em Brasil Novo, Pará.  São mais de 300 jovens de diferentes regiões do estado reunidos para debate, formação e luta.  “Juventude da Amazônia, um grito de resistência!” https://t.co/9C6kqwrAns; ;20;48; ; ;
2018-04-29 14:14:32;quem esses gringo acham que são para vir no meu país roubar nossa água? https://t.co/syUsFHxRFV; ;12;25; ; ;
2018-04-29 14:05:31;- Achou que podia vir roubar a água do Brasil e não ia levar escracho? ACHOU ERRADO GRINGO OTÁRIO #ÁguaEDireito #AguaNaoEMercadoria https://t.co/5gW9GE57ZI; ;26;43;#ÁguaEDireito, #AguaNaoEMercadoria; ;
2018-04-28 16:17:07;Será que o Viddas Bôas não vai tuitar exigindo punição aos fascistas que praticaram atentado contra o acampamento Marisa Letícia? #LulaLivre; ;8;17;#LulaLivre; ;
2018-04-28 15:15:08;A morte de Marielle e Anderson, os ataques a caravana de Lula e ao acampamento são crimes do golpe, são crimes políticos, mas nós não nos calaremos diante das ameaças, vamos cobrar justiça!; ;16;23; ; ;
