Data;Texto;Autor(RT);Retweets;Curtidas;Hashtags;Mentions
2018-05-15 00:37:16;LEVY FIDELIX EM ENTREVISTA AO SBT DIZ QUE A CAMPANHA PRESIDENCIAL/2018 É DESLEAL ENTRE PARTIDOS MAIORES E PARTIDOS MENORES.  PERDEM O POVO E A DEMOCRACIA.  Assista a primeira parte da entrevista completa ao Jornal do SBT. https://t.co/88U5FXff7k; ;4;9; ; ;
2018-05-14 16:03:43;ATENÇÃO: CENSURA NO BRASIL AVANÇA  A censura no Brasil está avançando e ela virá apenas para uma das partes. Isso é, somente a direita terá cerceada sua liberdade de expressão.   Para vocês entenderem o que está... https://t.co/J0i70uSXGc; ;3;11; ; ;
2018-05-09 04:04:48;O PRESIDENCIÁVEL DO PRTB LEVY FIDELIX ABRE O JOGO SOBRE COMO A DIREITA CONCENTRADA VAI GANHAR AS ELEIÇÕES DE 2018.  (Live inédito de Leudo Costa com Levy Fidelix e Brigadeiro Atila Maia)  https://t.co/YHWvxEVc3b https://t.co/YHWvxEVc3b; ;1;5; ; ;
2018-05-07 18:24:09;VEJA O QUE DISSE LEVY FIDELIX SOBRE OS PLANOS DA ELITE NO BRASIL!   NENHUM POLITICO TEVE A CORAGEM DE DIZER.  https://t.co/LwQEyFvJEl https://t.co/LwQEyFvJEl; ;3;6; ; ;
2018-05-04 23:39:04;BRASIL EM ALERTA :  LEVY FIDELIX FAZ DISCURSO DE ESTADISTA PARA 2.000 VEREADORES EM BRASILIA , SENDO APLAUDIDO CALOROSAMENTE POR TODOS .  Assista o discurso completo . https://t.co/ePQdkoSPvf; ;4;12; ; ;
2018-05-04 04:57:09;LEVY FIDELIX DÁ UM SHOW DE ECONOMIA E FALA COMO VAI SALVAR O BRASIL DOS BANQUEIROS E BANDIDOS DO PODER. https://t.co/JgcCkybZk3; ;2;8; ; ;
2018-05-01 01:00:59;Pergunto a voce tragicomico Fabio para onde foram mais de 10 trilhoes de reais pagos pelos sucessivos governos ladroes nos ultimos 10 anos. Foram pro seu bolso de “banqueiro” ?! Ciao, cara ! https://t.co/AsgcY4ewkZ; ;4;15; ; ;
2018-04-30 23:32:26;“DÓLAR SUBINDO, DESEMPREGO E EMPRESAS FECHANDO SÃO O RESULTADO DA POLÍTICA MONETARISTA INSANA DO MEIRELLES E DO TEMER”, AFIRMA EM ENTREVISTA O PRESIDENCIÁVEL LEVY FIDELIX.  VEJA O VÍDEO: https://t.co/BdIhL2syz8 https://t.co/BdIhL2syz8; ;0;4; ; ;
2018-04-30 23:28:06;“DÓLAR SUBINDO, DESEMPREGO E EMPRESAS FECHANDO SÃO O RESULTADO DA POLÍTICA MONETARISTA INSANA DO MEIRELLES E DO TEMER”, AFIRMA EM ENTREVISTA O PRESIDENCIÁVEL LEVY FIDELIX.  VEJA O VÍDEO: https://t.co/rPFRSs8tur https://t.co/rPFRSs8tur; ;3;4; ; ;
2018-04-30 05:02:08;https://t.co/O57vl4q0C4 https://t.co/ON4N4ZYuxW; ;0;12; ; ;
2018-04-30 01:29:00;https://t.co/e27Dno6cAz... https://t.co/Ti7wA3qEPN; ;2;9; ; ;
2018-04-27 18:12:24;https://t.co/DqEJIxhh8I; ;1;2; ; ;
2018-04-26 23:38:18;PRESIDENCIÁVEL LEVY FIDELIX FALA NA XVI MARCHA DOS VEREADORES https://t.co/qp2kzCzJnf; ;0;2; ; ;
2018-04-25 01:22:03;EM ENTREVISTA AO AMAZON PLAY, O PRESIDENCIÁVEL LEVY FIDELIX ESCULACHA FHC E POLÍTICA MONETARISTA DE MEIRELLES.  ASSISTA. https://t.co/fRSbzp7W7h; ;1;8; ; ;
2018-04-23 18:49:44;Gostaria de saber o que foi feito com o pedido do jurista Modesto Carvalhosa pra o TSE cassar os registros do PT,PMDB,PP,PC do B,PSDB et caterva ?!; ;8;15; ; ;
2018-04-23 15:10:02;BOMBA DE LEVY FIDELIX: DENUNCIA PARA A LAVA JATO MANIPULAÇÃO DE INSTITUTOS DE PESQUISAS ELEITORAIS! https://t.co/hUDMKOsY9t; ;3;8; ; ;
2018-04-20 17:12:45;PRESIDENCIÁVEL LEVY FIDELIX É DESTAQUE NA MÍDIA EM SUA VIAGEM A AMAZONAS  PRÉ-CANDIDATO À PRESIDÊNCIA DA REPÚBLICA PELO PRTB CONCEDE ENTREVISTA EXCLUSIVA PARA A TV TIRADENTES. https://t.co/EtGdgQ7nvL; ;2;14; ; ;
2018-04-20 15:19:33;PRESIDENCIÁVEL LEVY FIDELIX É DESTAQUE NA MÍDIA EM SUA VIAGEM A AMAZONAS; ;2;15; ; ;
2018-04-20 15:06:35;PRESIDENCIÁVEL LEVY FIDELIX É DESTAQUE NA MÍDIA EM SUA VIAGEM A AMAZONAS   PRÉ-CANDIDATO À PRESIDÊNCIA DA REPÚBLICA PELO PRTB CONCEDE ENTREVISTA EXCLUSIVA AO PORTAL A CRÍTICA. https://t.co/0eoBcKOoaW; ;0;3; ; ;
