Data;Texto;Autor(RT);Retweets;Curtidas;Hashtags;Mentions
2018-05-20 19:00:23;Ato marca Dia Nacional da Luta Antimanicomial no Rio de Janeiro https://t.co/WQip6IlcR7; ;0;1; ; ;
2018-05-20 17:00:03;Dia da Luta Antimanicomial: os novos alvos https://t.co/UN0HxEr3eM; ;0;0; ; ;
2018-05-20 16:00:08;O que venceu nas eleições do Sindicato dos Trabalhadores da Construção Civil de Fortaleza (CE) https://t.co/35GvUwcCRm; ;1;1; ; ;
2018-05-20 15:00:02;Reintegração dos metroviários de São Paulo: lição de solidariedade, unidade e resistência https://t.co/5KCI2hJ0Lw; ;0;1; ; ;
2018-05-19 19:00:02;Na defesa da Reforma Psiquiátrica https://t.co/AFqRFnFXlL; ;0;0; ; ;
2018-05-19 18:00:09;Conferência do M-LPS debaterá unificação com a Resistência https://t.co/cXkr1J0KW2; ;0;0; ; ;
2018-05-19 17:00:04;Campanha contra venda da Embraer tem protesto e ganha apoio de sindicatos https://t.co/Gb8pY7bdCt; ;0;0; ; ;
2018-05-19 16:00:09;A Argentina e o efeito orloff https://t.co/D47VBQ9dUX; ;0;0; ; ;
2018-05-19 15:00:07;Morte e vida Palestina https://t.co/VofnEqANJM; ;0;0; ; ;
2018-05-19 14:30:04;Ato marca Dia Nacional da Luta Antimanicomial no Rio de Janeiro https://t.co/WQip6IlcR7; ;0;0; ; ;
2018-05-19 14:00:09;Dia internacional de combate à LGBTfobia em meio ao avanço da violência https://t.co/5ToEDlmti0; ;0;0; ; ;
2018-05-19 13:00:08;Como pensar no tema da segurança pública com os olhos e os pés do povo trabalhador, negro e periférico?  https://t.co/mxL9FIoHsS; ;0;0; ; ;
2018-05-18 23:11:33;Dia da Luta Antimanicomial: os novos alvos https://t.co/GI5Ot3SZ2A; ;0;0; ; ;
2018-05-18 17:10:45;Todo apoio à greve dos e das professoras do Recife https://t.co/dBiLdGhaAo; ;0;0; ; ;
2018-05-18 17:08:30;RT @esquerdaonline_: ACONTECE AGORA | Manifestação em frente ao escritório da reitoria da UNESP - Universidade Estadual Paulista.  Você sab…;esquerdaonline_;0;0; ;esquerdaonline_;
2018-05-18 17:07:51;https://t.co/OtVqA6F6Ea; ;1;1; ; ;
2018-05-18 13:00:13;As tragédias ensinam, as atitudes inspiram https://t.co/qAvVNY5oQs; ;0;1; ; ;
2018-05-17 19:20:04;Dia de luta contra homofobia é lembrado pelo único gay assumido no Congresso Nacional https://t.co/xR9n2y2rMP #LGBT; ;0;1;#LGBT; ;
2018-05-17 19:06:31;Dia internacional de luta contra a homofobia  #17mai https://t.co/R3oF8iDvxy; ;0;2;#17mai; ;
2018-05-17 17:00:16;Movimentos realizam ato em memória de MC vítima de feminicídio, em São Bernardo https://t.co/NRvaeYLpcY; ;1;0; ; ;
2018-05-17 15:00:10;Carta do SOS Paissandu para a sociedade civil e gestão da cidade de São Paulo https://t.co/CEjjqKkZ6m; ;0;1; ; ;
2018-05-17 13:00:02;Desigualdade mundial crescente https://t.co/MZ8aGl2FtJ; ;0;1; ; ;
2018-05-16 21:30:11;Nakba: 70 anos depois, a bandeira da Palestina Livre tremula em Gaza https://t.co/i7mony81rf; ;0;1; ; ;
2018-05-16 20:30:02;Não choremos: compreendamos e lutemos https://t.co/zt980JDPSO; ;0;1; ; ;
