Data;Texto;Autor(RT);Retweets;Curtidas;Hashtags;Mentions
2018-05-12 14:10:20;Maíra, da MMM de sp, falou sobre a dupla jornada de trabalho e a importância de pautar esse tema na resistência #LulaLivre #congressodopovo; ;0;1;#LulaLivre, #congressodopovo; ;
2018-05-12 13:22:30;Raimundo Bonfim, da CMP, explicando os objetivos Congresso do Povo #congressodopovo #LulaLivre https://t.co/nFDhRGrZR9; ;0;0;#LulaLivre, #congressodopovo; ;
2018-05-12 13:11:58;Galera da perifatividade agitando o congresso do povo aqui na zona sudeste em São Paulo! #lulalivre #hiphop https://t.co/PUUK45rwU0; ;1;1;#lulalivre, #hiphop; ;
2018-05-12 12:55:10;Já estamos aqui pro congresso do povo etapa zona sudeste na cidade de sp! #LulaLivre #LulaLivreJá; ;0;5;#LulaLivre, #LulaLivreJá; ;
2018-04-24 19:07:47;RT @JFMargarida: Bravo, @marchamulheres! Vamos denunciar todas as formas de opressão, inclusive quando a moda explora as trabalhadoras! htt…;JFMargarida;0;0; ;JFMargarida, marchamulheres;
2018-04-24 19:05:16;#RiachueloGolpista #RanaPlazaÉAqui #24hFeminista   Atos feministas relembram vítimas de Rana Plaza e escracham dono da Riachuelo - https://t.co/Q5gUpC5mwK  Via @Brasil_de_Fato; ;8;14;#RanaPlazaÉAqui, #RiachueloGolpista, #24hFeminista;Brasil_de_Fato;
2018-04-24 19:02:50;RT @lindberghfarias: Parabéns à @marchamulheres pela ação na Riachuelo da Av Paulista! A Riachuelo é campeã de ações trabalhistas, são mais…;lindberghfarias;0;0; ;lindberghfarias, marchamulheres;
2018-04-24 16:25:00;O novo conceito de trabalho deve reconhecer o trabalho das mulheres e manter um equilíbrio entre o trabalho produtivo e reprodutivo, onde este último seja também compartilhado com os homens e o Estado. #RanaPlazaÉAqui #24hFeminista; ;4;7;#RanaPlazaÉAqui, #24hFeminista; ;
2018-04-24 16:23:41;Em Maceió/AL, militantes da MMM realizaram panfletagem em frente à Riachuelo do centro da cidade. #RiachueloGolpista #RanaPlazaÉAqui #24hFeminista https://t.co/sOFB4VjHlZ; ;14;17;#RanaPlazaÉAqui, #RiachueloGolpista, #24hFeminista; ;
2018-04-24 16:20:00;Você sabia que o lucro líquido consolidado da @riachuelo, em 2016, foi de mais de 317 milhões de reais, enquanto é pago pois pela costura das peças nas facções R$ 0,35 o minuto? #RiachueloGolpista #RanaPlazaÉAqui #24hFeminista; ;37;43;#RanaPlazaÉAqui, #RiachueloGolpista, #24hFeminista;riachuelo;
2018-04-24 16:18:00;Você sabia que as facções foram criadas com financiamento público para operar com o maquinário exigido pela Guararapes e com demanda permanente prometida mas não lavrada em contrato? #RiachueloGolpista #RanaPlazaÉAqui #24hFeminista; ;8;8;#RanaPlazaÉAqui, #RiachueloGolpista, #24hFeminista; ;
2018-04-24 16:04:00;'Em 2016, a @lojasmofficer foi condenada a pagar 6 milhões por trabalho escravo. https://t.co/YcM43th8ih #RanaPlazaÉAqui #24hFeminista'; ;9;10;#RanaPlazaÉAqui, #24hFeminista;LojasMOfficer;
2018-04-24 16:01:00;Depois de inspecionar 50 fábricas em 12 cidades do interior, o Ministério Público do Trabalho entrou com uma ação pública em que pede indenização de R$ 37,7 milhões à Guararapes, do grupo @riachuelo. https://t.co/IqAUVBAqBi  #RanaPlazaÉAqui #24hFeminista #RiachueloGolpista; ;14;9;#RanaPlazaÉAqui, #RiachueloGolpista, #24hFeminista;riachuelo;
2018-04-24 15:59:00;'Trabalhadoras da Guararapes, do grupo @riachuelo, relataram que as jornadas de trabalho chegam a 15 horas sem o pagamento de horas extras! https://t.co/IqAUVBAqBi  #RanaPlazaÉAqui #24hFeminista #RiachueloGolpista; ;12;11;#RanaPlazaÉAqui, #RiachueloGolpista, #24hFeminista;riachuelo;
2018-04-24 15:57:00;Conheça a história da Guararapes, do grupo @riachuelo, que deve pagar R$ 37 milhões de indenização por supostas irregularidades em empresas subcontratadas . https://t.co/IqAUVBS1sQ #RanaPlazaÉAqui #24hFeminista #RiachueloGolpista; ;1;3;#RanaPlazaÉAqui, #RiachueloGolpista, #24hFeminista;riachuelo;
2018-04-24 15:54:00;Dono da @riachuelo, acusado de trabalho escravo e apoiador do golpe, intimidou a procuradora do trabalho com calúnias. https://t.co/tqgY8vffKU #RanaPlazaÉAqui #24hFeminista #RiachueloGolpista; ;6;7;#RanaPlazaÉAqui, #RiachueloGolpista, #24hFeminista;riachuelo;
