Data;Texto;Autor(RT);Retweets;Curtidas;Hashtags;Mentions
2018-05-21 17:07:35;Esse é um outro resultado emblemático da mudança de rumo do país nos últimos dois anos. Foi um grande avanço e os resultados falam por si! #ChamaOMeirelles https://t.co/CNPsF5x19m; ;26;120;#ChamaOMeirelles; ;
2018-05-20 13:01:49;A educação 🇧🇷 precisa de:  Mais desempenho e menos aprovação automática  Mais compromisso com qualidade e menos com ideologia  Mais participação dos pais e menos distância entre família e escola  Mais valorização do professor e menos condições precárias de ensino; ;187;886; ; ;
2018-05-19 19:59:54;A recepção hoje, em Campo Grande, não poderia ter sido melhor. O MDB se reuniu para lançar as pré-candidaturas estaduais. Por lá eles já decidiram: querem que o MDB tenha candidato próprio ao governo do estado e também à Presidência. Obrigado Mato Grosso do Sul! #ChamaOMeirelles https://t.co/t1ZEeu5ARr; ;10;136;#ChamaOMeirelles; ;
2018-05-19 14:03:39;O Brasil criou 115 mil empregos em abril, o melhor resultado para o mês nos últimos 5 anos. Sei que ainda há um longo caminho para recuperarmos todos os postos de trabalho destruídos durante a crise, mas o importante é que estamos indo na direção certa. #Empregos #ChamaOMeirelles https://t.co/y4R74Y6iKp; ;63;257;#ChamaOMeirelles, #Empregos; ;
2018-05-18 13:31:15;Esta semana, conversei com os senadores do MDB sobre os desafios que temos para construir o país dos sonhos dos brasileiros. Agradeço à @SimoneTebetms e a todos senadores pelo convite. Estamos unidos no projeto de transformar o Brasil num país mais justo e cheio de oportunidades. https://t.co/Ml8rHUOAD7; ;22;115; ;SimoneTebetms;
2018-05-17 20:29:41;Todo sonho começa na escola. Hoje, tive a chance de voltar aos meus tempos de colégio. Revi as salas de aula e até minha carteira de estudante. Bons tempos. Muito legal conversar com a turma que está estudando hoje no Lyceu de Goiânia. Obrigado a todos que me receberam. https://t.co/ySUhBbzb00; ;18;127; ; ;
2018-05-17 17:10:53;Quando a economia vai bem, o governo passa a ter mais capacidade de investir na segurança. Por isso, temos que seguir fazendo o que é certo pra deixar a crise pra trás e recuperar as polícias, contratar efetivo, investir em equipamentos e inteligência. #Segurança #ChamaOMeirelles https://t.co/snSugWugwv; ;37;180;#Segurança, #ChamaOMeirelles; ;
2018-05-16 23:53:10;Produção em queda? #ChamaOMeirelles https://t.co/PqhIvTnHHe; ;37;162;#ChamaOMeirelles; ;
2018-05-16 21:40:32;Falamos da preocupação geral com as candidaturas radicais que são o retrato do retrocesso. Precisamos de menos tensão e mais atenção. #ChamaOMeirelles; ;9;58;#ChamaOMeirelles; ;
2018-05-16 21:40:31;Fui convidado pelos senadores do MDB para falar sobre a minha visão para o futuro do país. A verdadeira mudança começou há dois anos, quando mudamos os rumos da economia e resgatamos a confiança no Brasil. https://t.co/fMiR2tjZDG; ;16;103; ; ;
2018-05-16 13:16:27;Estou otimista de que a crise por qual o Brasil passou tenha deixado claro que políticas populistas não funcionam. Não há atalhos, não há caminho fácil. O que funciona é adotar as políticas corretas e fazer as reformas necessárias ao país. #ChamaOMeirelles https://t.co/wvrlb2tfhZ; ;50;226;#ChamaOMeirelles; ;
2018-05-15 22:01:05;https://t.co/bd61tRNEQI; ;44;280; ; ;
2018-05-15 17:25:31;Sem uma economia forte que gere riqueza para todos, não dá nem pra começar a conversar sobre o que vem depois. Não se presta bons serviços como segurança, educação e saúde no meio do caos econômico. É por isso que insisto no tema e nas reformas que ainda precisamos fazer. https://t.co/mZHRGoajS9; ;71;413; ; ;
2018-05-15 12:07:00;O radicalismo que mata o Brasil é infrutífero. Eu sou um radical, sim, no controle da inflação, em aumentar a produtividade, em promover a liberdade e as instituições e radical na geração de emprego. Esse é o radicalismo que os brasileiros precisam.  https://t.co/n3Yt2GdlFG; ;46;322; ; ;
2018-05-14 22:36:41;Vendas do Dia das Mães em baixa? #ChamaOMeirelles https://t.co/l2prvT40K4; ;41;195;#ChamaOMeirelles; ;
2018-05-14 14:52:33;#ComoPresidenteEu vou garantir uma economia forte para que serviços como o de segurança, educação e saúde funcionem. Vamos seguir fazendo as reformas necessárias para modernizar o Brasil e impedir que ideias e políticas populistas que nos levaram à crise de 2015 retornem.; ;50;385;#ComoPresidenteEu; ;
2018-05-13 12:07:29;Dona Diva foi um exemplo pra mim. Exemplo de honestidade, trabalho, perseverança e humildade. Obrigado, mãe. Você faz muita falta, mas sinto sua presença todos os dias.   Feliz dia para todas as mães brasileiras! https://t.co/0F4XcfUS1I; ;29;414; ; ;
