Data;Texto;Autor(RT);Retweets;Curtidas;Hashtags;Mentions
2018-05-16 16:29:11;Também no Egito a população se revolta contra a fórmula mesquinha de jogar nas costas da população mais pobre o 'ajuste nas contas... https://t.co/so4FAO7Sz5; ;0;0; ; ;
2018-05-14 15:04:30;Guerra nos transportes: a militarização e a tarifa https://t.co/3bYazekuXc; ;3;2; ; ;
2018-05-12 23:13:44;https://t.co/CJELCFgYZI; ;0;1; ; ;
2018-05-11 22:35:56;&gt &gt &gt Amanhã tem Marcha da Maconha Grajaú! Encosta geral! https://t.co/pi1zH3ylRS; ;0;5; ; ;
2018-05-09 15:38:47;https://t.co/E1sgP85Ygj; ;0;0; ; ;
2018-05-06 23:36:38;galerinha zica da ZN dando o exemplo pra geral se organizar contra os cortes do busão na sua quebrada!   como começar? chama mãe, pai, tia, vó, vizinho, os mano, as mina, as mona, os cachorro e até o papagaio pra... https://t.co/ytYn7M61kZ; ;0;3; ; ;
2018-05-06 18:21:52;&gt &gt &gt Ao vivo agora debate sobre tarifa zero e a luta por transporte dos cursinhos populares, acompanhe e participe! https://t.co/gpjINClboD; ;0;0; ; ;
2018-05-06 17:48:51;&gt &gt &gt Ao vivo agora debate sobre tarifa zero e a luta por transporte dos cursinhos populares, acompanhe e participe! https://t.co/jSp50NHcML; ;0;0; ; ;
2018-05-06 16:06:08;&gt &gt &gt Daqui a pouco começa um debate sobre a luta por passe livre pros estudantes de cursinhos populares, estão todos congidadoa! https://t.co/uQSflv0epB; ;1;0; ; ;
2018-05-06 01:46:03;&gt &gt &gt Amanhã tem debate por passe livre em cursinho populares, estão todos convidados! https://t.co/K0fT9YLMH9; ;5;3; ; ;
2018-05-04 16:16:22;[D.E.N.Ú.N.C.I.A] [urgente!!!]  mais uma ação absurda do Estado-Higienista-Assassino contra as ocupas de moradia acontecendo na cidade! há relatos de que os seguranças do Estado sejam os próprios seguranças do... https://t.co/zaq5XcyVLy; ;3;1; ; ;
2018-05-04 15:43:03;https://t.co/hNVuhjLmkh; ;0;0; ; ;
2018-04-30 17:00:50;&gt &gt &gt Atenção zona sul, quebrada se organiza pela legalização, ja anota na agendinha que dia 12 de maio tem marcha da maconha Grajaú! Cola geral! https://t.co/CvPDcOmx5Y; ;0;1; ; ;
2018-04-27 17:07:33;&gt &gt &gt Atenção pessoal da Zona Norte, esse sábado tem reunião para organizar a resistência contra os cortes da nova licitação, cola geral! https://t.co/uwIJxLBA4q; ;3;5; ; ;
2018-04-26 13:42:17;[O BUSÃO É NOSSO!]  contra os cortes de linhas dos de cima, organize-se na sua quebrada! chama geral do bairro pra conversar e se mobilizar por um transporte verdadeiramente público e de qualidade!  QUEREMOS MAIS... https://t.co/iFwSMm4hph; ;5;7; ; ;
