Data;Texto;Autor(RT);Retweets;Curtidas;Hashtags;Mentions
2018-05-16 23:39:50;Em reunião com Prefeitura de Aracaju, MTST e Guilherme Boulos chegam a acordo para famílias despejadas.  MTST, a luta é pra valer! #MTST https://t.co/o4lpmqPqLG; ;8;35;#MTST; ;
2018-05-16 02:13:57;Após marcha, acampados e acampadas da Ocupação Marielle Vive são recebidos na Subprefeitura de Pirituba  'Com pouco menos de um mês de vida, a Ocupação Marielle Vive em Pirituba, zona norte de São Paulo, se mostra cada vez maior e mais ativa'(...)  #MTST https://t.co/t9svGYAgTG; ;16;76;#MTST; ;
2018-05-15 23:16:07;A chegada na subprefeitura de Pirituba e a resistência dos guerreiros e guerreiras fizeram com que a ocupação Marielle Vive fosse recebida pelo subprefeito. Ela se comprometeu a receber uma comissão amanhã, 16 de... https://t.co/9GMfvDraF2; ;9;29; ; ;
2018-05-15 19:38:51;A Ocupação Marielle Vive, Zona Norte, segue sua marcha por moradia com muita garra e força. Guerreiros e Guerreiras seguem até a subprefeitura de Pirituba para que suas reivindicações sejam atendidas!  Pisa ligeiro!... https://t.co/Jk4o39rwEz; ;10;35; ; ;
2018-05-15 18:44:06;Ocupação Marielle Vive, da Zona Norte, realiza uma marcha por moradia até a subprefeitura de Pirituba. Dentre as reinvindicações está o cadastro das famílias.  MTST, luta é pra valer! #MarielleVive #MTST; ;8;20;#MTST, #MarielleVive; ;
2018-05-13 11:51:49;https://t.co/TDaQGpFx08; ;2;1; ; ;
2018-05-12 11:25:52;Segundo médico que atendeu nossa companheira atingida ontem na ocupação do MTST Sergipe, a bala era letal!! Exigimos imediata apuração dos fatos e retirada do cerco da Guarda na Ocupação. https://t.co/TTaMUJAZRK; ;44;61; ; ;
2018-05-12 11:14:14;TODO APOIO AOS LUTADORES E LUTADORAS DO MTST Sergipe!! https://t.co/puepQ4NCnt; ;10;30; ; ;
2018-05-12 10:00:12;GCM de Aracaju atinge com tiro de arma letal acampada do MTST Sergipe, que sobrevive e passa bem.  Não nos calarão! #MTST https://t.co/iXkj44f3GO; ;22;45;#MTST; ;
2018-05-12 01:47:47;A militante do MTST Nathanelly dos Santos foi atingida por uma bala pela Guarda Municipal de Aracajú numa ocupação do movimento. Ela está grávida! Exigimos imediatamente do prefeito Edvaldo Nogueira (PC do B) que retire a guarda do local e apure este... https://t.co/5N5QyuDh83; ;73;115; ; ;
