Data;Texto;Autor(RT);Retweets;Curtidas;Hashtags;Mentions
2018-05-15 20:40:02;RT @GabrielNemer_T: O corpo humano é capaz de resistir facilmente a um tiro por alguns minutos. É um mito esse negócio de “poder de parada”…;GabrielNemer_T;0;0; ;GabrielNemer_T;
2018-05-15 20:39:39;RT @GabrielNemer_T: Típico comentário de quem nunca foi exposta a uma situação de risco de vida e pressão e gosta de posar de ponderado - “…;GabrielNemer_T;0;0; ;GabrielNemer_T;
2018-05-15 14:43:49;O fim do século democrático https://t.co/heM0jCXO57 siga @omercadopopular; ;0;3; ;OMercadoPopular;
2018-05-15 00:57:15;RT @RaelAerosolKid: Da série 'Imagens que trazem a felicidade': https://t.co/AmvBTVNNlb;RaelAerosolKid;0;0; ;RaelAerosolKid;
2018-05-14 14:51:05;RT @LuanSperandio: Essas serão as eleições da #Lacroeconomia: quem ignora o que levou o país a recessão entre 2014-2016 e a 15 milhões de b…;LuanSperandio;0;0;#Lacroeconomia;LuanSperandio;
2018-05-14 14:50:51;RT @goescarlos: Lobbies sem representatividade estão perdendo força após o fim do imposto sindical. Bom pra democracia brasileira. https://…;goescarlos;0;0; ;goescarlos;
2018-05-14 13:28:49;RT @GabrielNemer_T: Por que o Brasil não pode ter uma idade de aposentadoria igual àquela dos países ricos, se vivemos tanto quanto eles? P…;GabrielNemer_T;0;0; ;GabrielNemer_T;
2018-05-13 20:20:39;RT @GabrielNemer_T: Dia das mães: bom dia pra lembrar que as mulheres gastam uma proporção muito maior de suas horas semanais em afazeres d…;GabrielNemer_T;0;0; ;GabrielNemer_T;
2018-05-12 19:52:18;RT @ThomasVConti: Manuela D'Ávila sem medo de escancarar o totalitarismo: 'BBC - A senhora defende a independência total da Polícia Federal…;ThomasVConti;0;0; ;ThomasVConti;
2018-05-12 14:47:39;RT @goescarlos: Já temos a chapa favorita de lobistas e industriais ineficientes que pedem câmbio artificialmente desvalorizado, transferên…;goescarlos;0;0; ;goescarlos;
2018-05-12 14:43:22;RT @GabrielNemer_T: Desemprego no Brasil sempre sobe nos três primeiros meses do ano. Mas, aparentemente, dessa vez foi culpa do Temer  Não…;GabrielNemer_T;0;0; ;GabrielNemer_T;
2018-05-11 17:14:51;RT @GabrielNemer_T: O mesmo profissional, prestando o mesmo serviço, contratado por R$30 mil/mês, pode receber, líquidos, R$ 15.109 se for…;GabrielNemer_T;0;0; ;GabrielNemer_T;
2018-05-10 13:42:11;Para os brasileiros, como foi 2017 em termos de renda, pobreza e desigualdade? https://t.co/BxDqTfhmBb via @omercadopopular; ;1;7; ;OMercadoPopular;
2018-05-10 13:27:09;RT @leticiaarsenio: Transmissão ao vivo do Gustavo Franco! Assista em: https://t.co/PRcgKxoRzV;leticiaarsenio;0;0; ;leticiaarsenio;
2018-05-10 12:01:14;RT @LuanSperandio: O cadastro positivo permitirá redução de juros aos mais  pobres, mas Jair Bolsonaro votou, mais uma vez,  contra uma pro…;LuanSperandio;0;0; ;LuanSperandio;
2018-05-10 12:01:10;RT @P_droMenezes: Já discordei aqui das teses de @NPTO sobre parcialidade da Lava Jato e papel dessa tal “direita” (continuo sem saber quem…;P_droMenezes;0;0; ;NPTO, P_droMenezes;
2018-05-09 22:04:55;RT @LuanSperandio: Uma pesquisa do Datafolha mostrou que 93% dos brasileiros diziam estar insatisfeitos com o SUS em 2014.  Entrevistei @da…;LuanSperandio;0;0; ;LuanSperandio;
2018-05-09 22:04:31;RT @pfnery: Bolsonaro sobre Previdência: erro de Temer foi apresentar 'proposta perfeita'.   Ao longo da tramitação desta proposta, Bolsona…;pfnery;0;0; ;pfnery;
2018-05-09 10:53:32;RT @goescarlos: Ia ser legal comparar essa pesquisa com uma que pergunte pras pessoas se elas são favoráveis ao aumento de impostos. https:…;goescarlos;0;0; ;goescarlos;
