Data;Texto;Autor(RT);Retweets;Curtidas;Hashtags;Mentions
2018-04-14 21:40:07;Agitação no ato Ato #30DiasPorMarielle em SP https://t.co/ZX3cevAtcy; ;0;0;#30DiasPorMarielle; ;
2018-04-14 21:21:44;Imagens agora do ato de 1 mês do assassinato de Marielle https://t.co/XmV64hooFv; ;4;7; ; ;
2018-04-14 21:16:30;https://t.co/UYv3X2yCXR; ;1;4; ; ;
2018-04-14 21:11:59;Grazi, profa municipal de SP, comenta no ato de 1 mês de assassinato de Marielle https://t.co/b5VZdnKdxM; ;2;2; ; ;
2018-04-14 21:09:33;Mais fotos do ato de 1 mês do assassinato de Marielle #MarielleVive #MarielleFrancoPresente https://t.co/o7gf62Pona; ;1;3;#MarielleFrancoPresente, #MarielleVive; ;
2018-04-14 20:59:58;RT @sac_diego: 1 mes del asesinato de #MarielleFranco #MariellePresente https://t.co/cIJ2MIpW7Q;sac_diego;0;0;#MariellePresente, #MarielleFranco;sac_diego;
2018-04-14 20:58:17;@faiscajuventude e Quilombo Vermelho, agrupações impulsionadas pelo MRT, presentes no ato de 1 mês de assassinato de Marielle #MariellePresente #MarielleVive https://t.co/E6w5jGfAwu; ;1;3;#MariellePresente, #MarielleVive;faiscajuventude;
2018-04-14 20:55:10;Estamos junto de centenas de pessoas no ato de 1 mês do assassinato de Marielle #MariellePresente #MarielleVive https://t.co/fjzgvyKOs2; ;2;7;#MariellePresente, #MarielleVive; ;
2018-04-14 20:52:22;1 mês do assassinato de Marielle não esqueceremos https://t.co/aNP7boLJvM; ;0;1; ; ;
2018-04-14 19:10:36;RT @Pao_e_Rosas: Somente uma luta massiva vai garantir justiça por #Marielle. É preciso seguir a luta nas ruas contra a intervenção federal…;Pao_e_Rosas;0;0;#Marielle;Pao_e_Rosas;
2018-04-14 12:27:22;É hoje! Vamos fazer a terra tremer por #MarielleFranco https://t.co/m1P8SatXCw; ;0;0;#MarielleFranco; ;
2018-04-14 12:12:38;RT @OdtCristina: Hoje vamos às ruas por #Marielle https://t.co/fZmcJMaRoi;OdtCristina;0;0;#Marielle;OdtCristina;
