Data;Texto;Autor(RT);Retweets;Curtidas;Hashtags;Mentions
2018-05-16 03:43:58;Esse #PedroBial, consegue ser pior que o #JôSoares...Misericordia; ;2;23;#JôSoares, #PedroBial; ;
2018-05-12 12:18:53;Relatório da #CIA esta totalmente errado ! #RegimeMilitar   TMJ👊🇧🇷 #MarcelloReis 11.98576-2888 Juntos somos mais fortes, com #Deus somos imbatíveis ! #SabadoDetremuraSDV #CidadeAlerta #PauloPreto #JornalDaRecord https://t.co/VMDzeTEyfM; ;13;35;#SabadoDetremuraSDV, #PauloPreto, #CIA, #MarcelloReis, #RegimeMilitar, #Deus, #JornalDaRecord, #CidadeAlerta; ;
2018-05-12 01:48:16;Melhor #Jair se acostumando ! Meu candidato a #PresidenteDaRepública tem nome e sobrenome #JairMessiasBolsonaro, estou com o #BrasilAcimaDetodos #DeusAcimaDeTudo  TMJ👊🇧🇷 #MarcelloReis 11.98576-2888 Juntos somos mais fortes, com #Deus somos imbatíveis !  #RevoltadosONLINE https://t.co/eyHaumUvgG; ;9;53;#Jair, #BrasilAcimaDetodos, #DeusAcimaDeTudo, #MarcelloReis, #JairMessiasBolsonaro, #PresidenteDaRepública, #Deus, #RevoltadosONLINE; ;
2018-05-12 01:39:12;Melhor #Jair se acostumando ! Meu candidato a #PresidenteDaRepública tem nome e sobrenome #JairMessiasBolsonaro, estou com o #BrasilAcimaDetodos #DeusAcimaDeTudo TMJ👊🇧🇷 #MarcelloReis 11.98576-2888 Juntos somos mais fortes, com #Deus somos imbatíveis !  #RevoltadosONLINE https://t.co/nQsBho3yg7; ;7;22;#Jair, #BrasilAcimaDetodos, #DeusAcimaDeTudo, #MarcelloReis, #JairMessiasBolsonaro, #PresidenteDaRepública, #Deus, #RevoltadosONLINE; ;
2018-05-11 18:48:45;@RoseVLB Viável pra ir pra cadeia #BoulosNaCadeia; ;1;12;#BoulosNaCadeia;RoseVLB;
2018-05-11 14:49:58;Se você vai ser um desse instrumento de mudança #compartilhe  TMJ👊🇧🇷 #MarcelloReis 11.98576-2888 Juntos somos mais fortes, com #Deus somos imbatíveis !  #RevoltadosONLINE #MarcelloReis2018 #JairBolsonaro  #Bolsonaro2018 #LulaNaCadeia #FacebockersMandaoNoTwitter https://t.co/BGRtcUdHiL; ;11;17;#MarcelloReis2018, #Bolsonaro2018, #compartilhe, #MarcelloReis, #JairBolsonaro, #Deus, #FacebockersMandaoNoTwitter, #RevoltadosONLINE, #LulaNaCadeia; ;
2018-05-11 02:12:57;QUADRILHA DO BOULOS MTST COBRA ALUGUEL DE INVASÕES ! LUCRATIVO INVADIR (Marcello Reis): https://t.co/f0SNVQUujr via @YouTube; ;7;24; ;YouTube;
2018-05-08 22:12:18;Melhor definição do 'trabalhador sem teto' #Boulos  O Brasileiro precisa parar de ser ingenuo ! TMJ 👊🇧🇷 #MarcelloReis #RevoltadosONLINE  #WeAreSorrySelena #ShawnMendesTheTour #KatyeTaylor https://t.co/dVUSCkvl15; ;3;20;#WeAreSorrySelena, #ShawnMendesTheTour, #KatyeTaylor, #Boulos, #MarcelloReis, #RevoltadosONLINE; ;
2018-05-08 16:50:52;Coisas ocultas 'Está decidido. Após várias semanas de muita reflexão, finalmente cheguei a uma conclusão. Não pretendo ser candidato a Presidente da República. Decisão estritamente pessoal.'...Mas enfim, tchau querido ! TMJ👊🇧🇷 #MarcelloReis #RevoltadosONLINE https://t.co/FvBUmxaW8A; ;11;37;#RevoltadosONLINE, #MarcelloReis; ;
2018-05-08 03:48:43;A #TVCultura ta com a rodinha viva isso sim... Mas estou assistindo #ConexãoReporter sobre as invasões #MTST #MST e não tenho mais duvidas lugar do bandido #Boulos #BoulosNaCadeia  TMJ👊🇧🇷 #MarcelloReis 11.98576-2888  #RevoltadosONLINE #JairBolsonaro  #LulaNaCadeia https://t.co/nPRf73xzTf; ;25;73;#RevoltadosONLINE, #TVCultura, #MTST, #MST, #Boulos, #MarcelloReis, #JairBolsonaro, #ConexãoReporter, #BoulosNaCadeia, #LulaNaCadeia; ;
2018-05-08 02:28:03;Você quer #LulaLivre ? Creio que só 12 anos é pouco, espero que pelo menos uns 100 anos de #LulaNaCadeia  TMJ👊🇧🇷 #MarcelloReis #RevoltadosONLINE #RodaViva #30diasderesistência #BoulosNaCadeia #BoulosnoRodaViva  #OOutroLadoDoParaíso https://t.co/qKJhNHUgUw; ;43;88;#BoulosnoRodaViva, #LulaLivre, #OOutroLadoDoParaíso, #MarcelloReis, #RodaViva, #RevoltadosONLINE, #BoulosNaCadeia, #LulaNaCadeia, #30diasderesistência; ;
2018-05-08 00:55:13;TMJ👊🇧🇷 Marcello Reis 11.98576-2888 Juntos somos mais fortes, com Deus imbatíveis !  #RevoltadosONLINE #MarcelloReis  #JairBolsonaro  #BolsonaroPresidente #Bolsonaro2018 #LulaNaCadeia https://t.co/jed0jMX38J; ;3;18;#Bolsonaro2018, #BolsonaroPresidente, #JairBolsonaro, #MarcelloReis, #RevoltadosONLINE, #LulaNaCadeia; ;
2018-05-07 19:52:17;Absurdo | Índios cobram pedágios nas rodovias do Brasil | (Marcello Reis): https://t.co/jpwVvcy09A via @YouTube; ;10;18; ;YouTube;
