Data;Texto;Autor(RT);Retweets;Curtidas;Hashtags;Mentions
2018-05-21 20:02:03;Secundas do interior de São Paulo, que tal participar do Circuito Tecnológico da Fatec Tatuí? A programação inclui palestras, minicursos, apresentação de planos de negócios, exposição de trabalhos estudantis 😍😊 #EnsinoTécnico  https://t.co/X0q52wxxLp; ;0;3;#EnsinoTécnico; ;
2018-05-21 18:03:02;📣 Alô secundas! As inscrições para o #Seminário#NacionalDeEducação já começaram. Faça já sua inscrição 😉  https://t.co/94XFxcFgLN; ;0;2; ; ;
2018-05-21 16:00:05;#OProfessorÉMeuAmigoMexeuComEleMexeuComigo Na última sexta-feira (18/05), estudantes se mobilizaram em apoio a greve dos professores no Pará, que protestam pelo pagamento do piso salarial atrasado desde 2015 e contra o desmonte da educação. Vamos fortalecer a luta! 👊 https://t.co/Fxd2uz5Kgb; ;3;4;#OProfessorÉMeuAmigoMexeuComEleMexeuComigo; ;
2018-05-21 14:01:05;#UBES70anos Saudade das ocupações, da Primavera Secundarista? Tem coisa que só com a distância dá para entender melhor. Começamos uma série pelos 70 anos da UBES e entrevistamos a ex-presidenta Camila Lanes​. Vem relembrar a última década com a gente: https://t.co/zbI4OW1X6y https://t.co/s4ud5wRlpj; ;0;4;#UBES70anos; ;
2018-05-20 22:00:06;#UBESsetentinha Ontem (19), publicamos uma entrevista com a presidenta da Primavera Secundarista. Mas você sabe quem foi o primeiro presidente da UBES? A gestão de Luís Bezerra de Oliveira contemplou os anos 1948 e 1949 ❤✊ https://t.co/slU3S9ifMm; ;0;3;#UBESsetentinha; ;
2018-05-20 18:01:04;Quem não viu vai ver! Montamos uma seleção de respeito com clipes que retratam o racismo e a desigualdade racial no Brasil. Dá o play: https://t.co/kcMkaJdFf6  #ThisIsAmerica #DesigualdadeRacial; ;0;1;#DesigualdadeRacial, #ThisIsAmerica; ;
2018-05-20 14:02:06;Para receber todas as notícias da UBES, basta assinar o boletim no nosso site! Faça o cadastro do seu e-mail aqui 👉 https://t.co/DQipZeHvHM #BoletimUBES #BoletimDeNotícias https://t.co/FfkjtKesjS; ;0;0;#BoletimDeNotícias, #BoletimUBES; ;
2018-05-19 22:01:04;Já marcou presença no seminário? Vamos debater políticas educacionais e definir estratégias práticas para uma educação pública gratuita e de qualidade: https://t.co/Z64awxgPmp #SeminarioNacionalDeEducacao; ;1;5;#SeminarioNacionalDeEducacao; ;
2018-05-19 18:00:04;#UBES70anos Tempo de golpes, mas também de primavera secundarista, empoderamento feminino... Que década foi essa? Entrevista com Camila Lanes, presidenta da UBES na gestão 2015-2017: https://t.co/5YUyV8vpsE 📢🌺; ;2;1;#UBES70anos; ;
2018-05-19 14:03:07;Quem não está em São Paulo para curtir a Virada Cultural, também pode aproveitar o fim de semana usando sua carteirinha de estudante. Ainda não fez a sua? Acesse o site do Documento do Estudante e não deixe pra depois: https://t.co/a1SkTMiv5L  😉 https://t.co/9LW5Q8EL2P; ;1;3; ; ;
