Data;Texto;Autor(RT);Retweets;Curtidas;Hashtags;Mentions
2018-05-14 11:50:13;https://t.co/nr3tMBUg5P  A novela 'Segundo Sol', nem de longe, retrata a composição social da sociedade brasileira, muito menos da população da Bahia. O racismo também se dá em fatos como esse : a invisibilização... https://t.co/nr3tMBUg5P; ;0;1; ; ;
2018-05-14 01:52:23;Esperamos que hoje tenha sido um dia de carinho, abraços e amor para todas as mamães do Brasil. Terminando esse dia com o vídeo da Manu falando sobre maternidade.  Boa noite! https://t.co/EES1Xc5T76; ;0;0; ; ;
2018-05-12 18:14:50;Que lindo é ver nossa entidade crescendo e se fortalecendo por todo o Brasil. Um viva à UBM Ouro Preto e nossa presidenta Débora Queiroz! https://t.co/zjijpKisBd; ;0;0; ; ;
2018-05-11 16:35:48;Ontem, no Maranhão, lançamos o blog 'Trincheira e Poesia'. Este será um espaço construído por mulheres para debater política, nosso cotidiano e espalhar poesia nas redes. Todos os dias damos passos para ocupar as... https://t.co/UPdCmYBdsh; ;0;0; ; ;
2018-05-10 20:42:15;Sobre a necessidade de se democratizar o acesso à partos humanizados, que respeitem as mulheres como protagonistas de um momento tão especial.  Se liga na dica pro final de semana que tá chegando  ) https://t.co/tETiixW3QJ; ;0;1; ; ;
2018-05-10 19:41:55;Dia 12 em Porto Alegre  ) Vamos debater com Manu e Márcia Tiburi https://t.co/SR9Iw67oix; ;0;0; ; ;
2018-05-09 23:19:08;A querida Ana Petta dirigiu esse vídeo cativante com Paulo Celestino.  A experiência já tinha acontecido em outros dois países. As crianças são incrivelmente sábias !  A violência contra a mulher, não é o mundo que a gente quer ! https://t.co/cvEbzD6krK; ;0;0; ; ;
2018-05-07 20:28:32;https://t.co/DJqcRg3LZj  Matheusa virou estatisca , mas... https://t.co/DJqcRg3LZj; ;0;0; ; ;
2018-05-07 11:52:46;NOTA DE POSICIONAMENTO SOBRE O PL303/2017 ( DIA ESTADUAL DE CONSCIENTIZAÇÃO CONTRA O ABORTO) A União Brasileira de Mulheres do Paraná – UBM-PR se manifesta sua posição institucional sobre o Projeto de Lei Estadual do... https://t.co/bPRASNvv4w; ;1;1; ; ;
2018-05-06 19:53:44;As meninas e o povo no poder!  Ontem, na Unicamp, aconteceu a plenária final do 19° Congresso da União Paulista dos Estudantes. A UPES da ocupação que ocupou escolas, a ALESP, a Câmara Dos Vereadores da Capital, que... https://t.co/ufGyTcSSYx; ;0;0; ; ;
2018-05-06 14:07:06;https://t.co/ENz38OCnAA  O Conselho Nacional de Saúde segue na luta contra a Emenda Constitucional 95 (antiga PEC 241). Temer e seus comparsas chamam de gastos , o que pra... https://t.co/6wJbLLWnqZ; ;1;1; ; ;
2018-05-05 13:55:54;Olha que legal essa iniciativa da UBM do RS.  Todos os domingos, estaremos tomando chimarrão e trocando idéias sobre política, gênero e a campanha da Manu. Tri legal, hein?! Vem com a gente, guria! https://t.co/nmXIiPk7fP; ;0;0; ; ;
2018-05-04 21:42:55;https://t.co/r3fyUrDhOj  Acompanhe a Manu falando diretamente da nova sede da UJS - União da Juventude Socialista falando da plataforma #Ocupa . Vamos ocupar a... https://t.co/QmsmufAIeU; ;0;0;#Ocupa; ;
2018-05-04 16:36:49;Hoje é o lançamento virtual da Plataforma Ocupa, uma inciativa para potencializar a candidatura da Manu e de várias outras candidaturas pelo Brasil , comprometidas em mudar a política com mandatos participativos,... https://t.co/qvTNM088YF; ;0;0; ; ;
2018-05-04 13:12:34;Das tristes e duras realidades que nos mobiliza a lutar pela vida das mulheres. https://t.co/gZ7dMSYBOA; ;0;0; ; ;
2018-05-03 21:55:10;Representadas por nossa companheira Liége Rocha, estamos  na República Democrática Popular da Coréia, participando da reunião da coordenação da Federação Democrática Internacional de Mulheres (FDIM). Estar em... https://t.co/u6ttWuy9In; ;0;0; ; ;
