Data;Texto;Autor(RT);Retweets;Curtidas;Hashtags;Mentions
2018-05-21 23:04:57;Posse do Deputado Estadual @gustavopetta na ALESP. #VaiPetta #UJSBrasil https://t.co/RwWWMdAN1V; ;1;3;#VaiPetta, #UJSBrasil;gustavopetta;
2018-05-21 18:22:23;O presidente golpista querendo dar pitaco no país dos outros é uma piada pronta. #Venezuela #VivaChavez #Chavez https://t.co/z1wzgTI3uq; ;4;4;#Chavez, #Venezuela, #VivaChavez; ;
2018-05-21 00:06:50;“Aproveitamos esse processo porque é algo contínuo e tem melhorado com o passar dos anos. Eu comecei a lutar em 1998 e sigo exercendo meu direito ao voto até hoje.”   Besty Bello, cidadã venezuelana, fala sobre o processo das eleições durante votação na Vivenda Hugo Chávez. https://t.co/qZYxC5y1gF; ;2;9; ; ;
2018-05-18 17:52:12;RT @ManuelaDavila: Que lindeza a camiseta que a @UJSBRASIL do Ceará e nossa presidenta Germana me presentearam ❣️ https://t.co/BulmkmhJBG;ManuelaDavila;0;0; ;UJSBRASIL, ManuelaDavila;
2018-05-17 23:13:01;RT @J_LIVRES: Milhares de pessoas participam do ato final da campanha do candidato pela Frente del Amplio de la Patria, Nicolas Maduro na V…;J_LIVRES;0;0; ;J_LIVRES;
2018-05-17 17:27:55;@radiojovempan Sério?; ;0;2; ;radiojovempan;
2018-05-17 17:09:44;#NósQueremosViver https://t.co/BO80wwKQpN; ;0;1;#NósQueremosViver; ;
2018-05-17 17:09:25;#NósQueremosViver https://t.co/EjXJfYWE5H; ;0;1;#NósQueremosViver; ;
2018-05-17 17:09:10;#NósQueremosViver https://t.co/l327oc14Yp; ;1;0;#NósQueremosViver; ;
2018-05-17 17:08:53;#NósQueremosViver https://t.co/O6vj8uv2Ro; ;0;1;#NósQueremosViver; ;
2018-05-17 17:08:38;#NósQueremosViver https://t.co/NBZtdKDWKl; ;0;1;#NósQueremosViver; ;
2018-05-17 17:08:21;#NósQueremosViver https://t.co/MrbnKEQMg6; ;0;1;#NósQueremosViver; ;
2018-05-17 17:08:01;#NósQueremosViver https://t.co/JryQVfdaw5; ;0;2;#NósQueremosViver; ;
2018-05-17 17:07:43;https://t.co/ejputqHG7Z; ;0;2; ; ;
2018-05-17 17:07:14;#NósQueremosViver https://t.co/4WViOhWB3v; ;0;2;#NósQueremosViver; ;
2018-05-17 17:06:49;#NósQueremosViver https://t.co/Q75GYVydHz; ;0;1;#NósQueremosViver; ;
2018-05-17 17:06:32;#NósQueremosViver https://t.co/fpQ7KpDgJN; ;0;2;#NósQueremosViver; ;
2018-05-17 16:51:11;Toda forma de amor vale a pena. Nós queremos viver. 17 de maio. Dia Internacional Contra a LGBTfobia https://t.co/iH2DRQR2Oy; ;13;13; ; ;
2018-05-17 15:18:00;https://t.co/f66TilYXRW; ;10;9; ; ;
2018-05-17 14:50:34;União Estadual dos Estudantes realizou, ontem (16), uma homenagem ao Rafael Gomes na Faculdade de Faculdade de Arquitetura, Artes e Comunicação da UNESP. A atividade contou com uma Mostra de Vídeos Rafael Gomes seguida por um debate Audiovisual e Comunicação pela Democracia. https://t.co/i8MlQcOdJK; ;1;6; ; ;
2018-05-16 22:27:04;Em apoio à luta use a tag #TerraParaPalestina e #TierraParaPalestina https://t.co/QHvQlK93FT; ;4;7;#TierraParaPalestina, #TerraParaPalestina; ;
2018-05-16 20:27:07;Calendário do golpe https://t.co/Xv29BLKIkF; ;7;3; ; ;
2018-05-16 18:57:52;RT @orlandosilva: Carta aberta da amiga e pré-candidata à Presidência da República pelo @PCdoB_Oficial, @ManuelaDavila, ao jornalista Pedro…;orlandosilva;0;0; ;orlandosilva, PCdoB_Oficial, ManuelaDavila;
2018-05-16 18:57:27;Tá certinho https://t.co/Xujm8C6TYj; ;9;11; ; ;
2018-05-16 18:08:40;#TierraParaPalestina https://t.co/o9jYRRCwsG; ;4;9;#TierraParaPalestina; ;
