Data;Texto;Autor(RT);Retweets;Curtidas;Hashtags;Mentions
2018-05-23 10:51:52;RT @assimdisseojoao: friozinho bom para tomar  ╭╯╭╯╭╯╭╯  █████████ ═╮   █ Césio 357  Porém com a      Bunda           █ ∥   ████████ ═╯   ◥…;assimdisseojoao;0;0; ;assimdisseojoao;
2018-05-21 10:41:48;RT @p4ulomagalhaes: O video do MBL (Movimento Brasil Lobotomizado) atacando a Paola Carosella é uma das maiores peças de vergonha alheia já…;p4ulomagalhaes;0;0; ;p4ulomagalhaes;
2018-05-21 02:34:54;RT @blogdosakamoto: Após a mentira de que serei checador e censor de notícias falsas do Facebook, recebi ameaças e quase apanhei na rua. Re…;blogdosakamoto;0;0; ;blogdosakamoto;
2018-05-21 02:25:28;RT @brady_munn: Damn Dolores is really just gonna screw Teddy twice in one night #Westworld;b_____eazy;0;0;#Westworld;brady_munn;
2018-05-21 00:56:33;RT @supercuofus: eu nasci no espirito santo ne aí uma amiga de lá qnd era pequena achava que o pessoal de outros estados rezava tipo 'em no…;supercuofus;0;0; ;supercuofus;
2018-05-20 12:28:40;RT @voxdotcom: The average firearm suicide rate declined by 57 percent in seven years, and the average firearm homicide rate went down by a…;voxdotcom;0;0; ;voxdotcom;
2018-05-19 18:35:37;RT @WorldAndScience: https://t.co/hyvrCSMqbD;WorldAndScience;0;0; ;WorldAndScience;
2018-05-13 14:05:18;RT @b_conrado: Aconteceu agora no ônibus parado no ponto: Todo mundo gritando: Motorista, ó moço cego pedindo pra abrir a porta do meio aqu…;b_conrado;0;0; ;b_conrado;
2018-05-13 13:10:17;@pedroloos Explica aí “this is america”; ;0;0; ;pedroloos;
2018-05-05 22:01:32;Meu novo hobbie é assistir “The Ranch” na língua original e tentar me convencer de que estou estudando inglês.; ;0;0; ; ;
2018-05-01 21:50:53;RT @raphaevanges: Depois de ser comparado a Ed Sheeran, Júlio de Cocoricó raspa a cabeça e adota visual “Leandro Karnal”, entenda https://t…;raphaevanges;0;0; ;raphaevanges;
2018-04-30 13:53:26;@correio Aí @cirogomes, dá bilhão; ;0;0; ;correio, cirogomes;
2018-04-20 16:11:10;RT @cinefilo_K: 'Se eu assumir, índio não terá mais 1 centímetro de terra, bando de vagabundos!'  BOLSONARO desejando um feliz #DiaDoÍndio…;cinefilo_K;0;0;#DiaDoÍndio;cinefilo_K;
2018-04-19 15:08:52;@LuanMach Tudo mentira, a terra é convexa; ;0;0; ;LuanMach;
2018-04-18 12:56:11;RT @nemanema: Isso aqui deveria virar um esporte real oficial https://t.co/Vuh2XWQTND;nemanema;0;0; ;nemanema;
2018-04-17 18:39:00;RT @naosalvo: #AecioPresoQuandoDer;naosalvo;0;0;#AecioPresoQuandoDer;naosalvo;
2018-04-16 12:24:21;@clarionrox @Pirulla25 Talvez nesse caso você tenha razão (ignorando o fato de q foi recebida a denúncia pela PGR e que agora ele se tornou réu no STF?). Mas pra além disso, os bolsominions acreditam sim em uma grande conspiração da mídia e dos globalistas contra o mito deles. Não é mt diferente.; ;0;3; ;Pirulla25, clarionrox;
2018-04-16 02:54:24;@Pirulla25 De repente todos os bolsominions são defensores da presunção de inocência e supõem que o processo chegou ao STF por  perseguição política. EXATAMENTE oq fazem os seguidores do Lula. Por que não estou surpreso?; ;1;16; ;Pirulla25;
2018-04-15 11:37:02;RT @classiclib3ral: If you support bombing Syria but you think taking in Syrian refugees is too expensive you should look up the price for…;classiclib3ral;0;0; ;classiclib3ral;
2018-04-14 21:58:23;@LuanMach @elencjvn E o peixe tem culpa ??; ;0;0; ;elencjvn, LuanMach;
2018-04-12 11:12:07;RT @MatheusMSampaio: Essa segue sendo a melhor matéria da história do jornalismo brasileiro https://t.co/apqzqOPJsN;MMLS31;0;0; ; ;
2018-04-11 21:53:00;@FernandoHoliday E esse domínio criado a 10 dias? quem explica?; ;0;0; ;FernandoHoliday;
2018-04-10 13:07:36;RT @cauemoura: #PrayForMamaeFalei 🙏🏻 força guerreiro;cauemoura;0;0;#PrayForMamaeFalei;cauemoura;
2018-04-10 03:35:55;RT @gosmirc: Petista toma chicotada MBL: huehuehuehuehue  Arthur do Mamãe Falei toma um tapinha na nuca MBL: MEU DEUS A AGRESSÃO SOFRIDA É…;gosmirc;0;0; ;gosmirc;
2018-04-08 03:08:16;RT @lettersacadinha: https://t.co/JOG0Cqn75N;lettersacadinha;0;0; ;lettersacadinha;
2018-04-05 22:45:04;@assimdisseojoao Ok, entendemos que tem bots procurando por palavras específicas. Mas qual a intenção? faz idéia?; ;0;0; ;assimdisseojoao;
2018-04-05 20:58:51;RT @leseixas_: Tentando manter a minha sanidade mental bloqueando todos os idiotas que defendem intervenção militar ou o período da ditadur…;leseixas_;0;0; ;leseixas_;
2018-04-03 18:21:11;RT @tlmota: as alucinações da direita xucra estão absolutamente sem controle https://t.co/LjIctRQit3;tlmota;0;0; ;tlmota;
2018-03-30 22:00:58;RT @portugueselegal: 'Existe um culto à ignorância nos Estados Unidos, e sempre houve. A tensão do anti-intelectualismo tem sido um fio con…;portugueselegal;0;0; ;portugueselegal;
2018-03-25 19:21:08;@mpmarchiori @efarsas Tá na notícia que MBL tambem compartilhou..; ;0;2; ;mpmarchiori, efarsas;
2018-03-23 01:42:14;RT @maestrobogs: Essa prisão do lula tá demorando mais que as minhas encomendas da Gearbest :v;maestrobogs;0;0; ;maestrobogs;
2018-03-17 13:10:14;Não gosta de direitos humanos? Então vai pra Cuba! #esquerdaedireitaaomesmotempo; ;0;1;#esquerdaedireitaaomesmotempo; ;
2018-03-14 12:57:29;RT @neiltyson: His passing has left an intellectual vacuum in his wake. But it's not empty. Think of it as a kind of vacuum energy permeati…;neiltyson;0;0; ;neiltyson;
2018-03-13 22:32:22;@JuhClicia @ramos_leandro @programapanico Boa ideia hehe; ;0;0; ;JuhClicia, programapanico, ramos_leandro;
2018-03-13 09:54:32;@rpcutts @BBC @naosalvo I mean it’s been one year this woman became a single mom.; ;0;0; ;rpcutts, naosalvo, BBC;
2018-03-12 10:11:38;@BBC @naosalvo It’s been one year since this woman lost her job; ;0;0; ;naosalvo, BBC;
2018-03-03 17:09:01;@JuhClicia Essas pessoas felizes das fotos com certeza não são alunos; ;0;1; ;JuhClicia;
2018-02-28 12:14:28;@LuanMach tenta na próxima não colocar gelo. comigo resolve; ;0;0; ;LuanMach;
2018-02-25 00:39:12;RT @declaracoesunb: Saiu resultado no MW e eu to como? Isso mesmo, na merda;declaracoesunb;0;0; ;declaracoesunb;
2018-02-22 11:25:46;@euescolhidormir :O; ;0;0; ;euescolhidormir;
2018-02-22 09:45:27;@efarsas Tá parecendo mistura de algoritmo genético com teoria dos jogos só que bem mal contado; ;0;1; ;efarsas;
2018-02-21 14:47:09;@LuanMach Seguiu minha tendência a depressão e achar que final feliz não existe; ;0;0; ;LuanMach;
2018-02-21 12:29:08;@LucasCardosoLCR Mano SAA pode fazer oq quiser. Só que eles ficam inventando que não podem. A mesma coisa vale pro seu coordenador.; ;0;1; ;LucasCardosoLCR;
